ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-22T23:23:42.875,690590.7069932,exp_20260722_191206,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0024535655975341797,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784762622.873295,1784762622.8757486,0.0024535655975341797,,,,,,,,,,,0,0,0
2026-07-22T23:23:43.979,690591.8110261,exp_20260722_191206,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.1312737464904785,0.18,0.12456778309409888,0.19515873015873014,0.13994226042907582,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784762622.8764114,1784762623.9798338,1.1034224033355713,1.1034224033355713,1.0419280529022217,0.046591758728027344,1,0.00099,1784762622.8764114,1784762623.9798338,,,,0,0,0
2026-07-22T23:23:43.986,690591.8177512,exp_20260722_191206,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008883476257324219,127.0.0.1,10.42.0.195,10.42.0.195,8080,91a1d7a043f9ce8cde0c53d15b7ad92b515067c55d0a20c03f8f65970284a1f5,1,1,,,1784762623.9803822,1784762623.9812706,0.0008883476257324219,,,,1,0.00099,1784762622.8764114,1784762623.9798338,1784762623.9865685,0.005297422409057617,0.0008883476257324219,0,0,0
2026-07-22T23:23:51.436,690599.2676373,exp_20260722_191206,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001247406005859375,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784762631.4351742,1784762631.4364216,0.001247406005859375,,,,,,,,,,,0,0,0
2026-07-22T23:23:52.539,690600.3704558,exp_20260722_191206,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.0419113636016846,0.19,0.1156929541047188,0.1915873015873016,0.13609142364956317,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784762631.4372542,1784762632.539296,1.1020417213439941,1.1020417213439941,1.0424327850341797,0.04362177848815918,1,0.0009801,1784762631.4372542,1784762632.539296,,,,0,0,0
2026-07-22T23:23:52.548,690600.3800971,exp_20260722_191206,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008382797241210938,127.0.0.1,10.42.0.195,10.42.0.195,8080,a4badc392afdcbda78731490017135ac1e2d777fa8e2fb4e2f1ca601e1391cd5,1,1,,,1784762632.5425603,1784762632.5433986,0.0008382797241210938,,,,1,0.0009801,1784762631.4372542,1784762632.539296,1784762632.548948,0.005547761917114258,0.0008382797241210938,0,0,0
2026-07-22T23:24:01.699,690609.5309152,exp_20260722_191206,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012788772583007812,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784762641.6984699,1784762641.6997488,0.0012788772583007812,,,,,,,,,,,0,0,0
2026-07-22T23:24:02.839,690610.6702163,exp_20260722_191206,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9886687994003296,0.22,0.1828339117778773,0.20354700854700858,0.15860155925945402,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784762641.7005532,1784762642.8391113,1.1385581493377686,1.1385581493377686,1.0763883590698242,0.0450441837310791,1,0.0009702990000000001,1784762641.7005532,1784762642.8391113,,,,0,0,0
2026-07-22T23:24:02.848,690610.6794527,exp_20260722_191206,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009386539459228516,127.0.0.1,10.42.0.195,10.42.0.195,8080,ca3b7ad140ca221a5b2bf1b1b0dd403fe03ed9ba92b32893d2aa5e7aa3b7fa15,1,1,,,1784762642.8396327,1784762642.8405714,0.0009386539459228516,,,,1,0.0009702990000000001,1784762641.7005532,1784762642.8391113,1784762642.848341,0.007768869400024414,0.0009386539459228516,0,0,0
2026-07-22T23:24:08.908,690616.7393015,exp_20260722_191206,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001287221908569336,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784762648.9068854,1784762648.9081726,0.001287221908569336,,,,,,,,,,,0,0,0
