ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-22T23:46:50.656,691978.4811592,exp_20260722_194344,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.002485513687133789,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784764010.6538262,1784764010.6563118,0.002485513687133789,,,,,,,,,,,0,0,0
2026-07-22T23:46:51.756,691979.581149,exp_20260722_194344,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.1763463020324707,0.16,0.07645833333333332,0.16698412698412696,0.09204496652772515,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784764010.6569302,1784764011.756345,1.0994148254394531,1.0994148254394531,1.034806489944458,0.04523181915283203,1,0.00099,1784764010.6569302,1784764011.756345,,,,0,0,0
2026-07-22T23:46:51.764,691979.589013,exp_20260722_194344,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009465217590332031,127.0.0.1,10.42.0.195,10.42.0.195,8080,2402ecec4ca6f2a309bc2018d792efddbdb025ec67a5e10b17b9dcfb79601577,1,1,,,1784764011.7568827,1784764011.7578292,0.0009465217590332031,,,,1,0.00099,1784764010.6569302,1784764011.756345,1784764011.7642097,0.006378889083862305,0.0009465217590332031,0,0,0
2026-07-22T23:46:59.235,691987.0601645,exp_20260722_194344,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012254714965820312,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784764019.2341285,1784764019.235354,0.0012254714965820312,,,,,,,,,,,0,0,0
2026-07-22T23:47:00.369,691988.1942869,exp_20260722_194344,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.047485589981079,0.17,0.242593795656676,0.18856532356532357,0.1569667223614592,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784764019.2359793,1784764020.3695114,1.1335320472717285,1.1335320472717285,1.0807874202728271,0.0385282039642334,1,0.0009801,1784764019.2359793,1784764020.3695114,,,,0,0,0
2026-07-22T23:47:00.377,691988.2020674,exp_20260722_194344,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0010728836059570312,127.0.0.1,10.42.0.195,10.42.0.195,8080,036743a354163de2ddeb714b62a72a835a67656a11e97d502ebb7c566bf3c19c,1,1,,,1784764020.3700552,1784764020.371128,0.0010728836059570312,,,,1,0.0009801,1784764019.2359793,1784764020.3695114,1784764020.3773048,0.0061757564544677734,0.0010728836059570312,0,0,0
2026-07-22T23:47:07.246,691995.0715891,exp_20260722_194344,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012476444244384766,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784764027.2455833,1784764027.246831,0.0012476444244384766,,,,,,,,,,,0,0,0
2026-07-22T23:47:08.384,691996.2089919,exp_20260722_194344,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.002389907836914,0.21,0.20006475006475005,0.21992063492063493,0.18916007364283227,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784764027.2475326,1784764028.3842654,1.136732816696167,1.136732816696167,1.0841288566589355,0.03869819641113281,1,0.0009702990000000001,1784764027.2475326,1784764028.3842654,,,,0,0,0
2026-07-22T23:47:08.393,691996.2180569,exp_20260722_194344,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009589195251464844,127.0.0.1,10.42.0.195,10.42.0.195,8080,d6f49cf066a4cb7cd92796d03b0dd11734a41858a789f6cb00e64ab290d68114,1,1,,,1784764028.3848054,1784764028.3857644,0.0009589195251464844,,,,1,0.0009702990000000001,1784764027.2475326,1784764028.3842654,1784764028.393322,0.0075566768646240234,0.0009589195251464844,0,0,0
2026-07-22T23:47:15.676,692003.5009106,exp_20260722_194344,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012726783752441406,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784764035.6749172,1784764035.67619,0.0012726783752441406,,,,,,,,,,,0,0,0
