ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-23T02:03:53.383,700201.1699743,exp_20260722_215923,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0026128292083740234,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784772233.3803134,1784772233.3829262,0.0026128292083740234,,,,,,,,,,,0,0,0
2026-07-23T02:03:54.524,700202.311143,exp_20260722_215923,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.1949872970581055,0.14,0.06599999999999999,0.18190476190476187,0.08967693796886345,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784772233.3837779,1784772234.5241625,1.1403846740722656,1.1403846740722656,1.0782957077026367,0.0453333854675293,1,0.00099,1784772233.3837779,1784772234.5241625,,,,0,0,0
2026-07-23T02:03:54.531,700202.3183022,exp_20260722_215923,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008974075317382812,127.0.0.1,10.42.0.195,10.42.0.195,8080,b0164b6f33fe2bba522c644adb8b7d4cb0e3a540d9e3bb2e8491b3912f0a9637,1,1,,,1784772234.5247197,1784772234.5256171,0.0008974075317382812,,,,1,0.00099,1784772233.3837779,1784772234.5241625,1784772234.531318,0.0056993961334228516,0.0008974075317382812,0,0,0
2026-07-23T02:04:03.030,700210.8176448,exp_20260722_215923,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0011851787567138672,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784772243.0294905,1784772243.0306756,0.0011851787567138672,,,,,,,,,,,0,0,0
2026-07-23T02:04:04.154,700211.941255,exp_20260722_215923,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.042130708694458,0.16,0.1309208152958153,0.19238095238095237,0.12014896214896216,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784772243.0313432,1784772244.1543114,1.1229681968688965,1.1229681968688965,1.064824104309082,0.04403877258300781,1,0.0009801,1784772243.0313432,1784772244.1543114,,,,0,0,0
2026-07-23T02:04:04.167,700211.9547339,exp_20260722_215923,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009639263153076172,127.0.0.1,10.42.0.195,10.42.0.195,8080,242b0965ebc83ca20f972816642c9c1824e992818dc55527b8dbaf50f31a91d2,1,1,,,1784772244.1548345,1784772244.1557984,0.0009639263153076172,,,,1,0.0009801,1784772243.0313432,1784772244.1543114,1784772244.1677952,0.011995315551757812,0.0009639263153076172,0,0,0
2026-07-23T02:04:12.050,700219.8371808,exp_20260722_215923,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.002285480499267578,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784772252.047862,1784772252.0501475,0.002285480499267578,,,,,,,,,,,0,0,0
2026-07-23T02:04:13.173,700220.9600212,exp_20260722_215923,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.0397205352783203,0.17,0.12033195734434124,0.1776984126984127,0.1378063597891184,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784772252.0519965,1784772253.1731274,1.1211309432983398,1.1211309432983398,1.063255786895752,0.0407872200012207,1,0.0009702990000000001,1784772252.0519965,1784772253.1731274,,,,0,0,0
2026-07-23T02:04:13.184,700220.9709013,exp_20260722_215923,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.000980377197265625,127.0.0.1,10.42.0.195,10.42.0.195,8080,65340e5c582e86502a85781667e0035ca9438790b9d8067b958731f9c1a6f4a3,1,1,,,1784772253.1736841,1784772253.1746645,0.000980377197265625,,,,1,0.0009702990000000001,1784772252.0519965,1784772253.1731274,1784772253.1839948,0.009329080581665039,0.000980377197265625,0,0,0
2026-07-23T02:04:21.071,700228.8582893,exp_20260722_215923,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001209259033203125,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784772261.0701966,1784772261.071406,0.001209259033203125,,,,,,,,,,,0,0,0
