ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-23T01:12:05.032,697092.8341496,exp_20260722_210722,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0025305747985839844,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769125.030276,1784769125.0328066,0.0025305747985839844,,,,,,,,,,,0,0,0
2026-07-23T01:12:06.149,697093.9509273,exp_20260722_210722,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.0888423919677734,0.15,0.09772727272727273,0.15674603174603174,0.11271031746031746,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769125.0334513,1784769126.149646,1.116194725036621,1.116194725036621,1.0590260028839111,0.042532920837402344,1,0.00099,1784769125.0334513,1784769126.149646,,,,0,0,0
2026-07-23T01:12:06.156,697093.9579262,exp_20260722_210722,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008637905120849609,127.0.0.1,10.42.0.195,10.42.0.195,8080,11d54c4ce8500b70d14aea2199ccd9998dd0513256496ce3c7ded771af3a002a,1,1,,,1784769126.15018,1784769126.151044,0.0008637905120849609,,,,1,0.00099,1784769125.0334513,1784769126.149646,1784769126.1566453,0.0055999755859375,0.0008637905120849609,0,0,0
2026-07-23T01:12:14.779,697102.5810766,exp_20260722_210722,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0014328956604003906,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769134.778318,1784769134.7797508,0.0014328956604003906,,,,,,,,,,,0,0,0
2026-07-23T01:12:15.878,697103.6796383,exp_20260722_210722,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.022829294204712,0.24,0.14958874458874458,0.23119047619047617,0.16418205038894695,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769134.7806654,1784769135.8784006,1.0977351665496826,1.0977351665496826,1.0449979305267334,0.03791069984436035,1,0.0009801,1784769134.7806654,1784769135.8784006,,,,0,0,0
2026-07-23T01:12:15.885,697103.6865677,exp_20260722_210722,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008237361907958984,127.0.0.1,10.42.0.195,10.42.0.195,8080,a4bb0141577e8ada9964a0d74abe38c69a29a8a642834f70b1854e0ef05a0d4d,1,1,,,1784769135.8789582,1784769135.879782,0.0008237361907958984,,,,1,0.0009801,1784769134.7806654,1784769135.8784006,1784769135.885335,0.005552053451538086,0.0008237361907958984,0,0,0
2026-07-23T01:12:24.319,697112.1205594,exp_20260722_210722,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0013802051544189453,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769144.3179104,1784769144.3192906,0.0013802051544189453,,,,,,,,,,,0,0,0
2026-07-23T01:12:25.470,697113.2716125,exp_20260722_210722,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9475431442260742,0.21,0.17036177400021793,0.21880952380952384,0.17469783221206373,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769144.3204646,1784769145.4704182,1.1499536037445068,1.1499536037445068,1.0979211330413818,0.03784513473510742,1,0.0009702990000000001,1784769144.3204646,1784769145.4704182,,,,0,0,0
2026-07-23T01:12:25.477,697113.2786413,exp_20260722_210722,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008404254913330078,127.0.0.1,10.42.0.195,10.42.0.195,8080,de2fbe1aed11c91d5fd5c1549d35e61ee9a75c98fbd5c461a652057f7eec948f,1,1,,,1784769145.4709432,1784769145.4717836,0.0008404254913330078,,,,1,0.0009702990000000001,1784769144.3204646,1784769145.4704182,1784769145.4774487,0.0056645870208740234,0.0008404254913330078,0,0,0
2026-07-23T01:12:32.340,697120.1412763,exp_20260722_210722,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0008902549743652344,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769152.3392098,1784769152.3401,0.0008902549743652344,,,,,,,,,,,0,0,0
2026-07-23T01:12:33.442,697121.2439022,exp_20260722_210722,4,cpu,,0,4,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9108332395553589,0.26,0.3137460317460318,0.26974969474969474,0.24972257589904645,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769152.3406954,1784769153.4427009,1.1020054817199707,1.1020054817199707,1.0367333889007568,0.04879617691040039,1,0.0009605960099999999,1784769152.3406954,1784769153.4427009,,,,0,0,0
2026-07-23T01:12:33.450,697121.2519157,exp_20260722_210722,4,cpu,,0,4,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009834766387939453,127.0.0.1,10.42.0.195,10.42.0.195,8080,2e9a137eaf79f8863f16e2a3f4d982c9c3196b975466d9abddf57d8bf25dda8c,1,1,,,1784769153.4435573,1784769153.4445407,0.0009834766387939453,,,,1,0.0009605960099999999,1784769152.3406954,1784769153.4427009,1784769153.4507563,0.006215095520019531,0.0009834766387939453,0,0,0
2026-07-23T01:12:41.700,697129.5012705,exp_20260722_210722,4,cpu,,0,5,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012688636779785156,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769161.698826,1784769161.700095,0.0012688636779785156,,,,,,,,,,,0,0,0
2026-07-23T01:12:42.794,697130.5957953,exp_20260722_210722,4,cpu,,0,5,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8700306415557861,0.27,0.3066666666666667,0.2958547008547009,0.26718725959283235,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769161.7009528,1784769162.7946813,1.0937285423278809,1.0937285423278809,1.0416958332061768,0.03778553009033203,1,0.0009509900498999999,1784769161.7009528,1784769162.7946813,,,,0,0,0
2026-07-23T01:12:42.803,697130.6047374,exp_20260722_210722,4,cpu,,0,5,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008676052093505859,127.0.0.1,10.42.0.195,10.42.0.195,8080,c8ba2b7bb31b19eb652d9e9f56664047472b39ba176f3defb15a5c0c5f75824c,1,1,,,1784769162.7952685,1784769162.7961361,0.0008676052093505859,,,,1,0.0009509900498999999,1784769161.7009528,1784769162.7946813,1784769162.803617,0.00747990608215332,0.0008676052093505859,0,0,0
2026-07-23T01:12:50.390,697138.1915676,exp_20260722_210722,4,cpu,,0,6,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012230873107910156,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769170.3892286,1784769170.3904517,0.0012230873107910156,,,,,,,,,,,0,0,0
2026-07-23T01:12:51.521,697139.3221903,exp_20260722_210722,4,cpu,,0,6,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9043487310409546,0.31,0.3083494397759104,0.31713064713064715,0.2784520735348409,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769170.3911314,1784769171.5211146,1.1299831867218018,1.1299831867218018,1.070969581604004,0.04401564598083496,1,0.000941480149401,1784769170.3911314,1784769171.5211146,,,,0,0,0
2026-07-23T01:12:51.530,697139.3313365,exp_20260722_210722,4,cpu,,0,6,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009219646453857422,127.0.0.1,10.42.0.195,10.42.0.195,8080,88ff38057e34d8132f1869806e9b64b93e76b94be66d697c991d04be49cb2480,1,1,,,1784769171.52162,1784769171.522542,0.0009219646453857422,,,,1,0.000941480149401,1784769170.3911314,1784769171.5211146,1784769171.5302613,0.007718563079833984,0.0009219646453857422,0,0,0
2026-07-23T01:12:59.057,697146.8582191,exp_20260722_210722,4,cpu,,0,7,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012676715850830078,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769179.055861,1784769179.0571287,0.0012676715850830078,,,,,,,,,,,0,0,0
2026-07-23T01:13:00.174,697147.9752466,exp_20260722_210722,4,cpu,,0,7,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7884591817855835,0.35,0.39682481261428626,0.31872405372405377,0.3076727716727717,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769179.0579185,1784769180.1742022,1.116283655166626,1.116283655166626,1.062209129333496,0.03981304168701172,1,0.0009320653479069899,1784769179.0579185,1784769180.1742022,,,,0,0,0
2026-07-23T01:13:00.183,697147.984466,exp_20260722_210722,4,cpu,,0,7,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009365081787109375,127.0.0.1,10.42.0.195,10.42.0.195,8080,740a15bf3f332ddcfe3edb8aa85080e4cc83989afd97f8ef5813d7aec5e16506,1,1,,,1784769180.174947,1784769180.1758835,0.0009365081787109375,,,,1,0.0009320653479069899,1784769179.0579185,1784769180.1742022,1784769180.1834314,0.007547140121459961,0.0009365081787109375,0,0,0
2026-07-23T01:13:08.036,697155.8377124,exp_20260722_210722,4,cpu,,0,8,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0013527870178222656,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769188.035302,1784769188.0366547,0.0013527870178222656,,,,,,,,,,,0,0,0
2026-07-23T01:13:09.167,697156.9683047,exp_20260722_210722,4,cpu,,0,8,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8015152215957642,0.35,0.32729995838354975,0.3844139194139194,0.322832152591878,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769188.0374756,1784769189.1673152,1.1298396587371826,1.1298396587371826,1.0781011581420898,0.0379788875579834,1,0.0009227446944279201,1784769188.0374756,1784769189.1673152,,,,0,0,0
2026-07-23T01:13:09.174,697156.975517,exp_20260722_210722,4,cpu,,0,8,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009324550628662109,127.0.0.1,10.42.0.195,10.42.0.195,8080,c1e63e53c4fd7a1db6f5911f5f02d5f1deeffe83437fcaca0cdd4a8c68b1d279,1,1,,,1784769189.167855,1784769189.1687875,0.0009324550628662109,,,,1,0.0009227446944279201,1784769188.0374756,1784769189.1673152,1784769189.17452,0.005731821060180664,0.0009324550628662109,0,0,0
2026-07-23T01:13:17.252,697165.0534811,exp_20260722_210722,4,cpu,,0,9,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0014033317565917969,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769197.2510808,1784769197.252484,0.0014033317565917969,,,,,,,,,,,0,0,0
2026-07-23T01:13:18.385,697166.1864807,exp_20260722_210722,4,cpu,,0,9,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.766266942024231,0.37,0.38024475524475526,0.39188034188034193,0.37173621318956,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769197.2531517,1784769198.3855293,1.1323776245117188,1.1323776245117188,1.0719847679138184,0.04356789588928223,1,0.0009135172474836409,1784769197.2531517,1784769198.3855293,,,,0,0,0
2026-07-23T01:13:18.394,697166.1953485,exp_20260722_210722,4,cpu,,0,9,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008339881896972656,127.0.0.1,10.42.0.195,10.42.0.195,8080,df0a2ba7c64cbde5aeebd9c309e13aaead654755c5ef06b769f506b47ffd0598,1,1,,,1784769198.3860662,1784769198.3869002,0.0008339881896972656,,,,1,0.0009135172474836409,1784769197.2531517,1784769198.3855293,1784769198.394391,0.007489919662475586,0.0008339881896972656,0,0,0
2026-07-23T01:13:26.036,697173.8370337,exp_20260722_210722,4,cpu,,0,10,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0013325214385986328,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769206.0347447,1784769206.0360773,0.0013325214385986328,,,,,,,,,,,0,0,0
2026-07-23T01:13:27.169,697174.9701147,exp_20260722_210722,4,cpu,,0,10,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6858524084091187,0.39,0.3429878454878455,0.3894993894993895,0.3516810966810967,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769206.0367916,1784769207.1692033,1.1324117183685303,1.1324117183685303,1.0719506740570068,0.04351329803466797,1,0.0009043820750088044,1784769206.0367916,1784769207.1692033,,,,0,0,0
2026-07-23T01:13:27.176,697174.9772544,exp_20260722_210722,4,cpu,,0,10,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008416175842285156,127.0.0.1,10.42.0.195,10.42.0.195,8080,78186172f21a7bc7d6964ed23a3bf263a09e4658e57bd3ce8787ca9da58f3bef,1,1,,,1784769207.169756,1784769207.1705976,0.0008416175842285156,,,,1,0.0009043820750088044,1784769206.0367916,1784769207.1692033,1784769207.1763399,0.00574183464050293,0.0008416175842285156,0,0,0
2026-07-23T01:13:34.567,697182.368204,exp_20260722_210722,4,cpu,,0,11,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012454986572265625,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769214.5660436,1784769214.567289,0.0012454986572265625,,,,,,,,,,,0,0,0
2026-07-23T01:13:35.676,697183.4769733,exp_20260722_210722,4,cpu,,0,11,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6806747913360596,0.41,0.42104978354978356,0.4435409035409036,0.4105916883777295,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769214.5680854,1784769215.6761036,1.108018159866333,1.108018159866333,1.0423624515533447,0.0500035285949707,1,0.0008953382542587164,1784769214.5680854,1784769215.6761036,,,,0,0,0
2026-07-23T01:13:35.683,697183.4839836,exp_20260722_210722,4,cpu,,0,11,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008425712585449219,127.0.0.1,10.42.0.195,10.42.0.195,8080,d8ae87e1be30667c747a06fc9802dbf41555f7762e4441261c9cfef33077fd4c,1,1,,,1784769215.6766324,1784769215.677475,0.0008425712585449219,,,,1,0.0008953382542587164,1784769214.5680854,1784769215.6761036,1784769215.6831152,0.005639791488647461,0.0008425712585449219,0,0,0
2026-07-23T01:13:42.640,697190.4412485,exp_20260722_210722,4,cpu,,0,12,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0014615058898925781,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784769222.6388927,1784769222.6403542,0.0014615058898925781,,,,,,,,,,,0,0,0
2026-07-23T01:13:43.771,697191.5727219,exp_20260722_210722,4,cpu,,0,12,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6581898927688599,0.42,0.48987947536334636,0.41474358974358977,0.4083705500602891,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784769222.6415048,1784769223.7718906,1.1303858757019043,1.1303858757019043,1.0762264728546143,0.040415048599243164,1,0.0008863848717161292,1784769222.6415048,1784769223.7718906,,,,0,0,0
2026-07-23T01:13:43.782,697191.5830653,exp_20260722_210722,4,cpu,,0,12,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008568763732910156,127.0.0.1,10.42.0.195,10.42.0.195,8080,3fda4c8c9174186f2b1f3dfb0fa1aa6d437e6c14be5fcc047c33a861f243ffac,1,1,,,1784769223.7724397,1784769223.7732966,0.0008568763732910156,,,,1,0.0008863848717161292,1784769222.6415048,1784769223.7718906,1784769223.7822185,0.008921384811401367,0.0008568763732910156,0,0,0
