ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-23T04:19:06.200,708313.9227176,exp_20260723_001647,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0023632049560546875,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784780346.1977203,1784780346.2000835,0.0023632049560546875,,,,,,,,,,,0,0,0
2026-07-23T04:19:07.329,708315.052525,exp_20260723_001647,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.137509822845459,0.17,0.07330917874396134,0.20015873015873015,0.10647173489278752,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784780346.2007296,1784780347.329928,1.1291983127593994,1.1291983127593994,1.056788682937622,0.04972386360168457,1,0.00099,1784780346.2007296,1784780347.329928,,,,0,0,0
2026-07-23T04:19:07.336,708315.0590062,exp_20260723_001647,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0007250308990478516,127.0.0.1,10.42.0.195,10.42.0.195,8080,804704e4f01659d9c3139c25ebca10bf9c2335eb12b105f00ab4bbeeafe943e1,1,1,,,1784780347.3304722,1784780347.3311973,0.0007250308990478516,,,,1,0.00099,1784780346.2007296,1784780347.329928,1784780347.3364177,0.005219459533691406,0.0007250308990478516,0,0,0
2026-07-23T04:19:16.867,708324.5904371,exp_20260723_001647,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0008471012115478516,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784780356.8670213,1784780356.8678684,0.0008471012115478516,,,,,,,,,,,0,0,0
2026-07-23T04:19:17.991,708325.7137907,exp_20260723_001647,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.008148670196533,0.18,0.1713888888888889,0.19642857142857142,0.17379200864494984,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784780356.8684993,1784780357.9912438,1.1227445602416992,1.1227445602416992,1.0628411769866943,0.04489254951477051,1,0.0009801,1784780356.8684993,1784780357.9912438,,,,0,0,0
2026-07-23T04:19:18.000,708325.7227001,exp_20260723_001647,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008847713470458984,127.0.0.1,10.42.0.195,10.42.0.195,8080,25afa6c827f477b4d63d06c5831ea6dc542f6de73702dafcb9ae073b4d62ec4d,1,1,,,1784780357.9917765,1784780357.9926612,0.0008847713470458984,,,,1,0.0009801,1784780356.8684993,1784780357.9912438,1784780358.000155,0.0074923038482666016,0.0008847713470458984,0,0,0
2026-07-23T04:19:27.623,708335.3457517,exp_20260723_001647,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0014171600341796875,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784780367.6217759,1784780367.623193,0.0014171600341796875,,,,,,,,,,,0,0,0
2026-07-23T04:19:28.751,708336.4739275,exp_20260723_001647,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9594101905822754,0.19,0.1810823754789272,0.19768620268620268,0.17118230582626867,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784780367.62401,1784780368.7514331,1.1274230480194092,1.1274230480194092,1.0691125392913818,0.04252767562866211,1,0.0009702990000000001,1784780367.62401,1784780368.7514331,,,,0,0,0
2026-07-23T04:19:28.758,708336.4812413,exp_20260723_001647,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009162425994873047,127.0.0.1,10.42.0.195,10.42.0.195,8080,2a09ef2a6e828e4fd5731d472bc4acf42bc78093cc17ae88f4de5bf20a0c18ed,1,1,,,1784780368.752005,1784780368.7529213,0.0009162425994873047,,,,1,0.0009702990000000001,1784780367.62401,1784780368.7514331,1784780368.75875,0.005827903747558594,0.0009162425994873047,0,0,0
2026-07-23T04:19:42.494,708350.216724,exp_20260723_001647,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0016202926635742188,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784780382.4926276,1784780382.494248,0.0016202926635742188,,,,,,,,,,,0,0,0
2026-07-23T04:19:43.603,708351.3255421,exp_20260723_001647,4,cpu,,0,4,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9663550853729248,0.21,0.27354901960784317,0.2526068376068376,0.21523463573463575,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784780382.4954276,1784780383.6031191,1.1076915264129639,1.1076915264129639,1.0490386486053467,0.04419565200805664,1,0.0009605960099999999,1784780382.4954276,1784780383.6031191,,,,0,0,0
2026-07-23T04:19:43.611,708351.3343752,exp_20260723_001647,4,cpu,,0,4,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008714199066162109,127.0.0.1,10.42.0.195,10.42.0.195,8080,4d366cbfd14871a014b76641565a82216b52e4deab1d997be917f99e5c4ac17e,1,1,,,1784780383.6036446,1784780383.604516,0.0008714199066162109,,,,1,0.0009605960099999999,1784780382.4954276,1784780383.6031191,1784780383.611948,0.0074310302734375,0.0008714199066162109,0,0,0
