ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-18T15:02:24.060,329313.8044462,exp_20260718_150214,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784401344.0605705,1784401344.0610065,0.0004360675811767578,,,0,0,0
2026-07-18T15:02:24.068,329313.8122349,exp_20260718_150214,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8230030536651611,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784401344.0682714,1784401345.6198707,1.5515992641448975,1.5515992641448975,,0,0,0
2026-07-18T15:02:25.620,329315.3649695,exp_20260718_150214,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b2fac0bf7097a1c1d33ea5729f086ecc5f1488800b1136e761ed8f9659857efa,1,1,,,1784401345.6210456,1784401345.721343,0.10029745101928711,,0.10029745101928711,0,0,0
2026-07-18T15:02:27.965,329317.7095718,exp_20260718_150214,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784401347.9661248,1784401347.9673321,0.0012073516845703125,,,0,0,0
2026-07-18T15:02:27.968,329317.7130366,exp_20260718_150214,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8474214673042297,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784401347.9690564,1784401348.2662148,0.29715847969055176,0.29715847969055176,,0,0,0
2026-07-18T15:02:28.267,329318.01119,exp_20260718_150214,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,c2584a53cba4b8341567bd38e54129201fd6bcd2e8f9ce0733891688f7d458ba,1,1,,,1784401348.2672296,1784401348.367671,0.10044145584106445,,0.10044145584106445,0,0,0
2026-07-18T15:02:29.922,329319.6669405,exp_20260718_150214,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784401349.9232914,1784401349.923643,0.0003516674041748047,,,0,0,0
2026-07-18T15:02:29.924,329319.6686632,exp_20260718_150214,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.789905071258545,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784401349.9246938,1784401350.2284904,0.30379652976989746,0.30379652976989746,,0,0,0
2026-07-18T15:02:30.229,329319.9733669,exp_20260718_150214,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,0547e4ef9e50a982b5a17429071e490c40bc4c295014590dc2c84afe75f922c0,1,1,,,1784401350.2294269,1784401350.329716,0.10028910636901855,,0.10028910636901855,0,0,0
2026-07-18T15:02:31.824,329321.5683575,exp_20260718_150214,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784401351.8247664,1784401351.8252857,0.0005192756652832031,,,0,0,0
