ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-18T18:18:22.935,341072.6181793,exp_20260718_181813,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784413102.935623,1784413102.936192,0.0005691051483154297,,,0,0,0
2026-07-18T18:18:22.944,341072.6273402,exp_20260718_181813,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7984523177146912,0.3125,0.15000000000000002,0.3125,0.20270270270270271,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784413102.9447267,1784413104.498269,1.5535423755645752,1.5535423755645752,,0,0,0
2026-07-18T18:18:24.499,341074.1818148,exp_20260718_181813,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d32cd76a312f3fb2f78c0e18a70c5bc3a71b7a0f9827399ba012d4ddd25ba2ae,1,1,,,1784413104.499182,1784413104.59978,0.10059809684753418,,0.10059809684753418,0,0,0
2026-07-18T18:18:27.237,341076.919826,exp_20260718_181813,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784413107.237537,1784413107.2386656,0.0011286735534667969,,,0,0,0
2026-07-18T18:18:27.240,341076.9231092,exp_20260718_181813,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.823899745941162,0.265625,0.0783811475409836,0.265625,0.12104430379746836,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784413107.2404974,1784413107.5374694,0.29697203636169434,0.29697203636169434,,0,0,0
2026-07-18T18:18:27.538,341077.2209688,exp_20260718_181813,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,3fedf5e263d458bf596155af2ec6bbe4c12c9198e211addcc71fc87ef402f53e,1,1,,,1784413107.5383813,1784413107.6385958,0.10021448135375977,,0.10021448135375977,0,0,0
2026-07-18T18:18:29.083,341078.76617,exp_20260718_181813,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784413109.0838182,1784413109.0841494,0.0003311634063720703,,,0,0,0
2026-07-18T18:18:29.085,341078.7677739,exp_20260718_181813,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8504350781440735,0.28125,0.0791015625,0.28125,0.12347560975609756,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784413109.0851407,1784413109.3826318,0.29749107360839844,0.29749107360839844,,0,0,0
2026-07-18T18:18:29.383,341079.0663663,exp_20260718_181813,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,2ab7ff33d8b433c4e7d1449699fdd6eaa493259c687d193cab8b6c2309be8d95,1,1,,,1784413109.3837917,1784413109.484191,0.10039925575256348,,0.10039925575256348,0,0,0
2026-07-18T18:18:31.046,341080.728865,exp_20260718_181813,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784413111.0466063,1784413111.047671,0.0010647773742675781,,,0,0,0
