ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-18T14:01:28.629,325658.3893369,exp_20260718_140119,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397688.6296344,1784397688.6327114,0.0030770301818847656,,,0,0,0
2026-07-18T14:01:28.633,325658.3941922,exp_20260718_140119,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.826159954071045,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397688.6341376,1784397694.6545703,6.020432710647583,6.020432710647583,,0,0,0
2026-07-18T14:01:34.655,325664.4155446,exp_20260718_140119,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,021c3d417ffed2c47f55b4dee8c0b76294bc94132afca4ca12dc101b8764ee88,1,1,,,1784397694.6555552,1784397694.7557468,0.10019159317016602,,0.10019159317016602,0,0,0
2026-07-18T14:01:35.307,325665.0675991,exp_20260718_140119,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397695.3075569,1784397695.3078313,0.00027441978454589844,,,0,0,0
2026-07-18T14:01:35.308,325665.0690969,exp_20260718_140119,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8520716428756714,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397695.3095481,1784397695.5966213,0.28707313537597656,0.28707313537597656,,0,0,0
2026-07-18T14:01:35.597,325665.3576957,exp_20260718_140119,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,8bf730d1bb4bd0494f21711f51130a8d728447ae8911e77b9f80c5a94198277d,1,1,,,1784397695.5977044,1784397695.6979957,0.10029125213623047,,0.10029125213623047,0,0,0
2026-07-18T14:01:37.287,325667.0475237,exp_20260718_140119,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397697.2878861,1784397697.288962,0.00107574462890625,,,0,0,0
2026-07-18T14:01:37.290,325667.0508052,exp_20260718_140119,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.768116056919098,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397697.290787,1784397697.5810583,0.2902712821960449,0.2902712821960449,,0,0,0
2026-07-18T14:01:37.582,325667.3422228,exp_20260718_140119,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,47917e050a458958b8689498f67cdb853f71348e17816c89bbe6a4c943f5ebe3,1,1,,,1784397697.5822208,1784397697.6826262,0.10040545463562012,,0.10040545463562012,0,0,0
2026-07-18T14:01:39.153,325668.9133889,exp_20260718_140119,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397699.153868,1784397699.155093,0.0012249946594238281,,,0,0,0
2026-07-18T14:01:39.156,325668.9166245,exp_20260718_140119,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8236936926841736,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397699.1565917,1784397699.4295378,0.2729461193084717,0.2729461193084717,,0,0,0
2026-07-18T14:01:39.430,325669.1904844,exp_20260718_140119,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9e3f7324b10afed26208fa44c3bd24a32e4e4d2ce3b2e15c05df127aa973554f,1,1,,,1784397699.430469,1784397699.5307524,0.10028338432312012,,0.10028338432312012,0,0,0
2026-07-18T14:01:41.094,325670.8551542,exp_20260718_140119,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397701.0955164,1784397701.0965483,0.0010318756103515625,,,0,0,0
2026-07-18T14:01:41.097,325670.8577017,exp_20260718_140119,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.864011526107788,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397701.097674,1784397701.3664472,0.26877331733703613,0.26877331733703613,,0,0,0
2026-07-18T14:01:41.367,325671.1273462,exp_20260718_140119,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,739c95d3b86b5b502593a48facda8cc1abac5d5382c096fe5ba00866625beabf,1,1,,,1784397701.3673584,1784397701.4679844,0.10062599182128906,,0.10062599182128906,0,0,0
2026-07-18T14:01:43.006,325672.7670366,exp_20260718_140119,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397703.0073543,1784397703.0082834,0.0009291172027587891,,,0,0,0
2026-07-18T14:01:43.009,325672.7693987,exp_20260718_140119,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8760795593261719,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397703.0094988,1784397703.2934966,0.2839977741241455,0.2839977741241455,,0,0,0
2026-07-18T14:01:43.294,325673.0543796,exp_20260718_140119,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,7ca8d5361a21106d71bcf0e80930fab9cec6830c7bdb5e06c87c58a1f84f4394,1,1,,,1784397703.2943919,1784397703.3949332,0.10054135322570801,,0.10054135322570801,0,0,0
2026-07-18T14:01:44.847,325674.6073428,exp_20260718_140119,4,7,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397704.8476636,1784397704.8486242,0.0009605884552001953,,,0,0,0
2026-07-18T14:01:44.851,325674.6115439,exp_20260718_140119,4,7,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8450319170951843,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397704.851844,1784397705.1429994,0.2911553382873535,0.2911553382873535,,0,0,0
2026-07-18T14:01:45.143,325674.903865,exp_20260718_140119,4,7,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,472fb9dedbf07f71cd7bed0f5c4959df16424692ba70b0a106e6d8fdd5a5e561,1,1,,,1784397705.1438968,1784397705.2442346,0.10033774375915527,,0.10033774375915527,0,0,0
2026-07-18T14:01:46.924,325676.6851191,exp_20260718_140119,4,8,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397706.9255195,1784397706.9266167,0.0010972023010253906,,,0,0,0
2026-07-18T14:01:46.928,325676.6887963,exp_20260718_140119,4,8,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8093945980072021,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397706.928877,1784397707.2258594,0.2969822883605957,0.2969822883605957,,0,0,0
2026-07-18T14:01:47.226,325676.986738,exp_20260718_140119,4,8,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,4f727c9d4a1e564496fbc390b1878d73806854e4181a3df6ce602ac62ad8c059,1,1,,,1784397707.226801,1784397707.3272212,0.10042023658752441,,0.10042023658752441,0,0,0
2026-07-18T14:01:48.844,325678.6045801,exp_20260718_140119,4,9,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397708.8451872,1784397708.8459868,0.0007996559143066406,,,0,0,0
2026-07-18T14:01:48.846,325678.6069434,exp_20260718_140119,4,9,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8206546902656555,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397708.846998,1784397709.1430655,0.296067476272583,0.296067476272583,,0,0,0
2026-07-18T14:01:49.143,325678.9041238,exp_20260718_140119,4,9,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9ae91fd6a801212281a8733f4e6a6b6a1f00dd7fe84ab1bb2c2d9df7ae910475,1,1,,,1784397709.1441903,1784397709.2444575,0.10026717185974121,,0.10026717185974121,0,0,0
2026-07-18T14:01:50.782,325680.5428963,exp_20260718_140119,4,10,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397710.7834473,1784397710.7843523,0.0009050369262695312,,,0,0,0
2026-07-18T14:01:50.787,325680.5472668,exp_20260718_140119,4,10,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7957372069358826,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397710.7875793,1784397711.0743332,0.28675389289855957,0.28675389289855957,,0,0,0
2026-07-18T14:01:51.075,325680.8352404,exp_20260718_140119,4,10,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e7f7d502b6dd35953d477b5dedcbeca7484d30265046d737c8d42b46ea13e10a,1,1,,,1784397711.0752947,1784397711.17593,0.10063529014587402,,0.10063529014587402,0,0,0
2026-07-18T14:01:52.735,325682.4955437,exp_20260718_140119,4,11,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397712.7356122,1784397712.7359047,0.0002925395965576172,,,0,0,0
2026-07-18T14:01:52.736,325682.4968692,exp_20260718_140119,4,11,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7861316204071045,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397712.7370033,1784397713.001753,0.26474976539611816,0.26474976539611816,,0,0,0
2026-07-18T14:01:53.002,325682.7627877,exp_20260718_140119,4,11,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,328ef7facc10e4dacb716d29906dd20f936921afb32bfad50fa80c2ac840a971,1,1,,,1784397713.0028899,1784397713.1032803,0.10039043426513672,,0.10039043426513672,0,0,0
2026-07-18T14:01:54.667,325684.4271573,exp_20260718_140119,4,12,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397714.6677284,1784397714.668624,0.0008955001831054688,,,0,0,0
2026-07-18T14:01:54.671,325684.4315315,exp_20260718_140119,4,12,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7950342297554016,0.015625,0.140625,0.015625,0.028125,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397714.6718981,1784397714.9657845,0.2938864231109619,0.2938864231109619,,0,0,0
2026-07-18T14:01:54.966,325684.7266881,exp_20260718_140119,4,12,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,634ec6f8bad0ff14d09fa96f086e50ef137911112a05751609b1d0d040a6eebd,1,1,,,1784397714.966755,1784397715.0670433,0.10028839111328125,,0.10028839111328125,0,0,0
2026-07-18T14:01:56.539,325686.2995595,exp_20260718_140119,4,13,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784397716.5399532,1784397716.5409396,0.000986337661743164,,,0,0,0
2026-07-18T14:01:56.543,325686.3039322,exp_20260718_140119,4,13,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.3467636108398438,0.015625,0.05625,0.015625,0.024456521739130432,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784397716.5440173,1784397716.8379908,0.293973445892334,0.293973445892334,,0,0,0
