ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T19:41:49.670,605277.9638968,exp_20260721_194149,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784677309.670443,1784677309.6708214,0.0003783702850341797,,,0,0,0
2026-07-21T19:41:49.672,605277.965846,exp_20260721_194149,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8020501732826233,0.328125,0.1514423076923077,0.328125,0.20723684210526316,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784677309.6725788,1784677311.3341417,1.6615629196166992,1.6615629196166992,,0,0,0
2026-07-21T19:41:51.335,605279.6289384,exp_20260721_194149,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,04ad96b9da37cc1a0ecdc2cc001754e83ef984d962bb4107953c3b7177f481fc,1,1,,,1784677311.3355412,1784677311.4361875,0.1006462574005127,,0.1006462574005127,0,0,0
2026-07-21T19:41:53.634,605281.9281649,exp_20260721_194149,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784677313.634774,1784677313.6351652,0.00039124488830566406,,,0,0,0
2026-07-21T19:41:53.636,605281.9298169,exp_20260721_194149,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8426593542099,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784677313.6364017,1784677313.9293604,0.29295873641967773,0.29295873641967773,,0,0,0
2026-07-21T19:41:53.930,605282.2236707,exp_20260721_194149,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,78c14d289f175fec06bf6bf4ac90309f65964ba3d47818395cbc1a6497b789d9,1,1,,,1784677313.9302921,1784677314.03088,0.10058784484863281,,0.10058784484863281,0,0,0
2026-07-21T19:41:55.626,605283.9202258,exp_20260721_194149,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784677315.6271083,1784677315.6276188,0.0005104541778564453,,,0,0,0
2026-07-21T19:41:55.628,605283.9220933,exp_20260721_194149,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8842982053756714,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784677315.628689,1784677315.914221,0.28553199768066406,0.28553199768066406,,0,0,0
2026-07-21T19:41:55.915,605284.2087776,exp_20260721_194149,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,2c3de89a81e3acd5586cb85b82f6b7d8b537751f42c3f6dde3cacf8972a9de03,1,1,,,1784677315.9154212,1784677316.0159638,0.10054254531860352,,0.10054254531860352,0,0,0
2026-07-21T19:41:57.856,605286.1503385,exp_20260721_194149,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784677317.8572364,1784677317.8580854,0.0008490085601806641,,,0,0,0
