ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T17:43:38.407,598186.7564394,exp_20260721_173849,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784670218.4081273,1784670218.4085276,0.00040030479431152344,,,0,0,0
2026-07-21T17:43:38.409,598186.7582295,exp_20260721_173849,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8502417206764221,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784670218.4099212,1784670220.4130943,2.0031731128692627,2.0031731128692627,,0,0,0
2026-07-21T17:43:40.414,598188.7625505,exp_20260721_173849,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,2e42706dd714556171ae1c9226b3ac037eaa4c889385d760bf28b3d97ebe7dff,1,1,,,1784670220.4142697,1784670220.5149257,0.10065603256225586,,0.10065603256225586,0,0,0
2026-07-21T17:43:42.739,598191.0880922,exp_20260721_173849,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784670222.7398024,1784670222.7403183,0.0005159378051757812,,,0,0,0
2026-07-21T17:43:42.741,598191.0895885,exp_20260721_173849,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.870321273803711,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784670222.7413447,1784670223.1181383,0.37679362297058105,0.37679362297058105,,0,0,0
2026-07-21T17:43:43.119,598191.4676197,exp_20260721_173849,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,a9e22b6e483b9920dbf0b58c91bf9235b1e0f8c1b2947e313941b7bd45217052,1,1,,,1784670223.119363,1784670223.2200377,0.10067462921142578,,0.10067462921142578,0,0,0
2026-07-21T17:43:44.677,598193.0261869,exp_20260721_173849,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784670224.6779037,1784670224.6781795,0.0002758502960205078,,,0,0,0
2026-07-21T17:43:44.679,598193.0275573,exp_20260721_173849,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8587459325790405,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784670224.6792774,1784670225.0075638,0.32828640937805176,0.32828640937805176,,0,0,0
2026-07-21T17:43:45.008,598193.3570725,exp_20260721_173849,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f4d33feb3f63506eed5501477635a3a256edbed21547573fc925b7990d141051,1,1,,,1784670225.008813,1784670225.1092255,0.10041260719299316,,0.10041260719299316,0,0,0
2026-07-21T17:43:46.657,598195.0055896,exp_20260721_173849,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784670226.657302,1784670226.6575842,0.00028228759765625,,,0,0,0
2026-07-21T17:43:46.658,598195.0069936,exp_20260721_173849,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9084201455116272,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784670226.65874,1784670227.0088234,0.3500833511352539,0.3500833511352539,,0,0,0
