ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-19T18:24:53.483,427862.6910003,exp_20260719_182444,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784499893.483774,1784499893.4842186,0.00044465065002441406,,,0,0,0
2026-07-19T18:24:53.493,427862.7007644,exp_20260719_182444,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8120229840278625,0.046875,0.049632352941176475,0.046875,0.048214285714285716,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784499893.4935737,1784499895.0268729,1.533299207687378,1.533299207687378,,0,0,0
2026-07-19T18:24:55.027,427864.234979,exp_20260719_182444,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,928b94fb66116f7921a326ec428ffc990d2670f11683592769ad93c8cc1512a7,1,1,,,1784499895.0277417,1784499895.1280684,0.1003267765045166,,0.1003267765045166,0,0,0
2026-07-19T18:24:58.037,427867.2450847,exp_20260719_182444,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784499898.0381966,1784499898.039288,0.0010914802551269531,,,0,0,0
2026-07-19T18:24:58.040,427867.2475525,exp_20260719_182444,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.852407455444336,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784499898.0403304,1784499898.3347266,0.29439616203308105,0.29439616203308105,,0,0,0
2026-07-19T18:24:58.335,427867.5431278,exp_20260719_182444,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,ce73af71b306b0e77919871fd63f10bd1082ac90b5559346192031a98f1e8832,1,1,,,1784499898.3359296,1784499898.4362574,0.10032773017883301,,0.10032773017883301,0,0,0
2026-07-19T18:25:00.065,427869.2723865,exp_20260719_182444,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784499900.0651903,1784499900.065504,0.00031375885009765625,,,0,0,0
2026-07-19T18:25:00.066,427869.2739211,exp_20260719_182444,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8467763662338257,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784499900.0669355,1784499900.3655775,0.2986419200897217,0.2986419200897217,,0,0,0
2026-07-19T18:25:00.366,427869.5740373,exp_20260719_182444,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,26dbfa058f73a36184174f45ae3c37e80a24fb30797f1325bd15203243a940d2,1,1,,,1784499900.3668468,1784499900.4674497,0.10060286521911621,,0.10060286521911621,0,0,0
2026-07-19T18:25:01.947,427871.1552666,exp_20260719_182444,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784499901.9483984,1784499901.9494455,0.0010471343994140625,,,0,0,0
