ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-19T17:08:00.095,423249.3279968,exp_20260719_170539,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784495280.095973,1784495280.09653,0.00055694580078125,,,0,0,0
2026-07-19T17:08:00.107,423249.3397327,exp_20260719_170539,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8815048933029175,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784495280.1077456,1784495281.676393,1.5686473846435547,1.5686473846435547,,0,0,0
2026-07-19T17:08:01.677,423250.9096209,exp_20260719_170539,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f13c7a6e891b59f9a85831e4c0e275164fd1ac4b221771cfb7c8d0470f8b1c49,1,1,,,1784495281.6775591,1784495281.7778113,0.10025215148925781,,0.10025215148925781,0,0,0
2026-07-19T17:08:04.125,423253.3582089,exp_20260719_170539,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784495284.1263273,1784495284.1271217,0.0007944107055664062,,,0,0,0
2026-07-19T17:08:04.129,423253.3613672,exp_20260719_170539,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9450618624687195,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784495284.1295319,1784495284.4373417,0.30780982971191406,0.30780982971191406,,0,0,0
2026-07-19T17:08:04.438,423253.6704995,exp_20260719_170539,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b7cd41dd6d7b47b8bec26c4d16a4296b6de6ea8627ca8d2088f281df55822148,1,1,,,1784495284.4384704,1784495284.538939,0.10046863555908203,,0.10046863555908203,0,0,0
2026-07-19T17:08:06.007,423255.2397835,exp_20260719_170539,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784495286.0077298,1784495286.008093,0.00036334991455078125,,,0,0,0
2026-07-19T17:08:06.009,423255.24126,exp_20260719_170539,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.863930344581604,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784495286.009262,1784495286.317261,0.3079988956451416,0.3079988956451416,,0,0,0
2026-07-19T17:08:06.318,423255.5505077,exp_20260719_170539,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,462a56c0aef3a3b3490d568f94a9fe7c850ad63df0c16a01ea263f50bbe03668,1,1,,,1784495286.318479,1784495286.4191165,0.10063743591308594,,0.10063743591308594,0,0,0
2026-07-19T17:08:07.927,423257.1600485,exp_20260719_170539,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784495287.9280758,1784495287.928421,0.0003452301025390625,,,0,0,0
