ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T18:39:05.903,601514.2379637,exp_20260721_183905,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784673545.9032922,1784673545.903686,0.00039386749267578125,,,0,0,0
2026-07-21T18:39:05.904,601514.2395146,exp_20260721_183905,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8225067853927612,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784673545.9048343,1784673547.5252416,1.6204073429107666,1.6204073429107666,,0,0,0
2026-07-21T18:39:07.526,601515.861108,exp_20260721_183905,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d226a889bdb47621bdb4ccbe66d3e8a73c93ae98f9e5ad0266386b9f1ecf3f65,1,1,,,1784673547.526588,1784673547.626799,0.10021114349365234,,0.10021114349365234,0,0,0
2026-07-21T18:39:10.300,601518.6352053,exp_20260721_183905,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784673550.300555,1784673550.300861,0.0003058910369873047,,,0,0,0
2026-07-21T18:39:10.301,601518.636509,exp_20260721_183905,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8567026853561401,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784673550.3018544,1784673550.5991697,0.2973153591156006,0.2973153591156006,,0,0,0
2026-07-21T18:39:10.599,601518.9347696,exp_20260721_183905,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,4d8bb559e519801d90a5a07b91e2c97aa1f6ec8eac0a74e78db8772a65ce771f,1,1,,,1784673550.600135,1784673550.700803,0.10066795349121094,,0.10066795349121094,0,0,0
2026-07-21T18:39:12.268,601520.6032469,exp_20260721_183905,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784673552.2688897,1784673552.2695613,0.0006716251373291016,,,0,0,0
2026-07-21T18:39:12.270,601520.605249,exp_20260721_183905,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8203341364860535,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784673552.2705915,1784673552.5595286,0.2889370918273926,0.2889370918273926,,0,0,0
2026-07-21T18:39:12.560,601520.8950945,exp_20260721_183905,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,007c3d5ade641cb3dec3b5df813fa3403e5e72e2e0288193d9d15674bc057400,1,1,,,1784673552.560488,1784673552.660708,0.1002199649810791,,0.1002199649810791,0,0,0
2026-07-21T18:39:14.422,601522.7577128,exp_20260721_183905,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784673554.4233656,1784673554.4242895,0.0009238719940185547,,,0,0,0
