ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T18:52:43.141,602331.4714374,exp_20260721_185242,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784674363.1417782,1784674363.1424277,0.0006494522094726562,,,0,0,0
2026-07-21T18:52:43.144,602331.4741525,exp_20260721_185242,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8618100881576538,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784674363.1444948,1784674364.9780703,1.8335754871368408,1.8335754871368408,,0,0,0
2026-07-21T18:52:44.979,602333.3088864,exp_20260721_185242,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,3bb06a2d1c64f45ffe16a9845654d99529ff9c58fb5b9d9f58a9e9023c5a940d,1,1,,,1784674364.979269,1784674365.0798435,0.10057449340820312,,0.10057449340820312,0,0,0
2026-07-21T18:52:47.234,602335.5639693,exp_20260721_185242,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784674367.234387,1784674367.2349527,0.0005657672882080078,,,0,0,0
2026-07-21T18:52:47.236,602335.5666324,exp_20260721_185242,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.875525176525116,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784674367.2369347,1784674367.5336118,0.2966771125793457,0.2966771125793457,,0,0,0
2026-07-21T18:52:47.534,602335.8645123,exp_20260721_185242,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,7e3172d03d034f32c967d5ea3403e0b93e69523d7e0e7d337f8982c2a895ab17,1,1,,,1784674367.53485,1784674367.6351197,0.10026979446411133,,0.10026979446411133,0,0,0
2026-07-21T18:52:49.195,602337.525473,exp_20260721_185242,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784674369.195829,1784674369.196177,0.00034809112548828125,,,0,0,0
2026-07-21T18:52:49.197,602337.5268159,exp_20260721_185242,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8992120623588562,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784674369.1971676,1784674369.523885,0.3267173767089844,0.3267173767089844,,0,0,0
2026-07-21T18:52:49.524,602337.8546545,exp_20260721_185242,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,86ea9865d96e593caafde938f250ea3ccbc14417ce770f6f6d98b88e99797a4d,1,1,,,1784674369.5250375,1784674369.6254418,0.10040426254272461,,0.10040426254272461,0,0,0
2026-07-21T18:52:51.267,602339.5976317,exp_20260721_185242,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784674371.268056,1784674371.2683392,0.00028324127197265625,,,0,0,0
