ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T18:22:22.947,600511.2862216,exp_20260721_182222,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672542.9474363,1784672542.9477994,0.0003631114959716797,,,0,0,0
2026-07-21T18:22:22.948,600511.2877323,exp_20260721_182222,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8048818707466125,0.28125,0.0791015625,0.28125,0.12347560975609756,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672542.9489763,1784672544.581951,1.632974624633789,1.632974624633789,,0,0,0
2026-07-21T18:22:24.582,600512.9219145,exp_20260721_182222,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,3371e33bfc24a08a41965a190604436b436ff7464bd434fe42115c52e4c2aaf8,1,1,,,1784672544.5831919,1784672544.6836321,0.10044026374816895,,0.10044026374816895,0,0,0
2026-07-21T18:22:26.892,600515.2311634,exp_20260721_182222,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672546.892705,1784672546.8931584,0.0004534721374511719,,,0,0,0
2026-07-21T18:22:26.894,600515.2329555,exp_20260721_182222,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8552331328392029,0.28125,0.0791015625,0.28125,0.12347560975609756,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672546.8941593,1784672547.1957347,0.3015754222869873,0.3015754222869873,,0,0,0
2026-07-21T18:22:27.196,600515.5355046,exp_20260721_182222,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,cea518b2b1a903e2ddc5185083fa9d45ee9ddd2d1f310dd0fd9e8806befc00ef,1,1,,,1784672547.1967692,1784672547.2971845,0.10041522979736328,,0.10041522979736328,0,0,0
2026-07-21T18:22:28.870,600517.2095935,exp_20260721_182222,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672548.8711476,1784672548.8721538,0.0010061264038085938,,,0,0,0
2026-07-21T18:22:28.874,600517.2138633,exp_20260721_182222,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9367746710777283,0.046875,0.046875,0.046875,0.046875,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672548.8753924,1784672549.176789,0.30139660835266113,0.30139660835266113,,0,0,0
2026-07-21T18:22:29.177,600517.5164918,exp_20260721_182222,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e943ed378db142c71b738f222164bf40ac1f5b0c87f1eddea975b96442ea5a0d,1,1,,,1784672549.1777437,1784672549.2783482,0.10060453414916992,,0.10060453414916992,0,0,0
2026-07-21T18:22:30.828,600519.1677316,exp_20260721_182222,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672550.8292825,1784672550.8297791,0.0004966259002685547,,,0,0,0
2026-07-21T18:22:30.830,600519.1695422,exp_20260721_182222,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9524683952331543,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672550.8307722,1784672551.1306837,0.2999114990234375,0.2999114990234375,,0,0,0
2026-07-21T18:22:31.131,600519.4704875,exp_20260721_182222,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,31734e21e2808bc4e0ea512e08bfaebcec4da3953ee739f329d08437ddac4e52,1,1,,,1784672551.131782,1784672551.2320116,0.10022950172424316,,0.10022950172424316,0,0,0
2026-07-21T18:22:32.626,600520.9657351,exp_20260721_182222,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672552.6270046,1784672552.6272917,0.00028705596923828125,,,0,0,0
2026-07-21T18:22:32.628,600520.9670243,exp_20260721_182222,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8943159580230713,0.015625,0.046875,0.015625,0.0234375,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672552.6282601,1784672552.92742,0.2991597652435303,0.2991597652435303,,0,0,0
2026-07-21T18:22:32.928,600521.2670341,exp_20260721_182222,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,83f3334673759ebc56dd6407a9a40a8e2b61396351244a7a1cad65f7fe88bf3c,1,1,,,1784672552.9283195,1784672553.0288403,0.10052084922790527,,0.10052084922790527,0,0,0
2026-07-21T18:22:34.477,600522.8168432,exp_20260721_182222,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672554.4784186,1784672554.4787931,0.0003745555877685547,,,0,0,0
2026-07-21T18:22:34.479,600522.8185909,exp_20260721_182222,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.87192964553833,0.015625,0.09375,0.015625,0.026785714285714284,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672554.4798224,1784672554.788795,0.3089725971221924,0.3089725971221924,,0,0,0
2026-07-21T18:22:34.789,600523.1286434,exp_20260721_182222,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9f8cbad9392e4bdd8639e3b51fac4a273d0eab3608ceef3a5a49dd35a4dc766c,1,1,,,1784672554.7899582,1784672554.8904068,0.1004486083984375,,0.1004486083984375,0,0,0
2026-07-21T18:22:36.432,600524.7718831,exp_20260721_182222,4,7,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672556.4334803,1784672556.434427,0.0009467601776123047,,,0,0,0
2026-07-21T18:22:36.435,600524.7742945,exp_20260721_182222,4,7,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8763495087623596,0.015625,0.140625,0.015625,0.028125,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672556.4355118,1784672556.7275107,0.29199886322021484,0.29199886322021484,,0,0,0
2026-07-21T18:22:36.728,600525.0671352,exp_20260721_182222,4,7,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,a6019fa7f8c2e0f10eb76a95bf782553438e3c60a34da5cebcccfc3854722df9,1,1,,,1784672556.728434,1784672556.829104,0.10066986083984375,,0.10066986083984375,0,0,0
2026-07-21T18:22:38.256,600526.5955229,exp_20260721_182222,4,8,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672558.2567987,1784672558.2571344,0.000335693359375,,,0,0,0
2026-07-21T18:22:38.257,600526.5967968,exp_20260721_182222,4,8,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8457467555999756,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672558.2580597,1784672558.655696,0.39763617515563965,0.39763617515563965,,0,0,0
2026-07-21T18:22:38.656,600526.9953918,exp_20260721_182222,4,8,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,1c4fb9ecad73fdeadb3502f56ff3738d111cac296115a5ccf1bd48e10c89b526,1,1,,,1784672558.6567202,1784672558.7571604,0.10044026374816895,,0.10044026374816895,0,0,0
2026-07-21T18:22:40.107,600528.4462204,exp_20260721_182222,4,9,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672560.1078596,1784672560.1086488,0.0007891654968261719,,,0,0,0
2026-07-21T18:22:40.109,600528.4484307,exp_20260721_182222,4,9,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8433436751365662,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672560.1096654,1784672560.4068007,0.2971353530883789,0.2971353530883789,,0,0,0
2026-07-21T18:22:40.407,600528.7465246,exp_20260721_182222,4,9,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,de7b102100eec39e12a056fbb2e3ddc87016093c82b5ae87e9329f36ef200a16,1,1,,,1784672560.4078147,1784672560.508379,0.10056424140930176,,0.10056424140930176,0,0,0
2026-07-21T18:22:42.158,600530.4969435,exp_20260721_182222,4,10,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672562.1585283,1784672562.1593547,0.0008263587951660156,,,0,0,0
2026-07-21T18:22:42.160,600530.4990335,exp_20260721_182222,4,10,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8255107998847961,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672562.1602857,1784672562.4540706,0.29378485679626465,0.29378485679626465,,0,0,0
2026-07-21T18:22:42.454,600530.7936715,exp_20260721_182222,4,10,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,4d0c6f0d6583d1b0c3d258b9df09a3fd17e2512e8d4700e4fb55e7f85a81a170,1,1,,,1784672562.4549994,1784672562.555364,0.10036444664001465,,0.10036444664001465,0,0,0
2026-07-21T18:22:44.091,600532.4303603,exp_20260721_182222,4,11,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672564.0919487,1784672564.0932224,0.0012736320495605469,,,0,0,0
2026-07-21T18:22:44.094,600532.4330804,exp_20260721_182222,4,11,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.790740430355072,0.015625,0.140625,0.015625,0.028125,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672564.094342,1784672564.3899803,0.2956383228302002,0.2956383228302002,,0,0,0
2026-07-21T18:22:44.391,600532.7299569,exp_20260721_182222,4,11,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,6f06b56802bd924deed09d0005b969b352198be852e34462847404af33a77280,1,1,,,1784672564.3912842,1784672564.4917476,0.1004633903503418,,0.1004633903503418,0,0,0
2026-07-21T18:22:45.972,600534.3116013,exp_20260721_182222,4,12,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784672565.9732106,1784672565.9742794,0.0010688304901123047,,,0,0,0
2026-07-21T18:22:45.975,600534.3140554,exp_20260721_182222,4,12,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.727526307106018,0.015625,0.140625,0.015625,0.028125,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784672565.9754043,1784672566.2725668,0.2971625328063965,0.2971625328063965,,0,0,0
