ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T17:50:07.477,252977.6195515,exp_20260717_174958,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784325007.4775639,1784325007.4789298,0.0013659000396728516,,,0,0,0
2026-07-17T17:50:07.488,252977.6311613,exp_20260717_174958,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7679892778396606,0.21875,0.3628988199300699,0.21875,0.2671218487394958,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784325007.489175,1784325009.057023,1.5678479671478271,1.5678479671478271,,0,0,0
2026-07-17T17:50:09.057,252979.2004444,exp_20260717_174958,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,af7fece9409e362b10f262259bc87c92800e97e45e678250ab2db0b9a212efff,1,1,,,1784325009.0582337,1784325009.1586137,0.10037994384765625,,0.10037994384765625,0,0,0
2026-07-17T17:50:11.688,252981.8306535,exp_20260717_174958,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784325011.6886647,1784325011.6896937,0.0010290145874023438,,,0,0,0
2026-07-17T17:50:11.692,252981.8353652,exp_20260717_174958,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8159578442573547,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784325011.6933808,1784325012.0036557,0.3102748394012451,0.3102748394012451,,0,0,0
2026-07-17T17:50:12.004,252982.1471439,exp_20260717_174958,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,55d9db7f6f206b38ae0817ea66be030c5782f2080e31f2b86cb0a02a4299ead8,1,1,,,1784325012.0048797,1784325012.1050978,0.10021805763244629,,0.10021805763244629,0,0,0
2026-07-17T17:50:13.635,252983.7775892,exp_20260717_174958,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784325013.6356072,1784325013.636087,0.00047969818115234375,,,0,0,0
2026-07-17T17:50:13.637,252983.7794994,exp_20260717_174958,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7804911136627197,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784325013.6372116,1784325013.93323,0.2960183620452881,0.2960183620452881,,0,0,0
2026-07-17T17:50:13.934,252984.0765783,exp_20260717_174958,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b21c10a97a3ba895de058aa4ef96431f470398cbb0e7e1440552cf661c6187e4,1,1,,,1784325013.9342873,1784325014.034509,0.10022163391113281,,0.10022163391113281,0,0,0
2026-07-17T17:50:15.587,252985.7304057,exp_20260717_174958,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784325015.588423,1784325015.5894666,0.001043558120727539,,,0,0,0
