ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T18:09:56.778,254166.9154623,exp_20260717_180947,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784326196.7783222,1784326196.7787673,0.0004451274871826172,,,0,0,0
2026-07-17T18:09:56.787,254166.9244044,exp_20260717_180947,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8366148471832275,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784326196.7873058,1784326198.3667176,1.5794117450714111,1.5794117450714111,,0,0,0
2026-07-17T18:09:58.367,254168.5050226,exp_20260717_180947,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9bebf82703288dda6dc7c976cb75e993349c781a9f06bd1b861062028444027a,1,1,,,1784326198.36785,1784326198.4684849,0.10063481330871582,,0.10063481330871582,0,0,0
2026-07-17T18:10:01.139,254171.2768033,exp_20260717_180947,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784326201.1397314,1784326201.1401014,0.000370025634765625,,,0,0,0
2026-07-17T18:10:01.140,254171.2783076,exp_20260717_180947,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8635629415512085,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784326201.1411164,1784326201.446898,0.30578160285949707,0.30578160285949707,,0,0,0
2026-07-17T18:10:01.447,254171.5851899,exp_20260717_180947,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9009e86c087d9ca3fc572ccab8ce34135d51c2f00ca37ca5d263aeacbd328855,1,1,,,1784326201.4480484,1784326201.5487158,0.10066747665405273,,0.10066747665405273,0,0,0
2026-07-17T18:10:03.222,254173.3601624,exp_20260717_180947,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784326203.223327,1784326203.223657,0.0003299713134765625,,,0,0,0
2026-07-17T18:10:03.224,254173.3618573,exp_20260717_180947,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.806325912475586,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784326203.2246866,1784326203.521719,0.29703235626220703,0.29703235626220703,,0,0,0
2026-07-17T18:10:03.522,254173.6602037,exp_20260717_180947,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f69e8783ce53c3bd6656e0801450817d943d1e0abc7322e4d97e2d0b0a364b25,1,1,,,1784326203.523065,1784326203.6236749,0.10060977935791016,,0.10060977935791016,0,0,0
2026-07-17T18:10:05.160,254175.2980758,exp_20260717_180947,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784326205.1609669,1784326205.1613493,0.00038242340087890625,,,0,0,0
