ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T14:20:58.650,240428.8532449,exp_20260717_141940,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784312458.6513672,1784312458.6526353,0.001268148422241211,,,0,0,0
2026-07-17T14:20:58.654,240428.8565798,exp_20260717_141940,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8503633737564087,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784312458.6542938,1784312460.18093,1.5266361236572266,1.5266361236572266,,0,0,0
2026-07-17T14:21:00.181,240430.3842956,exp_20260717_141940,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e3ac4168c8fa114eb2fc03c92bb8d67234f3244c332d3052f18edc6980456ff0,1,1,,,1784312460.182082,1784312460.282477,0.10039496421813965,,0.10039496421813965,0,0,0
2026-07-17T14:21:02.792,240432.9949813,exp_20260717_141940,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784312462.792769,1784312462.7931716,0.00040268898010253906,,,0,0,0
2026-07-17T14:21:02.794,240432.9965183,exp_20260717_141940,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8751531839370728,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784312462.7943356,1784312463.0937443,0.2994086742401123,0.2994086742401123,,0,0,0
2026-07-17T14:21:03.094,240433.2970318,exp_20260717_141940,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,58eecc327830d9a3f5d6d4fae52908e72f33976131146b3b9a791a1e8eb22ab1,1,1,,,1784312463.0948431,1784312463.1954486,0.10060548782348633,,0.10060548782348633,0,0,0
2026-07-17T14:21:04.672,240434.8746865,exp_20260717_141940,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784312464.6731205,1784312464.673569,0.00044846534729003906,,,0,0,0
2026-07-17T14:21:04.674,240434.8768347,exp_20260717_141940,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7876766324043274,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784312464.674621,1784312464.9871438,0.31252264976501465,0.31252264976501465,,0,0,0
2026-07-17T14:21:04.987,240435.1903569,exp_20260717_141940,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f28bf0d15f91ecbdf02f74a58e18b0e6e16ebc9165b6db0f8d7fe960de17c9d0,1,1,,,1784312464.9881942,1784312465.0887256,0.10053133964538574,,0.10053133964538574,0,0,0
2026-07-17T14:21:06.381,240436.5833789,exp_20260717_141940,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784312466.3814688,1784312466.3820393,0.0005705356597900391,,,0,0,0
