timestamp,wall_time_ns,mono_time_ns,experiment_id,src_ip,client_id,payload_bytes,direction,iat,dir_ratio,burst_density,inbound_bytes,outbound_bytes,inbound_count,outbound_count,inbound_share,outbound_share,raw_state_est,state_est,state_confidence,cycle_stage,inferred_round_id,completed_cycle_id,live_direction_label,live_phase_label,live_phase_confidence,adaptive_phase_label,adaptive_phase_score_idle,adaptive_phase_score_download,adaptive_phase_score_training,adaptive_phase_score_upload
1785347909.2273319,1785347909227331874,1436577444030537,exp_1785347720,10.42.0.59,10.42.0.59,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785347909.3195019,1785347909319501699,1436577536200476,exp_1785347720,10.42.0.195,10.42.0.1,52,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.630405,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785347909.3535001,1785347909353500043,1436577570198763,exp_1785347720,10.42.0.195,10.42.0.59,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785347909.3549771,1785347909354977022,1436577571675649,exp_1785347720,10.42.0.1,10.42.0.1,58,0,0.0029148761579236306,1.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.607731,0,1,0,unknown,IDLE,0.2,IDLE,3.216595,-1.2,2.862339,-1.2
1785347909.3613708,1785347909361370996,1436577578069090,exp_1785347720,10.42.0.59,10.42.0.59,257,1,0.0026529690916296932,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.940746,-1.763333,2.335845,0.603333
1785347909.3970826,1785347909397082499,1436577613781242,exp_1785347720,10.42.0.1,10.42.0.1,257,1,0.02057533029821962,100.0,1,0.0,257.0,0,1,0.0,1.0,3,1,0.95,0,1,0,outbound,UPLOAD,0.55,IDLE,3.496406,-1.763333,3.586079,0.603333
1785348119.4166353,1785348119416635319,1436787633334052,exp_1785347720,10.42.0.195,10.42.0.1,43,0,72.21296985239879,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.955793,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785348450.0339673,1785348450033967242,1437118250665642,exp_1785347720,10.42.0.18,10.42.0.18,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785348450.0980866,1785348450098086570,1437118314789972,exp_1785347720,10.42.0.195,10.42.0.1,52,0,85.11960729244043,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.9847,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785348450.101683,1785348450101683045,1437118318381988,exp_1785347720,10.42.0.195,10.42.0.18,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785348450.1031678,1785348450103167640,1437118319866732,exp_1785347720,10.42.0.1,10.42.0.1,58,0,66.15362834516728,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.98549,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
