timestamp,client_id,round,phase,src_ip,dst_ip,server_host,upload_success,phase_start,phase_end,phase_duration_s
2026-07-29T17:43:49.015,10.42.0.1,1,idle,10.42.0.195,10.42.0.1,10.42.0.195,,1785361428.9787064,1785361429.0154772,0.03677082061767578
2026-07-29T17:44:19.689,10.42.0.18,1,idle,10.42.0.18,10.42.0.195,10.42.0.195,,1785361459.4885736,1785361459.689283,0.20070934295654297
2026-07-29T17:44:19.738,10.42.0.59,1,idle,10.42.0.59,10.42.0.195,10.42.0.195,,1785361428.8743153,1785361459.7387733,30.864458084106445
2026-07-29T17:44:19.769,10.42.0.145,1,idle,10.42.0.145,10.42.0.195,10.42.0.195,,1785361447.9540424,1785361459.769998,11.815955638885498
2026-07-29T17:44:19.781,10.42.0.47,1,idle,10.42.0.47,10.42.0.195,10.42.0.195,,1785361456.0597775,1785361459.7815714,3.7217938899993896
2026-07-29T17:44:19.810,10.42.0.210,1,idle,10.42.0.210,10.42.0.195,10.42.0.195,,1785361453.6381173,1785361459.8103364,6.1722190380096436
2026-07-29T17:44:21.509,10.42.0.1,1,download,10.42.0.1,10.42.0.195,10.42.0.195,,1785361429.0154772,1785361461.5099432,32.494466066360474
2026-07-29T17:44:21.511,10.42.0.18,1,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785361459.689283,1785361461.5116649,1.8223819732666016
2026-07-29T17:44:21.516,10.42.0.18,1,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785361461.5116649,1785361461.5160666,0.004401683807373047
2026-07-29T17:44:21.524,10.42.0.145,1,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785361459.769998,1785361461.5241044,1.7541062831878662
2026-07-29T17:44:21.525,10.42.0.145,1,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785361461.5241044,1785361461.525155,0.001050710678100586
2026-07-29T17:44:21.534,10.42.0.1,1,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785361461.5099432,1785361461.53454,0.024596691131591797
2026-07-29T17:44:21.821,10.42.0.47,1,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785361459.7815714,1785361461.8216183,2.0400469303131104
2026-07-29T17:44:21.833,10.42.0.47,1,fit,10.42.0.47,10.42.0.195,10.42.0.195,,1785361461.8216183,1785361461.833157,0.01153874397277832
2026-07-29T17:44:22.112,10.42.0.59,1,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785361459.7387733,1785361462.112688,2.3739147186279297
2026-07-29T17:44:22.113,10.42.0.59,1,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785361462.112688,1785361462.1134639,0.0007758140563964844
2026-07-29T17:44:22.370,10.42.0.210,1,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785361459.8103364,1785361462.3709064,2.560570001602173
2026-07-29T17:44:22.371,10.42.0.210,1,fit,10.42.0.210,10.42.0.195,10.42.0.195,,1785361462.3709064,1785361462.3715641,0.0006577968597412109
2026-07-29T17:44:25.253,10.42.0.1,1,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785361461.53454,1785361465.253185,3.7186450958251953
2026-07-29T17:44:25.312,10.42.0.145,1,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785361461.525155,1785361465.3127253,3.7875702381134033
2026-07-29T17:44:25.343,10.42.0.59,1,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785361462.1134639,1785361465.3431535,3.229689598083496
2026-07-29T17:44:25.351,10.42.0.18,1,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785361461.5160666,1785361465.351973,3.835906505584717
2026-07-29T17:44:25.555,10.42.0.210,1,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785361462.3715641,1785361465.5557647,3.1842005252838135
2026-07-29T17:44:25.822,10.42.0.47,1,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785361461.833157,1785361465.8229568,3.989799737930298
2026-07-29T17:44:26.430,10.42.0.145,2,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785361465.3127253,1785361466.4304788,1.117753505706787
2026-07-29T17:44:26.431,10.42.0.145,2,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785361466.4304788,1785361466.431472,0.0009932518005371094
2026-07-29T17:44:26.709,10.42.0.1,2,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785361465.253185,1785361466.709707,1.456521987915039
