timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785361465.258583,exp_1785361300,10.42.0.1,1,1785361461.53454,1785361463.323364,1.788825,1678914,76,0.023851,0.320947,decision_upload_to_download,atk_10.42.0.1_1785361461534540,1785361461534539980,1785361463323364503,1450129751238634,1450131540063231
1785361465.612520,exp_1785361300,10.42.0.145,1,1785361461.525155,1785361462.36592,0.840765,403339,16,0.056051,0.460567,decision_upload_to_download,atk_10.42.0.145_1785361461525155,1785361461525155101,1785361462365920017,1450129741854015,1450130582618271
1785361465.762415,exp_1785361300,10.42.0.59,1,1785361462.113464,1785361462.979765,0.866301,113880,5,0.216575,0.620374,decision_upload_to_download,atk_10.42.0.59_1785361462113464,1785361462113463680,1785361462979765316,1450130330162091,1450131196464841
1785361465.802568,exp_1785361300,10.42.0.18,1,1785361461.516067,1785361461.586077,0.07001,357700,11,0.007001,0.025353,decision_upload_to_download,atk_10.42.0.18_1785361461516066,1785361461516066665,1785361461586076982,1450129732765607,1450129802776136
1785361466.571073,exp_1785361300,10.42.0.210,1,1785361462.371564,1785361463.003997,0.632433,175208,61,0.010541,0.323658,decision_upload_to_download,atk_10.42.0.210_1785361462371564,1785361462371563931,1785361463003997163,1450130588262136,1450131220695984
1785361466.767780,exp_1785361300,10.42.0.47,1,1785361461.833157,1785361462.702614,0.869457,356584,92,0.009554,0.276366,decision_upload_to_download,atk_10.42.0.47_1785361461833157,1785361461833157029,1785361462702614384,1450130049857333,1450130919312743
1785361467.798895,exp_1785361300,10.42.0.1,2,1785361466.712886,1785361466.712886,0.0,2896,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.1_1785361466712885,1785361466712885390,1785361466712885390,1450134929584159,1450134929584159
1785361467.832670,exp_1785361300,10.42.0.1,2,1785361466.71704,1785361466.71704,0.0,14480,1,0.0,0.0,decision_upload_to_download,,1785361466717040214,1785361466717040214,1450134933738673,1450134933738673
1785361467.876894,exp_1785361300,10.42.0.1,2,1785361466.723454,1785361466.723454,0.0,17376,1,0.0,0.0,decision_upload_to_download,,1785361466723453580,1785361466723453580,1450134940152355,1450134940152355
1785361467.979569,exp_1785361300,10.42.0.1,2,1785361466.737584,1785361466.739344,0.00176,63712,2,0.00176,0.00176,decision_upload_to_download,,1785361466737583991,1785361466739343506,1450134954282214,1450134956042300
1785361468.063503,exp_1785361300,10.42.0.1,3,1785361466.745745,1785361466.765127,0.019382,52128,2,0.019382,0.019382,decision_upload_to_download,atk_10.42.0.1_1785361466745744,1785361466745744656,1785361466765126677,1450134962443619,1450134981825254
1785361471.124832,exp_1785361300,10.42.0.1,4,1785361467.023252,1785361467.80079,0.777538,1478810,38,0.021015,0.268444,decision_upload_to_download,atk_10.42.0.1_1785361467023251,1785361467023251668,1785361467800789554,1450135239950554,1450136017488241
1785361471.960249,exp_1785361300,10.42.0.59,2,1785361467.007173,1785361467.086772,0.079599,623419,26,0.003184,0.037247,decision_upload_to_download,atk_10.42.0.59_1785361467007172,1785361467007172523,1785361467086771889,1450135223872597,1450135303470700
1785361472.479437,exp_1785361300,10.42.0.47,2,1785361468.081212,1785361468.932625,0.851413,173760,120,0.007155,0.356782,decision_upload_to_download,atk_10.42.0.47_1785361468081211,1785361468081211939,1785361468932625077,1450136297910233,1450137149323443
1785361472.520611,exp_1785361300,10.42.0.210,2,1785361467.470924,1785361467.735067,0.264142,264984,33,0.008254,0.193533,decision_upload_to_download,atk_10.42.0.210_1785361467470924,1785361467470924308,1785361467735066598,1450135687622775,1450135951765005
1785361472.836055,exp_1785361300,10.42.0.145,2,1785361466.431472,1785361466.455431,0.023959,359160,14,0.001843,0.006264,decision_upload_to_download,atk_10.42.0.145_1785361466431472,1785361466431472155,1785361466455431267,1450134648170860,1450134672129557
1785361476.557034,exp_1785361300,10.42.0.1,5,1785361472.893498,1785361474.731501,1.838003,1015048,24,0.079913,1.006639,decision_upload_to_download,atk_10.42.0.1_1785361472893498,1785361472893497830,1785361474731500569,1450141110197300,1450142948198976
1785361477.449440,exp_1785361300,10.42.0.18,2,1785361472.523294,1785361472.549328,0.026033,254364,6,0.005207,0.018951,decision_upload_to_download,atk_10.42.0.18_1785361472523294,1785361472523294481,1785361472549327544,1450140739993884,1450140766026091
1785361477.764752,exp_1785361300,10.42.0.145,3,1785361472.51806,1785361472.578099,0.060038,392740,14,0.004618,0.026871,decision_upload_to_download,atk_10.42.0.145_1785361472518060,1785361472518060523,1785361472578098487,1450140734759831,1450140794797072
1785361478.222788,exp_1785361300,10.42.0.59,3,1785361472.511239,1785361472.592444,0.081205,443840,19,0.004511,0.039483,decision_upload_to_download,atk_10.42.0.59_1785361472511239,1785361472511239171,1785361472592443620,1450140727937488,1450140809142536
1785361478.450847,exp_1785361300,10.42.0.47,3,1785361472.899769,1785361473.738772,0.839003,388064,94,0.009022,0.366188,decision_upload_to_download,atk_10.42.0.47_1785361472899769,1785361472899769091,1785361473738772051,1450141116467822,1450141955471808
