timestamp,client_id,round,round_start,round_end,round_duration_s
2026-07-29T14:54:25.240,10.42.0.1,1,1785350847.092821,1785351265.240606,418.1477851867676
2026-07-29T14:54:29.250,10.42.0.1,2,1785351265.240606,1785351269.2509987,4.010392665863037
2026-07-29T14:54:29.376,10.42.0.59,1,1785350847.0527322,1785351269.3767684,422.3240361213684
2026-07-29T14:54:29.390,10.42.0.145,1,1785351048.367607,1785351269.3906865,221.0230793952942
2026-07-29T14:54:29.459,10.42.0.47,1,1785351258.1904876,1785351269.4597495,11.269261837005615
2026-07-29T14:54:29.466,10.42.0.18,1,1785351263.2887976,1785351269.4660635,6.177265882492065
2026-07-29T14:54:29.755,10.42.0.210,1,1785350935.0712748,1785351269.7558217,334.68454694747925
2026-07-29T14:54:34.358,10.42.0.1,3,1785351269.2509987,1785351274.3587246,5.1077258586883545
2026-07-29T14:54:34.589,10.42.0.59,2,1785351269.3767684,1785351274.5894043,5.2126359939575195
2026-07-29T14:54:34.701,10.42.0.18,2,1785351269.4660635,1785351274.7016473,5.235583782196045
2026-07-29T14:54:34.710,10.42.0.47,2,1785351269.4597495,1785351274.7102244,5.25047492980957
2026-07-29T14:54:35.049,10.42.0.210,2,1785351269.7558217,1785351275.0498962,5.294074535369873
2026-07-29T14:54:39.396,10.42.0.1,4,1785351274.3587246,1785351279.3962896,5.037564992904663
2026-07-29T14:54:39.658,10.42.0.47,3,1785351274.7102244,1785351279.6581826,4.94795823097229
2026-07-29T14:54:39.660,10.42.0.59,3,1785351274.5894043,1785351279.6601274,5.070723056793213
2026-07-29T14:54:39.680,10.42.0.145,2,1785351269.3906865,1785351279.6809862,10.290299654006958
2026-07-29T14:54:39.875,10.42.0.18,3,1785351274.7016473,1785351279.875672,5.174024820327759
2026-07-29T14:54:40.546,10.42.0.210,3,1785351275.0498962,1785351280.5464401,5.496543884277344
2026-07-29T14:54:45.046,10.42.0.1,5,1785351279.3962896,1785351285.0467834,5.650493860244751
2026-07-29T14:54:45.359,10.42.0.145,3,1785351279.6809862,1785351285.359275,5.67828893661499
2026-07-29T14:54:45.371,10.42.0.59,4,1785351279.6601274,1785351285.3716562,5.711528778076172
2026-07-29T14:54:45.518,10.42.0.210,4,1785351280.5464401,1785351285.5185862,4.972146034240723
2026-07-29T14:54:45.526,10.42.0.47,4,1785351279.6581826,1785351285.5266097,5.868427038192749
2026-07-29T14:54:45.530,10.42.0.18,4,1785351279.875672,1785351285.5302176,5.654545545578003
