timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785351266.101105,exp_1785350609,10.42.0.1,1,1785351265.170609,1785351265.223242,0.052633,137560,6,0.010527,0.043317,decision_upload_to_download,atk_10.42.0.1_1785351265170608,1785351265170608695,1785351265223242106,1439933387307249,1439933439940466
1785351269.259219,exp_1785350609,10.42.0.1,2,1785351265.254241,1785351267.251469,1.997228,2598528,96,0.021023,0.546361,decision_upload_to_download,atk_10.42.0.1_1785351265254241,1785351265254241084,1785351267251469293,1439933470939700,1439935468168705
1785351269.727667,exp_1785350609,10.42.0.59,1,1785351265.648996,1785351266.241389,0.592392,439460,14,0.045569,0.274311,decision_upload_to_download,atk_10.42.0.59_1785351265648996,1785351265648996374,1785351266241388587,1439933865696182,1439934458087075
1785351269.795960,exp_1785350609,10.42.0.145,1,1785351264.964014,1785351265.392409,0.428394,571247,19,0.0238,0.231083,decision_upload_to_download,atk_10.42.0.145_1785351264964014,1785351264964014369,1785351265392408452,1439933180712653,1439933609106522
1785351270.057427,exp_1785350609,10.42.0.47,1,1785351265.880669,1785351266.264711,0.384042,386392,42,0.009367,0.236514,decision_upload_to_download,atk_10.42.0.47_1785351265880669,1785351265880669120,1785351266264711198,1439934097367626,1439934481411784
1785351270.071879,exp_1785350609,10.42.0.18,1,1785351264.928188,1785351265.449898,0.52171,440920,40,0.013377,0.198142,decision_upload_to_download,atk_10.42.0.18_1785351264928187,1785351264928187821,1785351265449897344,1439933144886108,1439933666597027
1785351270.721847,exp_1785350609,10.42.0.210,1,1785351266.817062,1785351266.901128,0.084066,665376,65,0.001314,0.003371,decision_upload_to_download,atk_10.42.0.210_1785351266817062,1785351266817061829,1785351266901127923,1439935033760557,1439935117827040
1785351274.363627,exp_1785350609,10.42.0.1,3,1785351270.684827,1785351272.46721,1.782383,2949021,66,0.027421,0.350826,decision_upload_to_download,atk_10.42.0.1_1785351270684826,1785351270684826948,1785351272467210309,1439938901525352,1439940683909093
1785351275.363114,exp_1785350609,10.42.0.59,2,1785351271.561509,1785351271.642231,0.080722,595680,15,0.005766,0.044194,decision_upload_to_download,atk_10.42.0.59_1785351271561509,1785351271561509099,1785351271642230827,1439939778209111,1439939858929259
1785351275.713974,exp_1785350609,10.42.0.18,2,1785351270.672123,1785351270.709783,0.037659,309520,27,0.001448,0.013353,decision_upload_to_download,atk_10.42.0.18_1785351270672123,1785351270672123145,1785351270709782499,1439938888822361,1439938926480885
