timestamp,wall_time_ns,mono_time_ns,experiment_id,src_ip,client_id,payload_bytes,direction,iat,dir_ratio,burst_density,inbound_bytes,outbound_bytes,inbound_count,outbound_count,inbound_share,outbound_share,raw_state_est,state_est,state_confidence,cycle_stage,inferred_round_id,completed_cycle_id,live_direction_label,live_phase_label,live_phase_confidence,adaptive_phase_label,adaptive_phase_score_idle,adaptive_phase_score_download,adaptive_phase_score_training,adaptive_phase_score_upload
1785350847.0527322,1785350847052732208,1439515269430707,exp_1785350609,10.42.0.59,10.42.0.59,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785350847.092821,1785350847092821062,1439515309520607,exp_1785350609,10.42.0.195,10.42.0.1,52,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.630405,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785350847.0951974,1785350847095197486,1439515311896005,exp_1785350609,10.42.0.195,10.42.0.59,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785350847.0961792,1785350847096179239,1439515312877590,exp_1785350609,10.42.0.1,10.42.0.1,58,0,0.002145056581748634,1.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.607733,0,1,0,unknown,IDLE,0.2,IDLE,3.185802,-1.2,2.793055,-1.2
1785350847.1022854,1785350847102285220,1439515318983385,exp_1785350609,10.42.0.59,10.42.0.59,257,1,0.001589259392916964,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.91238,-1.763333,2.272022,0.603333
1785350847.1391208,1785350847139120961,1439515355820083,exp_1785350609,10.42.0.1,10.42.0.1,257,1,0.020180440147063983,100.0,1,0.0,257.0,0,1,0.0,1.0,3,1,0.95,0,1,0,outbound,UPLOAD,0.55,IDLE,3.465347,-1.763333,3.516196,0.603333
1785350935.0712748,1785350935071274839,1439603287974395,exp_1785350609,10.42.0.210,10.42.0.210,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785350935.1601677,1785350935160167595,1439603376866012,exp_1785350609,10.42.0.195,10.42.0.1,52,0,30.281570874587562,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.955793,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785350935.1615248,1785350935161524612,1439603378223842,exp_1785350609,10.42.0.195,10.42.0.210,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785350935.1630063,1785350935163006084,1439603379705377,exp_1785350609,10.42.0.1,10.42.0.1,58,0,22.206267609778962,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.9847,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785350935.1805723,1785350935180572276,1439603397270563,exp_1785350609,10.42.0.210,10.42.0.210,255,1,0.0011005798440785202,100.0,1,0.0,255.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.899349,-1.763333,2.242701,0.603333
1785350935.218569,1785350935218568859,1439603435268751,exp_1785350609,10.42.0.1,10.42.0.1,255,1,17.266854143250587,100.0,1,0.0,255.0,0,1,0.0,1.0,3,1,0.98549,0,1,0,outbound,UPLOAD,0.55,IDLE,1.0,0.0,0.0,0.0
1785351048.367607,1785351048367607162,1439716584305431,exp_1785350609,10.42.0.145,10.42.0.145,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785351048.4111736,1785351048411173751,1439716627872824,exp_1785350609,10.42.0.195,10.42.0.1,52,0,36.01938929897423,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.985508,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351048.4148288,1785351048414828762,1439716631527010,exp_1785350609,10.42.0.195,10.42.0.145,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785351048.4160545,1785351048416054522,1439716632752991,exp_1785350609,10.42.0.1,10.42.0.1,58,0,29.636676293037134,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.985509,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351048.4213681,1785351048421368009,1439716638066092,exp_1785350609,10.42.0.145,10.42.0.145,257,1,0.0014198008420663755,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.907861,-1.763333,2.261855,0.603333
1785351048.4591374,1785351048459137483,1439716675836735,exp_1785350609,10.42.0.1,10.42.0.1,257,1,24.761086698351306,100.0,1,0.0,257.0,0,1,0.0,1.0,3,1,0.985509,0,1,0,outbound,UPLOAD,0.55,IDLE,1.0,0.0,0.0,0.0
1785351057.159834,1785351057159833952,1439725376532661,exp_1785350609,10.42.0.195,10.42.0.1,43,0,22.26339187789448,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.747058,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351145.2364945,1785351145236494515,1439813453193884,exp_1785350609,10.42.0.195,10.42.0.1,43,0,32.109342141503134,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.624421,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351258.1904876,1785351258190487678,1439926407186092,exp_1785350609,10.42.0.47,10.42.0.47,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785351258.231738,1785351258231738112,1439926448437357,exp_1785350609,10.42.0.195,10.42.0.1,52,0,43.83860738426242,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.647161,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351258.2332718,1785351258233271758,1439926449969558,exp_1785350609,10.42.0.195,10.42.0.47,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785351258.23399,1785351258233989819,1439926450687739,exp_1785350609,10.42.0.1,10.42.0.1,58,0,37.629557968527486,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.547017,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351258.235453,1785351258235452814,1439926452150758,exp_1785350609,10.42.0.47,10.42.0.47,255,1,0.0002588116067207782,100.0,1,0.0,255.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.876902,-1.763333,2.192195,0.603333
1785351258.2778153,1785351258277815397,1439926494514215,exp_1785350609,10.42.0.1,10.42.0.1,255,1,32.39908658220126,100.0,1,0.0,255.0,0,1,0.0,1.0,3,1,0.959437,0,1,0,outbound,UPLOAD,0.55,IDLE,2.594849,-0.533333,2.801505,1.509524
1785351258.466251,1785351258466250948,1439926682949676,exp_1785350609,10.42.0.195,10.42.0.1,43,0,27.98202456452652,100.0,1,0.0,255.0,0,1,0.0,1.0,3,1,0.984701,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351263.2887976,1785351263288797638,1439931505496041,exp_1785350609,10.42.0.18,10.42.0.18,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785351263.3530972,1785351263353097126,1439931569796623,exp_1785350609,10.42.0.195,10.42.0.1,52,0,24.84299228440377,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.801158,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351263.354837,1785351263354836865,1439931571535002,exp_1785350609,10.42.0.195,10.42.0.18,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785351263.3557608,1785351263355760783,1439931572459029,exp_1785350609,10.42.0.1,10.42.0.1,58,0,21.492226025062784,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.623178,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351263.3598273,1785351263359827152,1439931576525461,exp_1785350609,10.42.0.18,10.42.0.18,257,1,0.0011788838661583102,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.901437,-1.763333,2.2474,0.603333
1785351263.398265,1785351263398264818,1439931614963571,exp_1785350609,10.42.0.1,10.42.0.1,257,1,18.61507080181988,100.0,1,0.0,257.0,0,1,0.0,1.0,3,1,0.966125,0,1,0,outbound,UPLOAD,0.55,IDLE,2.636103,-0.551852,2.857157,1.437037
1785351263.4070323,1785351263407032263,1439931623731366,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,16.1360502695334,0.04,2,7240.0,257.0,1,1,0.96572,0.03428,1,1,0.95,0,1,0,inbound,DOWNLOAD,0.55,IDLE,1.712383,-0.157895,3.401011,1.173684
1785351263.4079564,1785351263407956546,1439931624654774,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,13.988480563140675,0.02,3,14480.0,257.0,2,1,0.982561,0.017439,1,1,0.982824,0,1,0,inbound,DOWNLOAD,0.55,IDLE,1.137525,0.38,3.521931,1.2
1785351263.409181,1785351263409181105,1439931625879335,exp_1785350609,10.42.0.195,10.42.0.1,14480,-1,12.131367435762483,0.01,4,28960.0,257.0,3,1,0.991204,0.008796,1,1,0.98423,0,1,0,inbound,DOWNLOAD,0.55,IDLE,0.762415,1.195,3.257934,1.575
1785351263.4100566,1785351263410056828,1439931626754958,exp_1785350609,10.42.0.195,10.42.0.1,8688,-1,10.523766443395457,0.01,5,37648.0,257.0,4,1,0.99322,0.00678,1,1,0.984259,0,1,0,inbound,DOWNLOAD,0.55,IDLE,0.289666,2.12,2.906749,2.06
1785351263.41127,1785351263411269936,1439931627968017,exp_1785350609,10.42.0.195,10.42.0.1,5792,-1,9.131208281898761,0.01,6,43440.0,257.0,5,1,0.994119,0.005881,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,IDLE,0.215219,2.67,2.871743,1.83
1785351263.412619,1785351263412619095,1439931629317421,exp_1785350609,10.42.0.195,10.42.0.1,26064,-1,7.924233473054511,0.0,7,69504.0,257.0,6,1,0.996316,0.003684,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,IDLE,0.198698,2.96,2.792071,1.68
1785351263.413961,1785351263413961006,1439931630659164,exp_1785350609,10.42.0.195,10.42.0.1,17968,-1,6.8776532674284665,0.0,8,87472.0,257.0,7,1,0.997071,0.002929,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.156375,3.315,2.688094,1.595
1785351263.4155262,1785351263415526222,1439931632224658,exp_1785350609,10.42.0.195,10.42.0.18,100,0,0.020423842671076293,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.927996,0,1,0,unknown,IDLE,0.2,IDLE,3.337055,-1.595,3.237123,0.105
1785351263.4167945,1785351263416794514,1439931633494085,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,5.970063103815038,0.0,9,94712.0,257.0,8,1,0.997294,0.002706,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.336243,3.525,2.781093,1.025
1785351263.4179802,1785351263417980063,1439931634679822,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,5.182428325341187,0.0,10,101952.0,257.0,9,1,0.997486,0.002514,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.304431,3.746429,2.660326,0.906429
1785351263.4199026,1785351263419902352,1439931636601258,exp_1785350609,10.42.0.195,10.42.0.1,17376,-1,4.4990574572683,0.0,11,119328.0,257.0,10,1,0.997851,0.002149,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.232895,4.025,2.519013,0.845
1785351263.4212344,1785351263421234558,1439931637932791,exp_1785350609,10.42.0.195,10.42.0.1,5200,-1,3.9059058330527496,0.0,12,124528.0,257.0,11,1,0.99794,0.00206,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.19896,4.378,2.42366,0.518
1785351263.4221454,1785351263422145353,1439931638844176,exp_1785350609,10.42.0.195,10.42.0.1,22480,-1,3.391022114161708,0.0,13,147008.0,257.0,12,1,0.998255,0.001745,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.097947,4.71,2.280381,0.51
1785351263.4231706,1785351263423170632,1439931639869083,exp_1785350609,10.42.0.195,10.42.0.1,36832,-1,2.9441074281773423,0.0,14,183840.0,257.0,13,1,0.998604,0.001396,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,-0.029119,5.053846,2.092751,0.513846
1785351263.4240587,1785351263424058647,1439931640756770,exp_1785350609,10.42.0.195,10.42.0.1,4344,-1,2.556135612345524,0.0,15,188184.0,257.0,14,1,0.998636,0.001364,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,-0.143581,5.345862,1.893321,0.465862
1785351263.4253314,1785351263425331457,1439931642029758,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,2.21938441654574,0.0,16,195424.0,257.0,15,1,0.998687,0.001313,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.4262173,1785351263426217314,1439931642915481,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,1.9269870038470627,0.0,17,202664.0,257.0,16,1,0.998733,0.001267,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.4278924,1785351263427892401,1439931644590685,exp_1785350609,10.42.0.195,10.42.0.1,22560,-1,1.6732434479558003,0.0,18,225224.0,257.0,17,1,0.99886,0.00114,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.4288003,1785351263428800283,1439931645498616,exp_1785350609,10.42.0.195,10.42.0.210,87,0,40.58236777242058,1.0,0,0.0,0.0,0,0,0.0,0.0,3,0,0.927996,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351263.4296768,1785351263429676715,1439931646374875,exp_1785350609,10.42.0.195,10.42.0.1,7240,-1,1.45296385418885,0.0,19,232464.0,257.0,18,1,0.998896,0.001104,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.4305596,1785351263430559778,1439931647257828,exp_1785350609,10.42.0.195,10.42.0.1,1448,-1,1.261600965216884,0.0,20,233912.0,257.0,19,1,0.998903,0.001097,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.4322186,1785351263432218746,1439931648917049,exp_1785350609,10.42.0.195,10.42.0.145,87,0,1.6765450339429557,1.0,0,0.0,0.0,0,0,0.0,0.0,3,0,0.927996,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785351263.4336,1785351263433599911,1439931650298703,exp_1785350609,10.42.0.195,10.42.0.1,5792,-1,1.0957445543068969,0.0,21,239704.0,257.0,20,1,0.998929,0.001071,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.435846,1785351263435846246,1439931652545847,exp_1785350609,10.42.0.195,10.42.0.18,5840,-1,0.02039613053917473,0.04,2,5840.0,257.0,1,1,0.957848,0.042152,1,1,0.983611,0,1,0,inbound,DOWNLOAD,0.55,IDLE,2.119982,-0.272,4.455959,-0.372
1785351263.4369507,1785351263436950780,1439931653649499,exp_1785350609,10.42.0.195,10.42.0.1,1448,-1,0.9517882328463578,0.0,22,241152.0,257.0,21,1,0.998935,0.001065,1,1,0.98426,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
1785351263.4383762,1785351263438376292,1439931655075019,exp_1785350609,10.42.0.195,10.42.0.1,840,-1,0.8265502912612268,0.0,23,241992.0,257.0,22,1,0.998939,0.001061,1,1,0.984234,0,1,0,inbound,DOWNLOAD,0.55,DOWNLOAD,0.0,1.0,0.0,0.0
