timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785355102.619610,exp_1785353613,10.42.0.1,1,1785355101.823175,1785355101.831681,0.008506,63712,3,0.004253,0.007604,decision_upload_to_download,atk_10.42.0.1_1785355101823175,1785355101823175254,1785355101831681215,1443770039874030,1443770048380116
1785355103.709346,exp_1785353613,10.42.0.1,2,1785355101.876006,1785355102.601626,0.72562,485154,22,0.034553,0.227677,decision_upload_to_download,atk_10.42.0.1_1785355101876006,1785355101876006437,1785355102601626351,1443770092705184,1443770818324633
1785355104.079597,exp_1785353613,10.42.0.1,3,1785355102.862143,1785355103.14815,0.286006,70952,4,0.095335,0.268864,decision_upload_to_download,atk_10.42.0.1_1785355102862143,1785355102862143284,1785355103148149811,1443771078841997,1443771364848450
1785355104.218168,exp_1785353613,10.42.0.1,4,1785355103.160431,1785355103.186276,0.025845,88328,4,0.008615,0.012275,decision_upload_to_download,atk_10.42.0.1_1785355103160431,1785355103160430883,1785355103186276209,1443771377129670,1443771402975179
1785355104.270615,exp_1785353613,10.42.0.1,5,1785355103.427042,1785355103.433937,0.006895,82536,3,0.003447,0.005126,decision_upload_to_download,atk_10.42.0.1_1785355103427042,1785355103427042081,1785355103433936957,1443771643741338,1443771650635268
1785355104.306547,exp_1785353613,10.42.0.1,6,1785355103.446375,1785355103.446375,0.0,18824,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.1_1785355103446375,1785355103446375429,1785355103446375429,1443771663073613,1443771663073613
1785355104.334250,exp_1785353613,10.42.0.1,6,1785355103.452744,1785355103.452744,0.0,30408,1,0.0,0.0,decision_upload_to_download,,1785355103452744181,1785355103452744181,1443771669442798,1443771669442798
1785355104.454232,exp_1785353613,10.42.0.1,6,1785355103.460748,1785355103.48298,0.022232,178288,7,0.003705,0.00693,decision_upload_to_download,,1785355103460748350,1785355103482980646,1443771677446735,1443771699679090
1785355106.694843,exp_1785353613,10.42.0.1,7,1785355104.496464,1785355104.782506,0.286042,861560,80,0.003621,0.101686,decision_upload_to_download,atk_10.42.0.1_1785355104496464,1785355104496464025,1785355104782506371,1443772713162610,1443772999205077
1785355106.980158,exp_1785353613,10.42.0.47,1,1785355102.316271,1785355103.183664,0.867393,398816,99,0.008851,0.261158,decision_upload_to_download,atk_10.42.0.47_1785355102316271,1785355102316271467,1785355103183663808,1443770532970225,1443771400362565
1785355107.197232,exp_1785353613,10.42.0.145,1,1785355101.857557,1785355101.902623,0.045066,239315,5,0.011266,0.021513,decision_upload_to_download,atk_10.42.0.145_1785355101857557,1785355101857557361,1785355101902623008,1443770074256176,1443770119321601
1785355107.235252,exp_1785353613,10.42.0.18,1,1785355101.898407,1785355102.587735,0.689328,589840,58,0.012093,0.203449,decision_upload_to_download,atk_10.42.0.18_1785355101898407,1785355101898407012,1785355102587735204,1443770115106520,1443770804433412
1785355107.375620,exp_1785353613,10.42.0.59,1,1785355102.113886,1785355102.829173,0.715288,289080,12,0.065026,0.258935,decision_upload_to_download,atk_10.42.0.59_1785355102113885,1785355102113885617,1785355102829173314,1443770330584260,1443771045871542
1785355107.926058,exp_1785353613,10.42.0.210,1,1785355104.369239,1785355104.478494,0.109255,1244200,80,0.001383,0.003068,decision_upload_to_download,atk_10.42.0.210_1785355104369239,1785355104369239400,1785355104478494541,1443772585937866,1443772695192928
1785355112.073956,exp_1785353613,10.42.0.1,8,1785355108.464935,1785355110.033289,1.568355,3015228,116,0.013638,0.2733,decision_upload_to_download,atk_10.42.0.1_1785355108464934,1785355108464934725,1785355110033289570,1443776681633005,1443778249988426
1785355112.529705,exp_1785353613,10.42.0.47,2,1785355108.145784,1785355109.27029,1.124506,377928,99,0.011475,0.274268,decision_upload_to_download,atk_10.42.0.47_1785355108145784,1785355108145783951,1785355109270289951,1443776362483035,1443777486988338
1785355112.650277,exp_1785353613,10.42.0.145,2,1785355108.162166,1785355108.207151,0.044985,383994,10,0.004998,0.018649,decision_upload_to_download,atk_10.42.0.145_1785355108162166,1785355108162166010,1785355108207151071,1443776378864779,1443776423850767
1785355112.957264,exp_1785353613,10.42.0.18,2,1785355108.212977,1785355108.902447,0.68947,129940,13,0.057456,0.440208,decision_upload_to_download,atk_10.42.0.18_1785355108212976,1785355108212976729,1785355108902446728,1443776429675982,1443777119145295
1785355113.000875,exp_1785353613,10.42.0.59,2,1785355108.184283,1785355108.69441,0.510126,259880,12,0.046375,0.270048,decision_upload_to_download,atk_10.42.0.59_1785355108184283,1785355108184283455,1785355108694409753,1443776400982426,1443776911108467
1785355113.452182,exp_1785353613,10.42.0.210,2,1785355108.426771,1785355108.714716,0.287945,222992,36,0.008227,0.223712,decision_upload_to_download,atk_10.42.0.210_1785355108426771,1785355108426771282,1785355108714716494,1443776643469880,1443776931415073
1785355117.547220,exp_1785353613,10.42.0.1,9,1785355113.424984,1785355115.405208,1.980224,2083998,72,0.02789,0.53885,decision_upload_to_download,atk_10.42.0.1_1785355113424984,1785355113424984313,1785355115405208284,1443781641682606,1443783621907399
1785355118.202952,exp_1785353613,10.42.0.47,3,1785355114.785207,1785355115.435265,0.650058,545896,103,0.006373,0.250606,decision_upload_to_download,atk_10.42.0.47_1785355114785206,1785355114785206768,1785355115435264688,1443783001905883,1443783651963166
1785355118.455927,exp_1785353613,10.42.0.145,3,1785355113.432436,1785355113.445843,0.013407,221920,6,0.002681,0.007566,decision_upload_to_download,atk_10.42.0.145_1785355113432436,1785355113432436178,1785355113445843554,1443781649134997,1443781662542332
1785355118.908011,exp_1785353613,10.42.0.18,3,1785355113.390469,1785355113.937207,0.546737,646780,54,0.010316,0.205361,decision_upload_to_download,atk_10.42.0.18_1785355113390469,1785355113390469463,1785355113937206726,1443781607168079,1443782153905133
1785355118.981094,exp_1785353613,10.42.0.59,3,1785355113.411424,1785355113.716497,0.305073,614660,13,0.025423,0.274773,decision_upload_to_download,atk_10.42.0.59_1785355113411423,1785355113411423678,1785355113716496601,1443781628122852,1443781933195044
1785355119.089543,exp_1785353613,10.42.0.210,3,1785355114.612684,1785355114.651673,0.038989,286704,37,0.001083,0.002254,decision_upload_to_download,atk_10.42.0.210_1785355114612684,1785355114612684645,1785355114651673374,1443782829382885,1443782868371679
1785355122.593428,exp_1785353613,10.42.0.1,10,1785355119.290811,1785355120.885849,1.595038,3616043,134,0.011993,0.247896,decision_upload_to_download,atk_10.42.0.1_1785355119290810,1785355119290810807,1785355120885848983,1443787507509034,1443789102547906
1785355123.806284,exp_1785353613,10.42.0.47,4,1785355119.5148,1785355120.124087,0.609287,278016,71,0.008704,0.296655,decision_upload_to_download,atk_10.42.0.47_1785355119514799,1785355119514799881,1785355120124086406,1443787731498812,1443788340784693
1785355123.990555,exp_1785353613,10.42.0.145,4,1785355119.068989,1785355119.123743,0.054754,192720,5,0.013689,0.031786,decision_upload_to_download,atk_10.42.0.145_1785355119068989,1785355119068988877,1785355119123743343,1443787285687331,1443787340441911
1785355124.013292,exp_1785353613,10.42.0.59,4,1785355118.920817,1785355119.105597,0.18478,447058,11,0.018478,0.160094,decision_upload_to_download,atk_10.42.0.59_1785355118920817,1785355118920816963,1785355119105597295,1443787137515279,1443787322295779
1785355124.267098,exp_1785353613,10.42.0.18,4,1785355119.099162,1785355119.308051,0.208889,188340,17,0.013056,0.185986,decision_upload_to_download,atk_10.42.0.18_1785355119099161,1785355119099161752,1785355119308051438,1443787315860487,1443787524749502
1785355124.447933,exp_1785353613,10.42.0.210,4,1785355119.080317,1785355119.313187,0.23287,228784,50,0.004752,0.187886,decision_upload_to_download,atk_10.42.0.210_1785355119080317,1785355119080316818,1785355119313187284,1443787297015249,1443787529885437
1785355127.523852,exp_1785353613,10.42.0.1,11,1785355124.208346,1785355126.002275,1.793929,1913282,85,0.021356,0.340343,decision_upload_to_download,atk_10.42.0.1_1785355124208345,1785355124208345504,1785355126002275004,1443792425044043,1443794218974267
1785355128.391716,exp_1785353613,10.42.0.47,5,1785355124.203367,1785355125.295906,1.09254,440192,111,0.009932,0.250854,decision_upload_to_download,atk_10.42.0.47_1785355124203366,1785355124203366542,1785355125295906354,1443792420065076,1443793512604575
1785355128.636693,exp_1785353613,10.42.0.145,5,1785355123.906207,1785355123.920739,0.014533,119720,3,0.007266,0.012317,decision_upload_to_download,atk_10.42.0.145_1785355123906206,1785355123906206843,1785355123920739285,1443792122905037,1443792137438175
1785355128.739194,exp_1785353613,10.42.0.59,5,1785355123.916039,1785355123.916039,0.0,64240,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785355123916038,1785355123916038762,1785355123916038762,1443792132737587,1443792132737587
1785355128.822677,exp_1785353613,10.42.0.18,5,1785355123.895703,1785355124.228396,0.332693,245280,20,0.01751,0.280259,decision_upload_to_download,atk_10.42.0.18_1785355123895703,1785355123895702972,1785355124228395777,1443792112401613,1443792445094160
1785355128.959977,exp_1785353613,10.42.0.210,5,1785355125.239448,1785355125.302134,0.062686,160728,30,0.002162,0.036873,decision_upload_to_download,atk_10.42.0.210_1785355125239448,1785355125239448405,1785355125302134131,1443793456146704,1443793518832819
1785355132.567876,exp_1785353613,10.42.0.1,12,1785355129.450743,1785355130.908523,1.45778,4352459,111,0.013253,0.192765,decision_upload_to_download,atk_10.42.0.1_1785355129450743,1785355129450743422,1785355130908523246,1443797667441830,1443799125221820
1785355133.604218,exp_1785353613,10.42.0.47,6,1785355129.882668,1785355130.978008,1.095341,738480,123,0.008978,0.173917,decision_upload_to_download,atk_10.42.0.47_1785355129882667,1785355129882667641,1785355130978008325,1443798099365902,1443799194706909
1785355133.922732,exp_1785353613,10.42.0.145,6,1785355128.975157,1785355129.016271,0.041113,620500,17,0.00257,0.00677,decision_upload_to_download,atk_10.42.0.145_1785355128975157,1785355128975157165,1785355129016270553,1443797191855554,1443797232969307
1785355133.970095,exp_1785353613,10.42.0.18,6,1785355128.961137,1785355129.233283,0.272147,236809,26,0.010886,0.232942,decision_upload_to_download,atk_10.42.0.18_1785355128961136,1785355128961136645,1785355129233283208,1443797177834857,1443797449981489
1785355134.060078,exp_1785353613,10.42.0.59,5,1785355128.955207,1785355128.992245,0.037038,56940,2,0.037038,0.037038,decision_upload_to_download,,1785355128955207456,1785355128992245191,1443797171905947,1443797208943631
1785355134.251151,exp_1785353613,10.42.0.210,6,1785355129.209139,1785355129.242734,0.033594,86880,32,0.001084,0.007789,decision_upload_to_download,atk_10.42.0.210_1785355129209139,1785355129209139367,1785355129242733946,1443797425837845,1443797459432149
1785355137.967005,exp_1785353613,10.42.0.1,13,1785355134.10803,1785355136.345198,2.237169,3569977,93,0.024317,0.574963,decision_upload_to_download,atk_10.42.0.1_1785355134108029,1785355134108029660,1785355136345198288,1443802324727878,1443804561896746
1785355138.927292,exp_1785353613,10.42.0.47,7,1785355134.362622,1785355135.483777,1.121156,560376,144,0.00784,0.260458,decision_upload_to_download,atk_10.42.0.47_1785355134362621,1785355134362621321,1785355135483777399,1443802579320360,1443803700475892
1785355139.125362,exp_1785353613,10.42.0.59,6,1785355133.917974,1785355134.071407,0.153433,143080,4,0.051144,0.149326,decision_upload_to_download,atk_10.42.0.59_1785355133917974,1785355133917974226,1785355134071407297,1443802134672643,1443802288105690
1785355139.156152,exp_1785353613,10.42.0.18,7,1785355134.075231,1785355134.128026,0.052794,334340,27,0.002031,0.017039,decision_upload_to_download,atk_10.42.0.18_1785355134075231,1785355134075231193,1785355134128025618,1443802291929702,1443802344723832
1785355139.320817,exp_1785353613,10.42.0.145,7,1785355133.834832,1785355133.914758,0.079926,1189900,30,0.002756,0.016402,decision_upload_to_download,atk_10.42.0.145_1785355133834832,1785355133834832409,1785355133914757892,1443802051531079,1443802131456213
1785355139.388667,exp_1785353613,10.42.0.210,7,1785355135.816643,1785355135.856299,0.039656,195480,41,0.000991,0.003156,decision_upload_to_download,atk_10.42.0.210_1785355135816643,1785355135816643187,1785355135856298966,1443804033341367,1443804072997458
1785355143.120203,exp_1785353613,10.42.0.1,14,1785355139.488565,1785355141.532871,2.044306,2949863,83,0.024931,0.475969,decision_upload_to_download,atk_10.42.0.1_1785355139488564,1785355139488564813,1785355141532870975,1443807705263271,1443809749570566
1785355144.772278,exp_1785353613,10.42.0.18,8,1785355139.296145,1785355139.742698,0.446553,242649,22,0.021264,0.227985,decision_upload_to_download,atk_10.42.0.18_1785355139296145,1785355139296145508,1785355139742697881,1443807512843837,1443807959396069
1785355144.790788,exp_1785353613,10.42.0.59,7,1785355139.254014,1785355139.337175,0.08316,1090620,28,0.00308,0.013956,decision_upload_to_download,atk_10.42.0.59_1785355139254014,1785355139254014436,1785355139337174696,1443807470713429,1443807553873403
1785355144.802739,exp_1785353613,10.42.0.145,8,1785355139.313152,1785355139.518066,0.204914,988420,22,0.009758,0.120991,decision_upload_to_download,atk_10.42.0.145_1785355139313151,1785355139313151618,1785355139518066266,1443807529850066,1443807734764673
1785355145.145419,exp_1785353613,10.42.0.210,8,1785355141.163429,1785355141.210802,0.047373,573408,40,0.001215,0.005271,decision_upload_to_download,atk_10.42.0.210_1785355141163428,1785355141163428519,1785355141210801912,1443809380126755,1443809427500710
1785355145.229508,exp_1785353613,10.42.0.47,8,1785355139.522985,1785355140.451675,0.92869,571960,129,0.007255,0.206516,decision_upload_to_download,atk_10.42.0.47_1785355139522984,1785355139522984441,1785355140451674942,1443807739682770,1443808668373686
1785355148.781295,exp_1785353613,10.42.0.1,15,1785355144.759332,1785355146.753251,1.993918,1419218,50,0.040692,0.379624,decision_upload_to_download,atk_10.42.0.1_1785355144759332,1785355144759332300,1785355146753250704,1443812976030863,1443814969949958
1785355149.819449,exp_1785353613,10.42.0.18,9,1785355144.586556,1785355144.741212,0.154655,164980,17,0.009666,0.130411,decision_upload_to_download,atk_10.42.0.18_1785355144586556,1785355144586556243,1785355144741211590,1443812803255494,1443812957910229
1785355149.936436,exp_1785353613,10.42.0.145,9,1785355144.721379,1785355144.778591,0.057213,506910,13,0.004768,0.021937,decision_upload_to_download,atk_10.42.0.145_1785355144721378,1785355144721378656,1785355144778591355,1443812938077403,1443812995290034
1785355149.985659,exp_1785353613,10.42.0.59,8,1785355144.77404,1785355144.789179,0.015139,275940,6,0.003028,0.005032,decision_upload_to_download,atk_10.42.0.59_1785355144774039,1785355144774039929,1785355144789178539,1443812990739771,1443813005877214
1785355150.208765,exp_1785353613,10.42.0.47,9,1785355144.799237,1785355146.751075,1.951838,244712,169,0.011618,0.652928,decision_upload_to_download,atk_10.42.0.47_1785355144799237,1785355144799237177,1785355146751074904,1443813015935774,1443814967774541
1785355150.552273,exp_1785353613,10.42.0.210,9,1785355144.792333,1785355145.190289,0.397957,282360,39,0.010473,0.352769,decision_upload_to_download,atk_10.42.0.210_1785355144792332,1785355144792332438,1785355145190289247,1443813009031044,1443813406987839
1785355153.811387,exp_1785353613,10.42.0.1,16,1785355150.373438,1785355152.138478,1.76504,3433851,84,0.021266,0.273626,decision_upload_to_download,atk_10.42.0.1_1785355150373438,1785355150373438342,1785355152138478456,1443818590136734,1443820355177236
1785355154.964545,exp_1785353613,10.42.0.47,10,1785355150.600955,1785355151.537078,0.936124,311320,80,0.01185,0.49198,decision_upload_to_download,atk_10.42.0.47_1785355150600954,1785355150600954612,1785355151537078220,1443818817653065,1443819753776812
1785355155.048279,exp_1785353613,10.42.0.145,10,1785355150.076333,1785355150.159223,0.082891,595680,15,0.005921,0.017481,decision_upload_to_download,atk_10.42.0.145_1785355150076332,1785355150076332502,1785355150159223117,1443818293030997,1443818375921749
1785355155.222864,exp_1785353613,10.42.0.59,9,1785355150.059991,1785355150.143752,0.083761,668680,17,0.005235,0.012896,decision_upload_to_download,atk_10.42.0.59_1785355150059991,1785355150059991005,1785355150143752115,1443818276689234,1443818360450940
1785355155.359568,exp_1785353613,10.42.0.210,10,1785355150.663876,1785355151.248283,0.584407,292496,62,0.00958,0.312506,decision_upload_to_download,atk_10.42.0.210_1785355150663876,1785355150663876078,1785355151248282780,1443818880574302,1443819464981264
1785355155.421404,exp_1785353613,10.42.0.18,10,1785355150.088078,1785355150.40454,0.316463,635389,17,0.019779,0.21385,decision_upload_to_download,atk_10.42.0.18_1785355150088077,1785355150088077748,1785355150404540432,1443818304776458,1443818621238970
1785355159.130212,exp_1785353613,10.42.0.1,17,1785355155.448978,1785355157.430965,1.981988,4069880,115,0.017386,0.236405,decision_upload_to_download,atk_10.42.0.1_1785355155448977,1785355155448977760,1785355157430965602,1443823665676459,1443825647665000
1785355160.637427,exp_1785353613,10.42.0.59,10,1785355155.211553,1785355155.47207,0.260517,1106680,25,0.010855,0.158163,decision_upload_to_download,atk_10.42.0.59_1785355155211552,1785355155211552868,1785355155472070002,1443823428251432,1443823688768877
1785355160.810005,exp_1785353613,10.42.0.47,11,1785355155.410365,1785355156.679935,1.269569,430056,100,0.012824,0.552504,decision_upload_to_download,atk_10.42.0.47_1785355155410365,1785355155410365317,1785355156679934472,1443823627063474,1443824896632663
1785355160.830049,exp_1785353613,10.42.0.18,11,1785355155.419168,1785355155.482467,0.063299,328500,9,0.007912,0.027637,decision_upload_to_download,atk_10.42.0.18_1785355155419167,1785355155419167788,1785355155482466708,1443823635866412,1443823699165122
