timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785352450.154114,exp_1785352076,10.42.0.1,1,1785352449.206735,1785352449.206735,0.0,7240,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.1_1785352449206735,1785352449206734753,1785352449206734753,1441117423433347,1441117423433347
1785352450.223220,exp_1785352076,10.42.0.1,1,1785352449.243164,1785352449.243164,0.0,21720,1,0.0,0.0,decision_upload_to_download,,1785352449243164498,1785352449243164498,1441117459862731,1441117459862731
1785352450.714817,exp_1785352076,10.42.0.1,1,1785352449.258615,1785352449.527094,0.26848,278016,8,0.038354,0.20931,decision_upload_to_download,,1785352449258614571,1785352449527094391,1441117475312748,1441117743792846
1785352451.346088,exp_1785352076,10.42.0.1,2,1785352449.739451,1785352450.007901,0.26845,317112,12,0.024405,0.227344,decision_upload_to_download,atk_10.42.0.1_1785352449739451,1785352449739451495,1785352450007901162,1441117956150143,1441118224599645
1785352451.687500,exp_1785352076,10.42.0.1,3,1785352450.021657,1785352450.39079,0.369134,110048,5,0.092283,0.329526,decision_upload_to_download,atk_10.42.0.1_1785352450021656,1785352450021656502,1785352450390790519,1441118238355855,1441118607488997
1785352454.209449,exp_1785352076,10.42.0.1,4,1785352450.429541,1785352452.185147,1.755606,848528,47,0.038165,0.930865,decision_upload_to_download,atk_10.42.0.1_1785352450429540,1785352450429540912,1785352452185147516,1441118646240700,1441120401846394
1785352454.534550,exp_1785352076,10.42.0.210,1,1785352451.831802,1785352451.911507,0.079705,461904,82,0.000984,0.002473,decision_upload_to_download,atk_10.42.0.210_1785352451831802,1785352451831802194,1785352451911506590,1441120048501023,1441120128204996
1785352454.601001,exp_1785352076,10.42.0.145,1,1785352449.232567,1785352449.5263,0.293733,543481,13,0.024478,0.201717,decision_upload_to_download,atk_10.42.0.145_1785352449232567,1785352449232567274,1785352449526300457,1441117449266368,1441117742998788
1785352454.660619,exp_1785352076,10.42.0.59,1,1785352449.498565,1785352449.792825,0.29426,269490,9,0.036782,0.264762,decision_upload_to_download,atk_10.42.0.59_1785352449498565,1785352449498565471,1785352449792825156,1441117715264266,1441118009523594
1785352455.309093,exp_1785352076,10.42.0.18,1,1785352449.495088,1785352450.804131,1.309043,319740,32,0.042227,0.731927,decision_upload_to_download,atk_10.42.0.18_1785352449495087,1785352449495087788,1785352450804130640,1441117711786154,1441119020829753
