timestamp,client_id,round,phase,src_ip,dst_ip,server_host,upload_success,phase_start,phase_end,phase_duration_s
2026-07-29T16:17:06.097,10.42.0.1,1,idle,10.42.0.195,10.42.0.1,10.42.0.195,,1785356226.0946286,1785356226.0975716,0.0029430389404296875
2026-07-29T16:19:47.539,10.42.0.145,1,idle,10.42.0.145,10.42.0.195,10.42.0.195,,1785356311.9766586,1785356387.539237,75.56257843971252
2026-07-29T16:19:47.564,10.42.0.210,1,idle,10.42.0.210,10.42.0.195,10.42.0.195,,1785356275.3680694,1785356387.564158,112.19608855247498
2026-07-29T16:19:47.566,10.42.0.18,1,idle,10.42.0.18,10.42.0.195,10.42.0.195,,1785356381.3291671,1785356387.5665815,6.237414360046387
2026-07-29T16:19:47.576,10.42.0.47,1,idle,10.42.0.47,10.42.0.195,10.42.0.195,,1785356387.4503992,1785356387.5765798,0.12618064880371094
2026-07-29T16:19:47.580,10.42.0.59,1,idle,10.42.0.59,10.42.0.195,10.42.0.195,,1785356226.0320818,1785356387.580011,161.5479290485382
2026-07-29T16:19:49.174,10.42.0.18,1,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785356387.5665815,1785356389.1740255,1.6074440479278564
2026-07-29T16:19:49.175,10.42.0.18,1,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785356389.1740255,1785356389.1751592,0.0011336803436279297
2026-07-29T16:19:49.403,10.42.0.1,1,download,10.42.0.1,10.42.0.195,10.42.0.195,,1785356226.0975716,1785356389.403003,163.3054313659668
2026-07-29T16:19:49.420,10.42.0.1,1,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356389.403003,1785356389.4200542,0.017051219940185547
2026-07-29T16:19:49.457,10.42.0.59,1,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785356387.580011,1785356389.4570918,1.8770809173583984
2026-07-29T16:19:49.660,10.42.0.145,1,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785356387.539237,1785356389.6600225,2.1207854747772217
2026-07-29T16:19:49.682,10.42.0.210,1,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785356387.564158,1785356389.6826713,2.118513345718384
2026-07-29T16:19:49.683,10.42.0.210,1,fit,10.42.0.210,10.42.0.195,10.42.0.195,,1785356389.6826713,1785356389.6836736,0.0010023117065429688
2026-07-29T16:19:49.705,10.42.0.145,1,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785356389.6600225,1785356389.7056835,0.045660972595214844
2026-07-29T16:19:52.900,10.42.0.47,1,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785356387.5765798,1785356392.9002612,5.323681354522705
2026-07-29T16:19:53.100,10.42.0.47,1,fit,10.42.0.47,,10.42.0.47,,1785356392.9002612,1785356393.1005256,0.20026445388793945
2026-07-29T16:19:57.296,10.42.0.1,1,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356389.4200542,1785356397.2967572,7.8767030239105225
2026-07-29T16:19:57.394,10.42.0.145,1,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785356389.7056835,1785356397.3940566,7.68837308883667
2026-07-29T16:19:57.422,10.42.0.18,1,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785356389.1751592,1785356397.4226487,8.24748945236206
2026-07-29T16:19:57.650,10.42.0.47,1,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785356393.1005256,1785356397.6500633,4.549537658691406
2026-07-29T16:19:57.708,10.42.0.210,1,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785356389.6836736,1785356397.70889,8.025216341018677
2026-07-29T16:19:58.763,10.42.0.59,1,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785356389.4570918,1785356398.7639916,9.306899785995483
2026-07-29T16:19:58.882,10.42.0.1,2,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356397.2967572,1785356398.8827693,1.5860121250152588
2026-07-29T16:19:58.885,10.42.0.18,2,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785356397.4226487,1785356398.8858974,1.4632487297058105
2026-07-29T16:19:58.887,10.42.0.145,2,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785356397.3940566,1785356398.8878348,1.4937782287597656
2026-07-29T16:19:58.891,10.42.0.145,2,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785356398.8878348,1785356398.8918679,0.004033088684082031
2026-07-29T16:19:58.895,10.42.0.18,2,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785356398.8858974,1785356398.89521,0.009312629699707031
2026-07-29T16:19:58.898,10.42.0.1,2,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356398.8827693,1785356398.8987901,0.016020774841308594
2026-07-29T16:19:59.836,10.42.0.1,2,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356398.8987901,1785356399.8361309,0.9373407363891602
2026-07-29T16:19:59.840,10.42.0.1,3,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356399.8361309,1785356399.8400028,0.003871917724609375
2026-07-29T16:19:59.852,10.42.0.1,3,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356399.8400028,1785356399.8526874,0.01268458366394043
2026-07-29T16:19:59.866,10.42.0.1,3,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356399.8526874,1785356399.8665445,0.013857126235961914
2026-07-29T16:20:00.021,10.42.0.1,4,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356399.8665445,1785356400.0210135,0.15446901321411133
2026-07-29T16:20:00.024,10.42.0.1,4,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356400.0210135,1785356400.0246618,0.0036482810974121094
2026-07-29T16:20:00.045,10.42.0.1,4,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356400.0246618,1785356400.0453992,0.020737409591674805
2026-07-29T16:20:00.065,10.42.0.1,5,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356400.0453992,1785356400.0655448,0.020145654678344727
2026-07-29T16:20:00.067,10.42.0.1,5,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356400.0655448,1785356400.0675437,0.0019989013671875
2026-07-29T16:20:00.083,10.42.0.1,5,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356400.0675437,1785356400.0835085,0.015964746475219727
2026-07-29T16:20:00.102,10.42.0.1,6,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356400.0835085,1785356400.1025405,0.019032001495361328
2026-07-29T16:20:00.105,10.42.0.1,6,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356400.1025405,1785356400.1058645,0.0033240318298339844
2026-07-29T16:20:00.132,10.42.0.1,6,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356400.1058645,1785356400.13218,0.02631545066833496
2026-07-29T16:20:00.139,10.42.0.1,7,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356400.13218,1785356400.1391785,0.006998538970947266
2026-07-29T16:20:00.143,10.42.0.1,7,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356400.1391785,1785356400.1433237,0.004145145416259766
2026-07-29T16:20:00.170,10.42.0.1,7,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356400.1433237,1785356400.1708524,0.027528762817382812
2026-07-29T16:20:00.173,10.42.0.1,8,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356400.1708524,1785356400.173091,0.0022385120391845703
2026-07-29T16:20:00.177,10.42.0.1,8,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356400.173091,1785356400.177784,0.004693031311035156
2026-07-29T16:20:00.197,10.42.0.1,8,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356400.177784,1785356400.1977654,0.01998138427734375
2026-07-29T16:20:00.203,10.42.0.1,9,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356400.1977654,1785356400.2037427,0.0059773921966552734
2026-07-29T16:20:00.214,10.42.0.1,9,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356400.2037427,1785356400.2142084,0.010465621948242188
2026-07-29T16:20:00.253,10.42.0.1,9,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356400.2142084,1785356400.2533436,0.03913521766662598
2026-07-29T16:20:00.723,10.42.0.47,2,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785356397.6500633,1785356400.7233415,3.0732781887054443
2026-07-29T16:20:00.725,10.42.0.47,2,fit,10.42.0.47,10.42.0.195,10.42.0.195,,1785356400.7233415,1785356400.7254171,0.002075672149658203
2026-07-29T16:20:00.984,10.42.0.210,2,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785356397.70889,1785356400.984896,3.276005983352661
2026-07-29T16:20:00.985,10.42.0.210,2,fit,10.42.0.210,10.42.0.195,10.42.0.195,,1785356400.984896,1785356400.9857094,0.0008134841918945312
2026-07-29T16:20:01.395,10.42.0.1,10,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356400.2533436,1785356401.3955603,1.142216682434082
2026-07-29T16:20:01.407,10.42.0.1,10,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356401.3955603,1785356401.4075508,0.011990547180175781
2026-07-29T16:20:05.190,10.42.0.1,10,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356401.4075508,1785356405.1907346,3.7831838130950928
2026-07-29T16:20:05.294,10.42.0.145,2,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785356398.8918679,1785356405.2940385,6.402170658111572
2026-07-29T16:20:05.315,10.42.0.18,2,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785356398.89521,1785356405.3157356,6.420525550842285
2026-07-29T16:20:05.348,10.42.0.59,1,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785356398.7639916,1785356405.3487906,6.58479905128479
2026-07-29T16:20:05.580,10.42.0.210,2,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785356400.9857094,1785356405.5808551,4.5951457023620605
2026-07-29T16:20:05.786,10.42.0.47,2,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785356400.7254171,1785356405.786955,5.061537981033325
2026-07-29T16:20:06.535,10.42.0.145,3,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785356405.2940385,1785356406.5357318,1.2416932582855225
2026-07-29T16:20:06.537,10.42.0.145,3,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785356406.5357318,1785356406.5372293,0.001497507095336914
2026-07-29T16:20:06.540,10.42.0.59,2,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785356405.3487906,1785356406.5405297,1.1917390823364258
2026-07-29T16:20:06.542,10.42.0.59,2,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785356406.5405297,1785356406.5429108,0.0023810863494873047
2026-07-29T16:20:06.559,10.42.0.1,11,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356405.1907346,1785356406.5598366,1.3691020011901855
2026-07-29T16:20:06.561,10.42.0.1,11,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356406.5598366,1785356406.5615165,0.0016798973083496094
2026-07-29T16:20:06.854,10.42.0.47,3,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785356405.786955,1785356406.854339,1.0673837661743164
2026-07-29T16:20:06.855,10.42.0.47,3,fit,10.42.0.47,10.42.0.195,10.42.0.195,,1785356406.854339,1785356406.8553407,0.0010018348693847656
2026-07-29T16:20:06.857,10.42.0.18,3,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785356405.3157356,1785356406.8572502,1.5415146350860596
2026-07-29T16:20:06.858,10.42.0.18,3,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785356406.8572502,1785356406.8585477,0.0012974739074707031
2026-07-29T16:20:07.632,10.42.0.210,3,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785356405.5808551,1785356407.6328266,2.051971435546875
2026-07-29T16:20:07.635,10.42.0.210,3,fit,10.42.0.210,10.42.0.195,10.42.0.195,,1785356407.6328266,1785356407.635936,0.003109455108642578
2026-07-29T16:20:11.233,10.42.0.1,11,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785356406.5615165,1785356411.2338462,4.672329664230347
2026-07-29T16:20:11.452,10.42.0.18,3,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785356406.8585477,1785356411.4521518,4.59360408782959
2026-07-29T16:20:11.495,10.42.0.145,3,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785356406.5372293,1785356411.4959986,4.95876932144165
2026-07-29T16:20:11.500,10.42.0.59,2,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785356406.5429108,1785356411.5002332,4.957322359085083
2026-07-29T16:20:11.937,10.42.0.47,3,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785356406.8553407,1785356411.9378667,5.082525968551636
2026-07-29T16:20:12.563,10.42.0.18,4,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785356411.4521518,1785356412.5638275,1.11167573928833
2026-07-29T16:20:12.569,10.42.0.145,4,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785356411.4959986,1785356412.5692456,1.073246955871582
2026-07-29T16:20:12.570,10.42.0.145,4,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785356412.5692456,1785356412.5705283,0.0012826919555664062
2026-07-29T16:20:12.581,10.42.0.18,4,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785356412.5638275,1785356412.581789,0.017961502075195312
2026-07-29T16:20:12.590,10.42.0.210,3,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785356407.635936,1785356412.590769,4.954833030700684
2026-07-29T16:20:12.635,10.42.0.1,12,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785356411.2338462,1785356412.6352355,1.4013893604278564
2026-07-29T16:20:12.636,10.42.0.1,12,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785356412.6352355,1785356412.636389,0.0011534690856933594
2026-07-29T16:20:12.833,10.42.0.47,4,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785356411.9378667,1785356412.833324,0.8954572677612305
