timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785356397.301678,exp_1785356030,10.42.0.1,1,1785356389.420054,1785356395.420295,6.000241,4472392,129,0.046877,1.816764,decision_upload_to_download,atk_10.42.0.1_1785356389420054,1785356389420054155,1785356395420294906,1445057636753928,1445063636994031
1785356397.673391,exp_1785356030,10.42.0.145,1,1785356389.705683,1785356390.908058,1.202374,551880,15,0.085884,0.638226,decision_upload_to_download,atk_10.42.0.145_1785356389705683,1785356389705683442,1785356390908057816,1445057922383297,1445059124756076
1785356397.769085,exp_1785356030,10.42.0.18,1,1785356389.175159,1785356390.636751,1.461592,321200,115,0.012821,0.327619,decision_upload_to_download,atk_10.42.0.18_1785356389175159,1785356389175159282,1785356390636751323,1445057391857718,1445058853450421
1785356398.364994,exp_1785356030,10.42.0.47,1,1785356393.100526,1785356395.400161,2.299635,1503327,389,0.005927,0.213602,decision_upload_to_download,atk_10.42.0.47_1785356393100525,1785356393100525693,1785356395400160902,1445061317224296,1445063616859958
1785356398.557745,exp_1785356030,10.42.0.210,1,1785356389.683674,1785356390.202718,0.519044,166952,60,0.008797,0.260088,decision_upload_to_download,atk_10.42.0.210_1785356389683673,1785356389683673508,1785356390202717981,1445057900373208,1445058419418213
1785356400.590560,exp_1785356030,10.42.0.1,2,1785356398.89879,1785356399.830644,0.931854,2225772,52,0.018272,0.239695,decision_upload_to_download,atk_10.42.0.1_1785356398898790,1785356398898790254,1785356399830644559,1445067115488938,1445068047343257
1785356400.649282,exp_1785356030,10.42.0.1,3,1785356399.852687,1785356399.864597,0.01191,156384,4,0.00397,0.005884,decision_upload_to_download,atk_10.42.0.1_1785356399852687,1785356399852687270,1785356399864597067,1445068069385938,1445068081295840
1785356400.722886,exp_1785356030,10.42.0.1,4,1785356400.024662,1785356400.040154,0.015493,110048,3,0.007746,0.009113,decision_upload_to_download,atk_10.42.0.1_1785356400024661,1785356400024661708,1785356400040154257,1445068241360971,1445068256852944
1785356400.819890,exp_1785356030,10.42.0.1,5,1785356400.067544,1785356400.080978,0.013434,192584,5,0.003358,0.003702,decision_upload_to_download,atk_10.42.0.1_1785356400067543,1785356400067543809,1785356400080977709,1445068284242599,1445068297677558
1785356400.955160,exp_1785356030,10.42.0.1,6,1785356400.105865,1785356400.121326,0.015462,183896,4,0.005154,0.005628,decision_upload_to_download,atk_10.42.0.1_1785356400105864,1785356400105864421,1785356400121326276,1445068322563152,1445068338025759
1785356401.088040,exp_1785356030,10.42.0.1,7,1785356400.143324,1785356400.163518,0.020195,150592,3,0.010097,0.015374,decision_upload_to_download,atk_10.42.0.1_1785356400143323,1785356400143323681,1785356400163518320,1445068360024154,1445068380217036
1785356401.153987,exp_1785356030,10.42.0.1,8,1785356400.177784,1785356400.18718,0.009396,63917,2,0.009396,0.009396,decision_upload_to_download,atk_10.42.0.1_1785356400177784,1785356400177784048,1785356400187180051,1445068394483358,1445068403878717
1785356401.270156,exp_1785356030,10.42.0.1,9,1785356400.214208,1785356400.236417,0.022209,173975,4,0.007403,0.012233,decision_upload_to_download,atk_10.42.0.1_1785356400214208,1785356400214208196,1785356400236417068,1445068430906777,1445068453116163
1785356405.195886,exp_1785356030,10.42.0.1,10,1785356401.407551,1785356401.630444,0.222893,1247028,25,0.009287,0.031531,decision_upload_to_download,atk_10.42.0.1_1785356401407550,1785356401407550847,1785356401630444203,1445069624251852,1445069847143685
1785356405.531191,exp_1785356030,10.42.0.145,2,1785356398.891868,1785356399.334497,0.442629,574606,15,0.031616,0.264004,decision_upload_to_download,atk_10.42.0.145_1785356398891868,1785356398891867936,1785356399334496692,1445067108566891,1445067551197255
1785356405.586215,exp_1785356030,10.42.0.18,2,1785356398.89521,1785356398.95171,0.0565,207320,17,0.003531,0.019171,decision_upload_to_download,atk_10.42.0.18_1785356398895210,1785356398895209973,1785356398951710187,1445067111909193,1445067168408588
1785356405.694574,exp_1785356030,10.42.0.59,1,1785356398.763992,1785356399.203518,0.439527,362404,14,0.03381,0.278013,decision_upload_to_download,atk_10.42.0.59_1785356398763991,1785356398763991485,1785356399203518271,1445066980690730,1445067420216545
1785356406.449007,exp_1785356030,10.42.0.210,2,1785356400.985709,1785356401.032361,0.046651,191136,41,0.001166,0.002088,decision_upload_to_download,atk_10.42.0.210_1785356400985709,1785356400985709193,1785356401032360809,1445069202407745,1445069249060055
1785356406.803804,exp_1785356030,10.42.0.47,2,1785356400.725417,1785356403.411069,2.685652,445984,308,0.008748,0.596142,decision_upload_to_download,atk_10.42.0.47_1785356400725417,1785356400725417110,1785356403411069301,1445068942116865,1445071627770047
1785356411.237996,exp_1785356030,10.42.0.1,11,1785356406.561517,1785356409.379008,2.817491,2070927,52,0.055245,0.307428,decision_upload_to_download,atk_10.42.0.1_1785356406561516,1785356406561516508,1785356409379007619,1445074778215151,1445077595705857
1785356412.086811,exp_1785356030,10.42.0.18,3,1785356406.858548,1785356407.661802,0.803254,93440,64,0.01275,0.32487,decision_upload_to_download,atk_10.42.0.18_1785356406858547,1785356406858547757,1785356407661802042,1445075075246353,1445075878500353
1785356412.264629,exp_1785356030,10.42.0.145,3,1785356406.537229,1785356406.61428,0.077051,807380,19,0.004281,0.011153,decision_upload_to_download,atk_10.42.0.145_1785356406537229,1785356406537229399,1785356406614280160,1445074753929086,1445074830978964
