timestamp,wall_time_ns,mono_time_ns,experiment_id,src_ip,client_id,payload_bytes,direction,iat,dir_ratio,burst_density,inbound_bytes,outbound_bytes,inbound_count,outbound_count,inbound_share,outbound_share,raw_state_est,state_est,state_confidence,cycle_stage,inferred_round_id,completed_cycle_id,live_direction_label,live_phase_label,live_phase_confidence,adaptive_phase_label,adaptive_phase_score_idle,adaptive_phase_score_download,adaptive_phase_score_training,adaptive_phase_score_upload
1785356226.0320818,1785356226032082002,1444894248780499,exp_1785356030,10.42.0.59,10.42.0.59,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785356226.0946286,1785356226094628682,1444894311328271,exp_1785356030,10.42.0.195,10.42.0.1,52,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.630405,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785356226.096556,1785356226096556113,1444894313254611,exp_1785356030,10.42.0.195,10.42.0.59,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785356226.0975716,1785356226097571696,1444894314269955,exp_1785356030,10.42.0.1,10.42.0.1,58,0,0.001801781103559044,1.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.607734,0,1,0,unknown,IDLE,0.2,IDLE,3.172071,-1.2,2.76216,-1.2
1785356226.0999062,1785356226099906207,1444894316604288,exp_1785356030,10.42.0.59,10.42.0.59,257,1,0.000339997985441542,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.879067,-1.763333,2.197067,0.603333
1785356226.1386185,1785356226138618363,1444894355317323,exp_1785356030,10.42.0.1,10.42.0.1,257,1,0.01972088580357051,100.0,1,0.0,257.0,0,1,0.0,1.0,3,1,0.95,0,1,0,outbound,UPLOAD,0.8,IDLE,3.443938,-1.763333,3.468027,0.603333
1785356275.3680694,1785356275368069262,1444943584767697,exp_1785356030,10.42.0.210,10.42.0.210,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785356275.4548707,1785356275454870826,1444943671569254,exp_1785356030,10.42.0.195,10.42.0.1,52,0,16.97745799375515,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.955793,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785356275.4560702,1785356275456070236,1444943672768490,exp_1785356030,10.42.0.195,10.42.0.210,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785356275.457347,1785356275457346894,1444943674045104,exp_1785356030,10.42.0.1,10.42.0.1,58,0,12.4503679171475,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.9847,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
