timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785299319.261315,exp_1785298312,10.42.0.1,1,1785299312.687817,1785299318.166496,5.478679,4671288,179,0.030779,2.884909,decision_upload_to_download,atk_10.42.0.1_1785299312687816,1785299312687817008,1785299318166496014,1387980904515613,1387986383194899
1785299319.411580,exp_1785298312,10.42.0.18,1,1785299313.320119,1785299314.297704,0.977584,683280,22,0.046552,0.337187,decision_upload_to_download,atk_10.42.0.18_1785299313320119,1785299313320119368,1785299314297703746,1387981536818378,1387982514403074
1785299319.423484,exp_1785298312,10.42.0.47,1,1785299312.55345,1785299314.008744,1.455293,727176,187,0.007824,0.277301,decision_upload_to_download,atk_10.42.0.47_1785299312553450,1785299312553450338,1785299314008743332,1387980770148900,1387982225441775
1785299319.513297,exp_1785298312,10.42.0.210,1,1785299317.595593,1785299317.791178,0.195585,1501747,179,0.001099,0.020572,decision_upload_to_download,atk_10.42.0.210_1785299317595592,1785299317595592730,1785299317791178019,1387985812291776,1387986007877110
1785299319.686883,exp_1785298312,10.42.0.145,1,1785299312.766383,1785299314.364048,1.597666,694960,31,0.053256,0.743466,decision_upload_to_download,atk_10.42.0.145_1785299312766382,1785299312766382702,1785299314364048244,1387980983080929,1387982580747773
1785299319.693699,exp_1785298312,10.42.0.59,1,1785299313.027574,1785299313.976901,0.949327,810174,19,0.05274,0.866092,decision_upload_to_download,atk_10.42.0.59_1785299313027573,1785299313027573709,1785299313976901158,1387981244272328,1387982193599715
1785299325.940661,exp_1785298312,10.42.0.1,2,1785299321.225826,1785299325.059211,3.833386,4520657,126,0.030667,1.382223,decision_upload_to_download,atk_10.42.0.1_1785299321225825,1785299321225825490,1785299325059211181,1387989442524364,1387993275909970
1785299326.214406,exp_1785298312,10.42.0.210,2,1785299324.441456,1785299324.623398,0.181942,1794072,167,0.001096,0.002767,decision_upload_to_download,atk_10.42.0.210_1785299324441456,1785299324441456049,1785299324623398267,1387992658155010,1387992840096931
1785299326.322367,exp_1785298312,10.42.0.47,2,1785299321.726112,1785299322.89802,1.171908,619744,159,0.007417,0.242472,decision_upload_to_download,atk_10.42.0.47_1785299321726112,1785299321726112292,1785299322898020394,1387989942810916,1387991114719033
1785299326.344725,exp_1785298312,10.42.0.18,2,1785299321.527666,1785299321.77381,0.246144,956301,26,0.009846,0.131311,decision_upload_to_download,atk_10.42.0.18_1785299321527666,1785299321527666449,1785299321773809825,1387989744364989,1387989990508995
1785299326.587315,exp_1785298312,10.42.0.59,2,1785299321.16354,1785299321.325042,0.161502,1387000,31,0.005383,0.020661,decision_upload_to_download,atk_10.42.0.59_1785299321163540,1785299321163540110,1785299321325041704,1387989380239151,1387989541740124
1785299326.599033,exp_1785298312,10.42.0.145,2,1785299321.191081,1785299321.573981,0.3829,1429340,56,0.006962,0.175654,decision_upload_to_download,atk_10.42.0.145_1785299321191081,1785299321191081031,1785299321573980985,1387989407779934,1387989790679226
1785299333.272570,exp_1785298312,10.42.0.1,3,1785299327.891604,1785299332.143746,4.252142,2944999,108,0.03974,0.695637,decision_upload_to_download,atk_10.42.0.1_1785299327891604,1785299327891604161,1785299332143746124,1387996108302618,1388000360445008
1785299333.740893,exp_1785298312,10.42.0.47,3,1785299328.295371,1785299332.144917,3.849546,571960,394,0.009795,0.393485,decision_upload_to_download,atk_10.42.0.47_1785299328295370,1785299328295370704,1785299332144917325,1387996512068971,1388000361616083
1785299333.752969,exp_1785298312,10.42.0.18,3,1785299328.090329,1785299328.293633,0.203305,895714,33,0.006353,0.12309,decision_upload_to_download,atk_10.42.0.18_1785299328090328,1785299328090328564,1785299328293633604,1387996307026891,1387996510331867
1785299333.759837,exp_1785298312,10.42.0.59,3,1785299327.81937,1785299328.084714,0.265343,2273372,60,0.004497,0.053513,decision_upload_to_download,atk_10.42.0.59_1785299327819370,1785299327819370271,1785299328084713705,1387996036068975,1387996301412527
1785299333.778503,exp_1785298312,10.42.0.145,3,1785299327.854746,1785299328.320439,0.465693,1608920,65,0.007276,0.153961,decision_upload_to_download,atk_10.42.0.145_1785299327854746,1785299327854746257,1785299328320439238,1387996071444770,1387996537137450
1785299333.822237,exp_1785298312,10.42.0.210,3,1785299331.357137,1785299331.407925,0.050787,350416,38,0.001373,0.006179,decision_upload_to_download,atk_10.42.0.210_1785299331357137,1785299331357137078,1785299331407924823,1387999573836090,1387999624623752
1785299341.072702,exp_1785298312,10.42.0.1,4,1785299335.006756,1785299339.546008,4.539252,2640139,90,0.051003,0.733937,decision_upload_to_download,atk_10.42.0.1_1785299335006756,1785299335006756217,1785299339546008443,1388003223454771,1388007762707039
1785299341.240279,exp_1785298312,10.42.0.18,4,1785299335.320729,1785299335.366135,0.045406,392740,41,0.001135,0.002186,decision_upload_to_download,atk_10.42.0.18_1785299335320728,1785299335320728772,1785299335366134938,1388003537427505,1388003582833591
1785299341.294971,exp_1785298312,10.42.0.59,4,1785299334.916551,1785299335.104976,0.188426,2261683,53,0.003624,0.032926,decision_upload_to_download,atk_10.42.0.59_1785299334916550,1785299334916550603,1785299335104976476,1388003133249563,1388003321674729
1785299341.409746,exp_1785298312,10.42.0.145,4,1785299334.980245,1785299335.150861,0.170615,1366560,63,0.002752,0.038555,decision_upload_to_download,atk_10.42.0.145_1785299334980245,1785299334980245372,1785299335150860898,1388003196943664,1388003367558988
1785299341.431768,exp_1785298312,10.42.0.210,4,1785299338.297496,1785299338.353836,0.05634,315664,34,0.001707,0.00363,decision_upload_to_download,atk_10.42.0.210_1785299338297495,1785299338297495459,1785299338353835456,1388006514194495,1388006570534772
1785299341.680711,exp_1785298312,10.42.0.47,4,1785299335.612033,1785299339.870084,4.258051,613952,424,0.010066,0.346854,decision_upload_to_download,atk_10.42.0.47_1785299335612032,1785299335612032682,1785299339870083573,1388003828731552,1388008086782581
1785299347.988032,exp_1785298312,10.42.0.1,5,1785299342.593163,1785299346.984464,4.391301,4299898,109,0.04066,0.6925,decision_upload_to_download,atk_10.42.0.1_1785299342593163,1785299342593162922,1785299346984464490,1388010809861070,1388015201162974
1785299348.171826,exp_1785298312,10.42.0.59,5,1785299342.510296,1785299342.649905,0.13961,1807623,40,0.00358,0.04015,decision_upload_to_download,atk_10.42.0.59_1785299342510295,1785299342510295617,1785299342649905351,1388010726993958,1388010866603615
1785299348.212909,exp_1785298312,10.42.0.145,5,1785299343.137134,1785299343.700895,0.563762,921404,39,0.014836,0.212725,decision_upload_to_download,atk_10.42.0.145_1785299343137133,1785299343137133669,1785299343700895261,1388011353832600,1388011917593501
1785299348.276139,exp_1785298312,10.42.0.47,5,1785299343.204759,1785299346.990592,3.785833,557480,385,0.009859,0.642779,decision_upload_to_download,atk_10.42.0.47_1785299343204759,1785299343204759356,1785299346990592013,1388011421457998,1388015207290569
1785299348.310116,exp_1785298312,10.42.0.18,5,1785299342.815614,1785299342.934211,0.118598,550420,43,0.002824,0.068176,decision_upload_to_download,atk_10.42.0.18_1785299342815613,1785299342815613392,1785299342934211314,1388011032311857,1388011150909512
1785299348.535055,exp_1785298312,10.42.0.210,5,1785299345.927617,1785299345.971006,0.043389,493768,40,0.001113,0.003438,decision_upload_to_download,atk_10.42.0.210_1785299345927616,1785299345927616800,1785299345971006158,1388014144315066,1388014187704649
1785299354.612144,exp_1785298312,10.42.0.1,6,1785299350.019598,1785299353.460025,3.440428,3009933,87,0.040005,0.619152,decision_upload_to_download,atk_10.42.0.1_1785299350019597,1785299350019597639,1785299353460025308,1388018236295673,1388021676724913
1785299354.925319,exp_1785298312,10.42.0.18,6,1785299350.134215,1785299350.370431,0.236216,170963,18,0.013895,0.222226,decision_upload_to_download,atk_10.42.0.18_1785299350134215,1785299350134215405,1785299350370431151,1388018350913601,1388018587129635
1785299354.932249,exp_1785298312,10.42.0.59,6,1785299349.829969,1785299350.108973,0.279004,1931723,66,0.004292,0.048543,decision_upload_to_download,atk_10.42.0.59_1785299349829969,1785299349829968957,1785299350108973096,1388018046667535,1388018325671549
1785299354.944066,exp_1785298312,10.42.0.145,6,1785299349.887965,1785299350.13148,0.243515,1984140,74,0.003336,0.035262,decision_upload_to_download,atk_10.42.0.145_1785299349887965,1785299349887964891,1785299350131479594,1388018104663263,1388018348177850
1785299354.950680,exp_1785298312,10.42.0.210,6,1785299352.721101,1785299352.769668,0.048567,469152,41,0.001214,0.002135,decision_upload_to_download,atk_10.42.0.210_1785299352721100,1785299352721100737,1785299352769668221,1388020937798941,1388020986367593
