timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785343805.148392,exp_1785343314,10.42.0.1,1,1785343800.296895,1785343804.152364,3.855469,4221664,190,0.020399,1.266941,decision_upload_to_download,atk_10.42.0.1_1785343800296894,1785343800296894822,1785343804152364242,1432468513593701,1432472369063027
1785343805.388191,exp_1785343314,10.42.0.145,1,1785343800.212443,1785343800.959347,0.746905,1022000,49,0.015561,0.264934,decision_upload_to_download,atk_10.42.0.145_1785343800212442,1785343800212442645,1785343800959347323,1432468429141204,1432469176045810
1785343805.438290,exp_1785343314,10.42.0.47,1,1785343800.235325,1785343801.878374,1.643049,808072,217,0.007607,0.271347,decision_upload_to_download,atk_10.42.0.47_1785343800235325,1785343800235325371,1785343801878373912,1432468452023779,1432470095072377
1785343805.461102,exp_1785343314,10.42.0.210,1,1785343803.60851,1785343803.778144,0.169634,1416144,133,0.001285,0.002697,decision_upload_to_download,atk_10.42.0.210_1785343803608510,1785343803608509924,1785343803778144014,1432471825208928,1432471994843259
1785343805.484517,exp_1785343314,10.42.0.59,1,1785343800.676044,1785343802.210497,1.534453,309520,13,0.127871,0.922867,decision_upload_to_download,atk_10.42.0.59_1785343800676044,1785343800676044093,1785343802210497223,1432468892742580,1432470427195468
1785343805.547455,exp_1785343314,10.42.0.18,1,1785343800.253677,1785343801.531455,1.277777,931480,36,0.036508,0.566943,decision_upload_to_download,atk_10.42.0.18_1785343800253677,1785343800253677065,1785343801531454390,1432468470375858,1432469748153305
1785343812.026839,exp_1785343314,10.42.0.1,2,1785343807.553341,1785343811.161779,3.608438,3146769,78,0.046863,0.339186,decision_upload_to_download,atk_10.42.0.1_1785343807553341,1785343807553340943,1785343811161779470,1432475770039539,1432479378478482
1785343812.160603,exp_1785343314,10.42.0.210,2,1785343810.726801,1785343810.734135,0.007334,82947,8,0.001048,0.001774,decision_upload_to_download,atk_10.42.0.210_1785343810726801,1785343810726801498,1785343810734135251,1432478943499944,1432478950833545
1785343812.320568,exp_1785343314,10.42.0.18,2,1785343808.17636,1785343808.834517,0.658157,400040,31,0.021939,0.616133,decision_upload_to_download,atk_10.42.0.18_1785343808176360,1785343808176360126,1785343808834517590,1432476393058459,1432477051217463
1785343812.411612,exp_1785343314,10.42.0.145,2,1785343807.873504,1785343808.486605,0.613101,699502,25,0.025546,0.293802,decision_upload_to_download,atk_10.42.0.145_1785343807873504,1785343807873504011,1785343808486604780,1432476090202646,1432476703303186
1785343812.574043,exp_1785343314,10.42.0.59,2,1785343807.88012,1785343808.189097,0.308977,337260,17,0.019311,0.251664,decision_upload_to_download,atk_10.42.0.59_1785343807880119,1785343807880119918,1785343808189097045,1432476096818432,1432476405795178
1785343812.607685,exp_1785343314,10.42.0.47,2,1785343807.494667,1785343810.7713,3.276634,807984,444,0.007396,0.465587,decision_upload_to_download,atk_10.42.0.47_1785343807494666,1785343807494666462,1785343810771300018,1432475711365026,1432478987998752
1785343817.513091,exp_1785343314,10.42.0.1,3,1785343813.892082,1785343816.742514,2.850432,6979728,155,0.018509,0.563837,decision_upload_to_download,atk_10.42.0.1_1785343813892082,1785343813892082168,1785343816742514109,1432482108780355,1432484959212917
1785343817.624319,exp_1785343314,10.42.0.210,3,1785343816.107044,1785343816.178332,0.071288,157832,37,0.00198,0.015049,decision_upload_to_download,atk_10.42.0.210_1785343816107044,1785343816107044341,1785343816178332427,1432484323745201,1432484395031024
1785343817.798216,exp_1785343314,10.42.0.18,3,1785343814.153589,1785343814.412696,0.259108,310980,35,0.007621,0.215045,decision_upload_to_download,atk_10.42.0.18_1785343814153588,1785343814153588380,1785343814412696310,1432482370287153,1432482629395070
1785343818.004201,exp_1785343314,10.42.0.59,3,1785343813.930413,1785343814.135363,0.204951,1910414,70,0.00297,0.019185,decision_upload_to_download,atk_10.42.0.59_1785343813930412,1785343813930412474,1785343814135363241,1432482147111156,1432482352061975
1785343818.194833,exp_1785343314,10.42.0.47,3,1785343814.11169,1785343815.535008,1.423318,566873,142,0.010094,0.309169,decision_upload_to_download,atk_10.42.0.47_1785343814111690,1785343814111690073,1785343815535008403,1432482328389267,1432483751706554
1785343818.249501,exp_1785343314,10.42.0.145,3,1785343813.835889,1785343814.046862,0.210973,2089413,52,0.004137,0.027121,decision_upload_to_download,atk_10.42.0.145_1785343813835888,1785343813835888770,1785343814046861524,1432482052586860,1432482263560221
1785343823.953771,exp_1785343314,10.42.0.1,4,1785343819.776322,1785343823.10649,3.330168,5853769,129,0.026017,0.554248,decision_upload_to_download,atk_10.42.0.1_1785343819776322,1785343819776322019,1785343823106490289,1432487993020527,1432491323189017
1785343824.146821,exp_1785343314,10.42.0.47,4,1785343819.745439,1785343821.94564,2.200201,670424,222,0.009956,0.460322,decision_upload_to_download,atk_10.42.0.47_1785343819745438,1785343819745438614,1785343821945639742,1432487962138897,1432490162338252
1785343824.225453,exp_1785343314,10.42.0.18,4,1785343820.009345,1785343820.160996,0.151651,702260,63,0.002446,0.06608,decision_upload_to_download,atk_10.42.0.18_1785343820009345,1785343820009344938,1785343820160995733,1432488226043088,1432488377694935
1785343824.255782,exp_1785343314,10.42.0.210,4,1785343822.171709,1785343822.516603,0.344894,199824,73,0.00479,0.201767,decision_upload_to_download,atk_10.42.0.210_1785343822171708,1785343822171708888,1785343822516602667,1432490388407582,1432490733301036
1785343824.379692,exp_1785343314,10.42.0.145,4,1785343819.830282,1785343820.02016,0.189878,1787040,40,0.004869,0.031797,decision_upload_to_download,atk_10.42.0.145_1785343819830281,1785343819830281614,1785343820020160308,1432488046980649,1432488236858685
1785343824.423603,exp_1785343314,10.42.0.59,4,1785343819.900577,1785343819.961622,0.061045,731460,28,0.002261,0.009955,decision_upload_to_download,atk_10.42.0.59_1785343819900576,1785343819900576708,1785343819961622284,1432488117274854,1432488178320488
1785343830.469030,exp_1785343314,10.42.0.1,5,1785343825.904381,1785343829.801759,3.897378,3360971,70,0.056484,0.517529,decision_upload_to_download,atk_10.42.0.1_1785343825904381,1785343825904380848,1785343829801759519,1432494121079151,1432498018458266
1785343830.635888,exp_1785343314,10.42.0.210,5,1785343829.024102,1785343829.291812,0.26771,341728,43,0.006374,0.215754,decision_upload_to_download,atk_10.42.0.210_1785343829024102,1785343829024102359,1785343829291812029,1432497240800633,1432497508510545
1785343830.687225,exp_1785343314,10.42.0.59,5,1785343826.292647,1785343826.346207,0.05356,722700,31,0.001785,0.010263,decision_upload_to_download,atk_10.42.0.59_1785343826292647,1785343826292647541,1785343826346207118,1432494509346412,1432494562905378
1785343830.721770,exp_1785343314,10.42.0.47,5,1785343825.86053,1785343829.346654,3.486124,654496,428,0.008164,0.518071,decision_upload_to_download,atk_10.42.0.47_1785343825860530,1785343825860530226,1785343829346654110,1432494077228925,1432497563353060
1785343830.741955,exp_1785343314,10.42.0.145,5,1785343826.340679,1785343826.366524,0.025846,271560,7,0.004308,0.009093,decision_upload_to_download,atk_10.42.0.145_1785343826340678,1785343826340678752,1785343826366524069,1432494557377141,1432494583223968
1785343830.798580,exp_1785343314,10.42.0.18,5,1785343826.569155,1785343826.60282,0.033666,394200,35,0.00099,0.00257,decision_upload_to_download,atk_10.42.0.18_1785343826569154,1785343826569154812,1785343826602820335,1432494785852916,1432494819519472
1785343837.469662,exp_1785343314,10.42.0.1,6,1785343832.536421,1785343836.652084,4.115663,4160274,97,0.042871,0.57896,decision_upload_to_download,atk_10.42.0.1_1785343832536420,1785343832536420854,1785343836652083636,1432500753119171,1432504868782525
1785343837.699763,exp_1785343314,10.42.0.210,6,1785343835.978085,1785343836.01318,0.035095,107152,38,0.000949,0.003139,decision_upload_to_download,atk_10.42.0.210_1785343835978084,1785343835978084522,1785343836013179982,1432504194782692,1432504229878588
1785343837.755704,exp_1785343314,10.42.0.18,6,1785343833.17029,1785343833.498563,0.328273,632180,53,0.006313,0.269483,decision_upload_to_download,atk_10.42.0.18_1785343833170290,1785343833170290474,1785343833498563323,1432501386988601,1432501715261937
1785343837.804256,exp_1785343314,10.42.0.145,6,1785343832.882021,1785343832.889735,0.007714,135924,4,0.002571,0.004307,decision_upload_to_download,atk_10.42.0.145_1785343832882021,1785343832882020900,1785343832889734336,1432501098719279,1432501106432780
1785343837.865737,exp_1785343314,10.42.0.59,6,1785343832.873336,1785343832.934738,0.061403,845340,35,0.001806,0.015519,decision_upload_to_download,atk_10.42.0.59_1785343832873335,1785343832873335459,1785343832934738245,1432501090034099,1432501151437092
1785343838.585899,exp_1785343314,10.42.0.47,6,1785343832.508466,1785343835.987041,3.478576,596576,412,0.008464,0.496697,decision_upload_to_download,atk_10.42.0.47_1785343832508465,1785343832508465686,1785343835987041513,1432500725163874,1432504203739978
1785343843.654930,exp_1785343314,10.42.0.1,7,1785343839.511132,1785343842.975,3.463867,5144940,119,0.029355,0.573994,decision_upload_to_download,atk_10.42.0.1_1785343839511132,1785343839511132478,1785343842974999797,1432507727831407,1432511191698559
1785343843.804324,exp_1785343314,10.42.0.210,7,1785343842.512857,1785343842.531954,0.019096,239357,19,0.001061,0.001982,decision_upload_to_download,atk_10.42.0.210_1785343842512857,1785343842512857417,1785343842531953819,1432510729556160,1432510748652628
1785343843.885936,exp_1785343314,10.42.0.145,7,1785343839.42536,1785343839.564577,0.139217,2344904,55,0.002578,0.006062,decision_upload_to_download,atk_10.42.0.145_1785343839425360,1785343839425360075,1785343839564576777,1432507642058892,1432507781276912
1785343843.903609,exp_1785343314,10.42.0.59,7,1785343839.707606,1785343839.881549,0.173943,2012023,76,0.002319,0.019486,decision_upload_to_download,atk_10.42.0.59_1785343839707605,1785343839707605676,1785343839881548714,1432507924304903,1432508098247122
1785343844.100357,exp_1785343314,10.42.0.18,7,1785343839.865066,1785343839.909842,0.044777,258420,20,0.002357,0.023031,decision_upload_to_download,atk_10.42.0.18_1785343839865065,1785343839865065410,1785343839909842225,1432508081764137,1432508126540608
1785343845.231910,exp_1785343314,10.42.0.47,7,1785343839.685658,1785343842.261266,2.575607,485080,262,0.009868,0.32759,decision_upload_to_download,atk_10.42.0.47_1785343839685658,1785343839685658407,1785343842261265302,1432507902357498,1432510477963652
1785343850.006763,exp_1785343314,10.42.0.1,8,1785343845.823604,1785343849.256773,3.433169,6297702,137,0.025244,0.589199,decision_upload_to_download,atk_10.42.0.1_1785343845823603,1785343845823604019,1785343849256772546,1432514040303309,1432517473471411
1785343850.219553,exp_1785343314,10.42.0.210,8,1785343848.543301,1785343848.583782,0.040482,317112,39,0.001065,0.002609,decision_upload_to_download,atk_10.42.0.210_1785343848543300,1785343848543300558,1785343848583782062,1432516759998990,1432516800480289
1785343850.288648,exp_1785343314,10.42.0.18,8,1785343846.256155,1785343846.525273,0.269118,848403,67,0.004078,0.18121,decision_upload_to_download,atk_10.42.0.18_1785343846256155,1785343846256155459,1785343846525273175,1432514472853704,1432514741972056
1785343850.308408,exp_1785343314,10.42.0.59,8,1785343846.06887,1785343846.326297,0.257427,1806020,65,0.004022,0.055255,decision_upload_to_download,atk_10.42.0.59_1785343846068869,1785343846068869644,1785343846326296669,1432514285567831,1432514542994985
1785343850.353666,exp_1785343314,10.42.0.47,8,1785343846.541269,1785343848.222636,1.681366,527072,196,0.008622,0.323686,decision_upload_to_download,atk_10.42.0.47_1785343846541269,1785343846541269083,1785343848222635568,1432514757967967,1432516439333836
1785343850.952939,exp_1785343314,10.42.0.145,8,1785343845.740295,1785343845.875367,0.135072,2362424,56,0.002456,0.005602,decision_upload_to_download,atk_10.42.0.145_1785343845740295,1785343845740294866,1785343845875366609,1432513956993694,1432514092065781
1785343856.096638,exp_1785343314,10.42.0.1,9,1785343852.186001,1785343855.29477,3.108769,6212706,120,0.026124,0.50031,decision_upload_to_download,atk_10.42.0.1_1785343852186000,1785343852186000895,1785343855294769310,1432520402698936,1432523511468741
1785343856.273541,exp_1785343314,10.42.0.18,9,1785343852.618179,1785343852.957075,0.338897,503843,45,0.007702,0.272076,decision_upload_to_download,atk_10.42.0.18_1785343852618178,1785343852618178896,1785343852957075452,1432520834877649,1432521173773544
1785343856.396389,exp_1785343314,10.42.0.145,9,1785343852.099689,1785343852.252511,0.152823,2419364,56,0.002779,0.012607,decision_upload_to_download,atk_10.42.0.145_1785343852099688,1785343852099688448,1785343852252511125,1432520316387172,1432520469210688
1785343856.466504,exp_1785343314,10.42.0.47,9,1785343852.134416,1785343854.236071,2.101654,535760,201,0.010508,0.296937,decision_upload_to_download,atk_10.42.0.47_1785343852134416,1785343852134416464,1785343854236070656,1432520351114679,1432522452769102
1785343856.550599,exp_1785343314,10.42.0.210,9,1785343854.720719,1785343854.813586,0.092867,560376,54,0.001752,0.033273,decision_upload_to_download,atk_10.42.0.210_1785343854720718,1785343854720718579,1785343854813585899,1432522937417022,1432523030284458
1785343856.622254,exp_1785343314,10.42.0.59,9,1785343852.323179,1785343852.493361,0.170183,1877560,71,0.002431,0.015519,decision_upload_to_download,atk_10.42.0.59_1785343852323178,1785343852323178728,1785343852493361517,1432520539877091,1432520710059528
1785343862.334275,exp_1785343314,10.42.0.1,10,1785343858.242638,1785343861.497818,3.25518,4808871,111,0.029593,0.573001,decision_upload_to_download,atk_10.42.0.1_1785343858242638,1785343858242638078,1785343861497818358,1432526459336887,1432529714517063
1785343862.503769,exp_1785343314,10.42.0.47,10,1785343858.158387,1785343860.368081,2.209694,752960,266,0.008338,0.368265,decision_upload_to_download,atk_10.42.0.47_1785343858158387,1785343858158386941,1785343860368081327,1432526375085976,1432528584779781
1785343862.641155,exp_1785343314,10.42.0.210,10,1785343860.834284,1785343860.923173,0.088889,697936,75,0.001201,0.013271,decision_upload_to_download,atk_10.42.0.210_1785343860834284,1785343860834284100,1785343860923172808,1432529050982184,1432529139871013
1785343862.809212,exp_1785343314,10.42.0.18,10,1785343858.599979,1785343858.89973,0.299751,470120,37,0.008326,0.211977,decision_upload_to_download,atk_10.42.0.18_1785343858599979,1785343858599979264,1785343858899729596,1432526816677904,1432527116428592
1785343863.108705,exp_1785343314,10.42.0.145,10,1785343858.112952,1785343858.277087,0.164134,2271760,53,0.003156,0.015604,decision_upload_to_download,atk_10.42.0.145_1785343858112952,1785343858112952662,1785343858277086738,1432526329651421,1432526493786110
1785343863.138227,exp_1785343314,10.42.0.59,10,1785343858.39877,1785343858.581522,0.182752,1408900,30,0.006302,0.064512,decision_upload_to_download,atk_10.42.0.59_1785343858398769,1785343858398769758,1785343858581521841,1432526615469884,1432526798221521
1785343869.447684,exp_1785343314,10.42.0.1,11,1785343864.623984,1785343868.551541,3.927557,3240420,117,0.033858,0.711583,decision_upload_to_download,atk_10.42.0.1_1785343864623983,1785343864623983713,1785343868551540834,1432532840681966,1432536768240899
1785343869.603806,exp_1785343314,10.42.0.210,11,1785343867.805773,1785343867.861825,0.056052,464808,42,0.001367,0.003492,decision_upload_to_download,atk_10.42.0.210_1785343867805773,1785343867805773079,1785343867861824875,1432536022471863,1432536078523250
1785343869.693376,exp_1785343314,10.42.0.18,11,1785343865.057946,1785343865.114025,0.056078,451140,41,0.001402,0.007419,decision_upload_to_download,atk_10.42.0.18_1785343865057946,1785343865057946330,1785343865114024740,1432533274645281,1432533330723231
1785343869.721540,exp_1785343314,10.42.0.47,11,1785343864.591859,1785343868.508618,3.916759,567134,392,0.010017,0.708923,decision_upload_to_download,atk_10.42.0.47_1785343864591859,1785343864591859312,1785343868508618063,1432532808557917,1432536725317769
1785343869.746280,exp_1785343314,10.42.0.145,11,1785343864.678004,1785343864.917784,0.23978,2321544,48,0.005102,0.035599,decision_upload_to_download,atk_10.42.0.145_1785343864678003,1785343864678003718,1785343864917784193,1432532894702692,1432533134485342
1785343869.850548,exp_1785343314,10.42.0.59,11,1785343864.615605,1785343864.889066,0.273461,2277743,54,0.00516,0.05115,decision_upload_to_download,atk_10.42.0.59_1785343864615605,1785343864615605099,1785343864889065431,1432532832303839,1432533105765261
1785343877.477710,exp_1785343314,10.42.0.1,12,1785343871.666033,1785343875.946138,4.280105,3233400,91,0.047557,0.643201,decision_upload_to_download,atk_10.42.0.1_1785343871666033,1785343871666033170,1785343875946137845,1432539882731997,1432544162836923
1785343877.694272,exp_1785343314,10.42.0.210,12,1785343874.428865,1785343874.474921,0.046057,338832,41,0.001151,0.00351,decision_upload_to_download,atk_10.42.0.210_1785343874428864,1785343874428864763,1785343874474921584,1432542645563109,1432542691621014
1785343877.830096,exp_1785343314,10.42.0.18,12,1785343871.772804,1785343871.980765,0.207962,658460,59,0.003586,0.059356,decision_upload_to_download,atk_10.42.0.18_1785343871772803,1785343871772803700,1785343871980765184,1432539989502358,1432540197464996
1785343877.848235,exp_1785343314,10.42.0.59,12,1785343871.477998,1785343871.804377,0.326379,2317163,55,0.006044,0.031179,decision_upload_to_download,atk_10.42.0.59_1785343871477998,1785343871477997981,1785343871804377162,1432539694696918,1432540021076474
1785343877.855558,exp_1785343314,10.42.0.145,12,1785343871.464514,1785343871.687829,0.223315,2391624,54,0.004213,0.016974,decision_upload_to_download,atk_10.42.0.145_1785343871464513,1785343871464513731,1785343871687828935,1432539681213827,1432539904527766
1785343878.266579,exp_1785343314,10.42.0.47,12,1785343871.578359,1785343875.948611,4.370252,606712,419,0.010455,0.636175,decision_upload_to_download,atk_10.42.0.47_1785343871578359,1785343871578358907,1785343875948610763,1432539795057382,1432544165309600
1785343883.775091,exp_1785343314,10.42.0.1,13,1785343878.76995,1785343882.684036,3.914086,3878793,156,0.025252,0.605295,decision_upload_to_download,atk_10.42.0.1_1785343878769949,1785343878769949590,1785343882684035736,1432546986647708,1432550900734722
1785343883.992183,exp_1785343314,10.42.0.18,13,1785343879.142418,1785343879.3198,0.177382,557720,50,0.00362,0.123707,decision_upload_to_download,atk_10.42.0.18_1785343879142418,1785343879142418464,1785343879319800141,1432547359116721,1432547536498303
1785343884.084690,exp_1785343314,10.42.0.47,13,1785343878.814202,1785343882.70886,3.894658,580648,401,0.009737,0.588452,decision_upload_to_download,atk_10.42.0.47_1785343878814202,1785343878814201988,1785343882708859921,1432547030900519,1432550925558553
1785343884.123141,exp_1785343314,10.42.0.59,13,1785343878.917416,1785343879.134298,0.216882,2085023,54,0.004092,0.032299,decision_upload_to_download,atk_10.42.0.59_1785343878917416,1785343878917416152,1785343879134297547,1432547134114430,1432547350995981
1785343884.146237,exp_1785343314,10.42.0.210,13,1785343881.66471,1785343881.705478,0.040768,431504,41,0.001019,0.001778,decision_upload_to_download,atk_10.42.0.210_1785343881664709,1785343881664709883,1785343881705478170,1432549881408059,1432549922176664
1785343884.235131,exp_1785343314,10.42.0.145,13,1785343878.682537,1785343878.830698,0.14816,2305340,60,0.002511,0.010996,decision_upload_to_download,atk_10.42.0.145_1785343878682537,1785343878682537089,1785343878830697478,1432546899235163,1432547047397155
1785343890.556884,exp_1785343314,10.42.0.1,14,1785343885.633382,1785343889.706475,4.073093,3293321,119,0.034518,0.882362,decision_upload_to_download,atk_10.42.0.1_1785343885633382,1785343885633382387,1785343889706475454,1432553850080621,1432557923174499
1785343890.782022,exp_1785343314,10.42.0.210,14,1785343889.007045,1785343889.104742,0.097697,865904,81,0.001221,0.007994,decision_upload_to_download,atk_10.42.0.210_1785343889007045,1785343889007045301,1785343889104742124,1432557223743584,1432557321440707
1785343890.822695,exp_1785343314,10.42.0.18,14,1785343885.925874,1785343886.210474,0.2846,560640,53,0.005473,0.228001,decision_upload_to_download,atk_10.42.0.18_1785343885925873,1785343885925873323,1785343886210474010,1432554142571541,1432554427172299
1785343890.901923,exp_1785343314,10.42.0.47,14,1785343885.648049,1785343888.487692,2.839643,408336,282,0.010105,0.369433,decision_upload_to_download,atk_10.42.0.47_1785343885648049,1785343885648049029,1785343888487691878,1432553864747526,1432556704390209
1785343891.054793,exp_1785343314,10.42.0.59,14,1785343885.694688,1785343885.900329,0.205641,1527303,38,0.005558,0.103888,decision_upload_to_download,atk_10.42.0.59_1785343885694688,1785343885694688165,1785343885900329053,1432553911387129,1432554117027606
1785343891.088031,exp_1785343314,10.42.0.145,14,1785343885.522935,1785343885.668041,0.145105,2287964,56,0.002638,0.006404,decision_upload_to_download,atk_10.42.0.145_1785343885522935,1785343885522935231,1785343885668040776,1432553739633394,1432553884739475
1785343896.957125,exp_1785343314,10.42.0.1,15,1785343892.586169,1785343896.172387,3.586218,3247358,90,0.040295,0.784507,decision_upload_to_download,atk_10.42.0.1_1785343892586168,1785343892586168575,1785343896172386655,1432560802868042,1432564389085742
1785343897.102058,exp_1785343314,10.42.0.18,15,1785343892.774591,1785343893.039474,0.264883,751900,66,0.004075,0.127945,decision_upload_to_download,atk_10.42.0.18_1785343892774591,1785343892774591168,1785343893039473805,1432560991289714,1432561256172289
1785343897.220729,exp_1785343314,10.42.0.47,15,1785343892.600042,1785343895.691215,3.091173,388064,250,0.012414,0.423849,decision_upload_to_download,atk_10.42.0.47_1785343892600041,1785343892600041628,1785343895691215020,1432560816740531,1432563907913238
1785343897.438677,exp_1785343314,10.42.0.59,15,1785343892.68516,1785343892.873978,0.188818,1962240,45,0.004291,0.040584,decision_upload_to_download,atk_10.42.0.59_1785343892685160,1785343892685159852,1785343892873978458,1432560901858996,1432561090677340
1785343897.447053,exp_1785343314,10.42.0.145,15,1785343892.462246,1785343892.604047,0.141801,2085024,46,0.003151,0.012937,decision_upload_to_download,atk_10.42.0.145_1785343892462245,1785343892462245558,1785343892604046717,1432560678944751,1432560820746375
