timestamp,client_id,round,phase,src_ip,dst_ip,server_host,upload_success,phase_start,phase_end,phase_duration_s
2026-07-29T00:46:07.013,10.42.0.1,1,idle,10.42.0.195,10.42.0.1,10.42.0.195,,1785300367.0105863,1785300367.0137987,0.003212451934814453
2026-07-29T00:51:10.569,10.42.0.18,1,idle,10.42.0.18,10.42.0.195,10.42.0.195,,1785300620.5196629,1785300670.569006,50.04934310913086
2026-07-29T00:51:10.579,10.42.0.145,1,idle,10.42.0.145,10.42.0.195,10.42.0.195,,1785300569.9497643,1785300670.5796616,100.62989735603333
2026-07-29T00:51:10.640,10.42.0.59,1,idle,10.42.0.59,10.42.0.195,10.42.0.195,,1785300366.9690642,1785300670.6401646,303.6711003780365
2026-07-29T00:51:10.700,10.42.0.210,1,idle,10.42.0.210,10.42.0.195,10.42.0.195,,1785300566.9271066,1785300670.7002208,103.77311420440674
2026-07-29T00:51:10.713,10.42.0.47,1,idle,10.42.0.47,10.42.0.195,10.42.0.195,,1785300670.4322517,1785300670.7136915,0.28143978118896484
2026-07-29T00:51:12.649,10.42.0.145,1,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785300670.5796616,1785300672.649157,2.069495439529419
2026-07-29T00:51:12.650,10.42.0.145,1,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785300672.649157,1785300672.6501396,0.000982522964477539
2026-07-29T00:51:12.705,10.42.0.1,1,download,10.42.0.1,10.42.0.195,10.42.0.195,,1785300367.0137987,1785300672.7051663,305.6913676261902
2026-07-29T00:51:12.705,10.42.0.1,1,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785300672.7051663,1785300672.7058272,0.0006608963012695312
2026-07-29T00:51:12.884,10.42.0.1,1,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785300672.7058272,1785300672.8844793,0.17865204811096191
2026-07-29T00:51:12.885,10.42.0.1,2,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785300672.8844793,1785300672.885459,0.0009796619415283203
2026-07-29T00:51:12.887,10.42.0.1,2,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785300672.885459,1785300672.8875039,0.0020449161529541016
2026-07-29T00:51:12.899,10.42.0.1,2,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785300672.8875039,1785300672.8999677,0.012463808059692383
2026-07-29T00:51:12.904,10.42.0.1,2,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785300672.8999677,1785300672.9045575,0.00458979606628418
2026-07-29T00:51:12.915,10.42.0.1,2,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785300672.9045575,1785300672.9150693,0.01051187515258789
2026-07-29T00:51:12.947,10.42.0.1,2,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785300672.9150693,1785300672.9474592,0.03238987922668457
2026-07-29T00:51:13.094,10.42.0.1,3,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785300672.9474592,1785300673.0942156,0.14675641059875488
2026-07-29T00:51:13.094,10.42.0.1,3,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785300673.0942156,1785300673.094972,0.0007562637329101562
2026-07-29T00:51:13.111,10.42.0.18,1,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785300670.569006,1785300673.1118553,2.54284930229187
2026-07-29T00:51:13.131,10.42.0.59,1,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785300670.6401646,1785300673.1314254,2.4912607669830322
2026-07-29T00:51:13.142,10.42.0.59,1,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785300673.1314254,1785300673.1428716,0.011446237564086914
2026-07-29T00:51:13.147,10.42.0.18,1,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785300673.1118553,1785300673.1471827,0.03532743453979492
2026-07-29T00:51:13.908,10.42.0.47,1,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785300670.7136915,1785300673.9084258,3.1947343349456787
2026-07-29T00:51:13.909,10.42.0.47,1,fit,10.42.0.47,10.42.0.195,10.42.0.195,,1785300673.9084258,1785300673.9096327,0.0012068748474121094
2026-07-29T00:51:16.034,10.42.0.210,1,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785300670.7002208,1785300676.0346906,5.334469795227051
2026-07-29T00:51:18.755,10.42.0.210,1,fit,10.42.0.210,,10.42.0.210,,1785300676.0346906,1785300678.7558255,2.721134901046753
2026-07-29T00:51:20.081,10.42.0.1,3,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785300673.094972,1785300680.0811384,6.986166477203369
2026-07-29T00:51:20.125,10.42.0.18,1,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785300673.1471827,1785300680.1256356,6.978452920913696
2026-07-29T00:51:20.134,10.42.0.59,1,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785300673.1428716,1785300680.1347744,6.991902828216553
2026-07-29T00:51:20.135,10.42.0.145,1,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785300672.6501396,1785300680.1356502,7.485510587692261
2026-07-29T00:51:20.250,10.42.0.210,1,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785300678.7558255,1785300680.2508335,1.4950079917907715
2026-07-29T00:51:20.262,10.42.0.47,1,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785300673.9096327,1785300680.2624893,6.352856636047363
