timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785340594.882370,exp_1785340153,10.42.0.1,1,1785340589.274629,1785340594.021792,4.747163,4205897,163,0.029303,1.996342,decision_upload_to_download,atk_10.42.0.1_1785340589274629,1785340589274629115,1785340594021792511,1429257491328182,1429262238490941
1785340595.132530,exp_1785340153,10.42.0.18,1,1785340589.637459,1785340590.486622,0.849163,864526,30,0.029281,0.328191,decision_upload_to_download,atk_10.42.0.18_1785340589637458,1785340589637458621,1785340590486622313,1429257854157173,1429258703320415
1785340595.160235,exp_1785340153,10.42.0.59,1,1785340590.179857,1785340590.796507,0.61665,784870,20,0.032455,0.263511,decision_upload_to_download,atk_10.42.0.59_1785340590179856,1785340590179856736,1785340590796506987,1429258396555155,1429259013205786
1785340595.177245,exp_1785340153,10.42.0.210,1,1785340593.3742,1785340593.52857,0.15437,2096067,141,0.001103,0.00234,decision_upload_to_download,atk_10.42.0.210_1785340593374199,1785340593374199794,1785340593528569951,1429261590898484,1429261745268601
1785340595.228201,exp_1785340153,10.42.0.145,1,1785340589.250566,1785340589.516968,0.266403,1251220,58,0.004674,0.06706,decision_upload_to_download,atk_10.42.0.145_1785340589250565,1785340589250565678,1785340589516968451,1429257467264335,1429257733667047
1785340595.373542,exp_1785340153,10.42.0.47,1,1785340589.878363,1785340591.666942,1.788579,521280,204,0.008811,0.284752,decision_upload_to_download,atk_10.42.0.47_1785340589878363,1785340589878362982,1785340591666942086,1429258095061330,1429259883640472
1785340601.394212,exp_1785340153,10.42.0.1,2,1785340597.277149,1785340600.658958,3.381809,5407051,122,0.027949,0.607638,decision_upload_to_download,atk_10.42.0.1_1785340597277149,1785340597277149106,1785340600658958108,1429265493847417,1429268875656921
1785340601.507080,exp_1785340153,10.42.0.47,2,1785340597.289625,1785340599.422196,2.132571,642912,249,0.008599,0.351835,decision_upload_to_download,atk_10.42.0.47_1785340597289625,1785340597289624790,1785340599422196345,1429265506323240,1429267638894853
1785340601.619577,exp_1785340153,10.42.0.210,2,1785340600.02113,1785340600.131412,0.110282,949888,75,0.00149,0.003568,decision_upload_to_download,atk_10.42.0.210_1785340600021130,1785340600021129965,1785340600131412251,1429268237828995,1429268348110627
1785340601.698870,exp_1785340153,10.42.0.18,2,1785340597.433959,1785340598.109041,0.675082,462820,45,0.015343,0.564602,decision_upload_to_download,atk_10.42.0.18_1785340597433959,1785340597433958950,1785340598109040653,1429265650657203,1429266325738925
1785340601.725682,exp_1785340153,10.42.0.59,2,1785340597.80108,1785340598.402898,0.601818,768112,16,0.040121,0.561395,decision_upload_to_download,atk_10.42.0.59_1785340597801079,1785340597801079751,1785340598402898104,1429266017778544,1429266619597293
1785340601.930904,exp_1785340153,10.42.0.145,2,1785340597.232405,1785340597.789993,0.557588,1679153,66,0.008578,0.362336,decision_upload_to_download,atk_10.42.0.145_1785340597232405,1785340597232405086,1785340597789993058,1429265449103621,1429266006691434
1785340608.018144,exp_1785340153,10.42.0.1,3,1785340603.657213,1785340607.411278,3.754065,5333722,101,0.037541,1.232199,decision_upload_to_download,atk_10.42.0.1_1785340603657213,1785340603657213292,1785340607411278707,1429271873911557,1429275627978416
1785340608.128705,exp_1785340153,10.42.0.47,3,1785340603.754436,1785340605.52929,1.774854,496011,136,0.013147,0.393072,decision_upload_to_download,atk_10.42.0.47_1785340603754436,1785340603754436088,1785340605529289708,1429271971135218,1429273745988686
1785340608.220356,exp_1785340153,10.42.0.145,3,1785340603.58936,1785340603.866889,0.277529,2029400,85,0.003304,0.064035,decision_upload_to_download,atk_10.42.0.145_1785340603589359,1785340603589359532,1785340603866888755,1429271806058079,1429272083587071
1785340608.243177,exp_1785340153,10.42.0.59,3,1785340603.864998,1785340603.911044,0.046046,735840,16,0.00307,0.007331,decision_upload_to_download,atk_10.42.0.59_1785340603864997,1785340603864997866,1785340603911044194,1429272081696758,1429272127742484
1785340608.278849,exp_1785340153,10.42.0.210,3,1785340606.304621,1785340606.618612,0.313992,1106272,118,0.002684,0.159419,decision_upload_to_download,atk_10.42.0.210_1785340606304620,1785340606304620423,1785340606618612243,1429274521318439,1429274835310482
1785340608.298618,exp_1785340153,10.42.0.18,3,1785340603.805089,1785340603.946534,0.141446,876000,70,0.00205,0.053767,decision_upload_to_download,atk_10.42.0.18_1785340603805088,1785340603805088392,1785340603946534376,1429272021786600,1429272163232866
1785340613.178692,exp_1785340153,10.42.0.1,4,1785340610.800919,1785340612.556126,1.755207,6838318,130,0.013606,0.194326,decision_upload_to_download,atk_10.42.0.1_1785340610800918,1785340610800918858,1785340612556125861,1429279017617526,1429280772824977
1785340614.655555,exp_1785340153,10.42.0.1,5,1785340613.231132,1785340613.866629,0.635497,2404121,43,0.015131,0.038303,decision_upload_to_download,atk_10.42.0.1_1785340613231131,1785340613231131996,1785340613866628720,1429281447830719,1429282083327772
1785340620.812617,exp_1785340153,10.42.0.1,6,1785340618.680802,1785340619.610994,0.930192,1048517,50,0.018984,0.25967,decision_upload_to_download,atk_10.42.0.1_1785340618680802,1785340618680802077,1785340619610993570,1429286897500698,1429287827692131
1785340620.932109,exp_1785340153,10.42.0.47,4,1785340618.668723,1785340619.609323,0.9406,1013600,249,0.003793,0.250504,decision_upload_to_download,atk_10.42.0.47_1785340618668723,1785340618668723234,1785340619609323036,1429286885422070,1429287826021624
1785340621.062580,exp_1785340153,10.42.0.145,4,1785340610.601159,1785340611.222324,0.621165,1885021,69,0.009135,0.213168,decision_upload_to_download,atk_10.42.0.145_1785340610601159,1785340610601159246,1785340611222324531,1429278817857401,1429279439022651
1785340621.119348,exp_1785340153,10.42.0.18,4,1785340610.865597,1785340611.26293,0.397333,1108283,88,0.004567,0.184604,decision_upload_to_download,atk_10.42.0.18_1785340610865596,1785340610865596721,1785340611262929691,1429279082295747,1429279479627842
