timestamp,ts_wall,proxy_run_id,experiment_id,run_id,condition,event_type,direction,stream_id,fl_round,fl_phase,phase_confidence,phase_source,client_ip,targeted,target_source,poison_target_mode,active_analyzer_target,grpc_message_size_bytes,rewrite_processing_duration_s,max_message_mb_configured,message_size_policy,adaptive_hard_limit_bytes,transport_buffer_mode,transport_spooled_to_disk,transport_spool_bytes,flow_control_synthetic_credit_bytes,flow_control_server_credit_suppressed_bytes,analyzer_target_ttl_remaining_s,grpc_message_index,selected_for_attack,modified,modification_reason,attack_type,raw_attack,effective_attack_name,clip_ratio,alpha,sigma,aggressiveness,warmup_configured,warmup_rounds_configured,warmup_round_number,warmup_round_hold_active,attack_phase,engine_observed,engine_poisoned,arrays_found_in_message,arrays_modified_in_message,phase_gate_enabled,phase_gate_open,phase_gate_reason,phase_gate_required_phase,phase_gate_min_confidence,phase_gate_max_age_s,phase_prediction_age_s,phase_prediction_client_ip,phase_prediction_round,phase_prediction_scope,phase_client_match,phase_source_allowed,update_space_required,update_space_used,global_model_cached,global_model_matched,global_model_match_method,global_model_age_s,global_model_round,global_model_message_index,global_model_stream_id,global_model_phase_qualified,global_model_phase_at_cache,global_model_cache_source,global_model_match_valid,global_model_phase_status,model_cache_candidates,global_model_hash,local_model_hash,poisoned_model_hash,global_model_contract_sha256,global_model_tensor_count,global_model_total_bytes,global_model_storage_mode,canonical_hash_scheme,genuine_update_sha256,raw_poison_update_sha256,projected_update_sha256,reconstructed_model_sha256,tensor_signature_hash,tensor_count,update_dimension,model_contract_hash_scheme,model_contract_sha256,model_contract_tensor_count,model_contract_total_elements,model_contract_total_bytes,model_contract_shapes_json,model_contract_dtypes_json,reconstruction_valid,finite_values_valid,wire_compatible,genuine_update_l1_norm,genuine_update_l2_norm,genuine_update_max_abs,genuine_update_zero_fraction,genuine_update_near_zero_fraction,genuine_update_mean,genuine_update_std,genuine_update_minimum,genuine_update_maximum,genuine_tensor_l2_norms_json,distance_to_previous_genuine_update,cosine_to_previous_genuine_update,genuine_update_norm_change,genuine_update_norm_change_ratio,raw_poison_update_l1_norm,raw_poison_update_l2_norm,raw_poison_update_max_abs,raw_poison_update_near_zero_fraction,distance_genuine_to_raw_poison,cosine_genuine_to_raw_poison,projected_update_l1_norm,projected_update_l2_norm,projected_update_max_abs,projected_update_zero_fraction,projected_update_near_zero_fraction,projected_tensor_l2_norms_json,distance_genuine_to_projected_update,cosine_genuine_to_projected_update,projected_to_genuine_norm_ratio,reconstructed_model_l2_norm,envelope_observations,warmup_complete,engine_decision,engine_model_contract_sha256,engine_round_index,active_defense,oracle_evaluated_defenses,geometry_sketch_dim_configured,state_persistence_enabled,peer_observation_recorded,peer_observation_reason,peer_observation_error,peer_contract_sha256,peer_observation_storage_mode,peer_observation_sketch_dimensions,peer_registry_total_bytes,peer_registry_total_mb,peer_client_count,peer_full_block_client_count,peer_sketch_only_client_count,peer_envelope_observations,peer_mode,peer_geometry_mode,peer_geometry_dimensions,peer_geometry_rows,peer_geometry_peer_ids,peer_envelope_requested_round,peer_envelope_selected_round,peer_envelope_round_source,peer_envelope_required_client_count,peer_envelope_selected_client_count,peer_geometry_requested_round,peer_geometry_selected_round,peer_geometry_round_source,peer_geometry_required_client_count,peer_geometry_selected_client_count,peer_full_geometry_requested_round,peer_full_geometry_selected_round,peer_full_geometry_round_source,peer_full_geometry_required_client_count,peer_full_geometry_selected_client_count,selection_attack_feasible,selection_feasible,selection_reason,selection_configured_active_defense,selection_strength,selection_gamma_boundary,selection_gamma,selection_gamma_over_peer_scale,selection_peer_mean_norm,selection_gamma_over_peer_mean_norm,selection_harmful_direction_crossed,selection_malicious_krum_score,selection_min_peer_krum_score,selection_selection_rank_low,selection_selection_size,selection_cosine_to_peer_mean,selection_boundary_mode,selection_boundary_threshold,selection_boundary_distance_power,oracle_any_flagged,oracle_geometry_mode,oracle_geometry_dimensions,oracle_coordinate_containment,oracle_cosine_to_peer_mean,oracle_norm_in_band,adaptive_final_aggressiveness,oracle_krum_flagged,oracle_krum_selected,oracle_multi_krum_flagged,oracle_multi_krum_selected,oracle_median_flagged,oracle_trimmed_mean_flagged,oracle_bulyan_flagged,oracle_bulyan_selected,oracle_flame_flagged,oracle_flame_selected,envelope_coordinate_containment_fraction,envelope_norm_containment_fraction,envelope_mean_direction_cosine,envelope_global_norm_contained,envelope_global_direction_cosine,projection_working_dtype,event_log_source
2026-07-29T11:56:29,1785340589.621752,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,,UNKNOWN,,,10.42.0.145,0,not_in_static_targets,static,0,2483555,0.018592,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,0,1,0,phase_gate_phase_not_MODEL_UPLOAD,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,,,waiting_for_target_traffic,,,10,0,1,0,phase_not_MODEL_UPLOAD,MODEL_UPLOAD,0.85,90.0,,,,none,0,1,1,0,0,0,,,,,,,,,,,,,af4dfd701f5bb848f678708087f646dad9be1530e5233b622a8e1e77884445b8,,,,,,fl_ndarray_bundle_sha256_v1,,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:30,1785340590.979857,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,,UNKNOWN,,,10.42.0.59,0,not_in_static_targets,static,0,2483554,0.02432,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,0,1,0,phase_gate_phase_not_MODEL_UPLOAD,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,,,waiting_for_target_traffic,,,10,0,1,0,phase_not_MODEL_UPLOAD,MODEL_UPLOAD,0.85,90.0,,,,none,0,1,1,0,0,0,,,,,,,,,,,,,c4809a65633b09f47043d1475da33fbf8befbce83d06a7ee7c6db148cc6c5b70,,,,,,fl_ndarray_bundle_sha256_v1,,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:31,1785340591.106384,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,1,MODEL_UPLOAD,0.95,apply_poison,10.42.0.18,0,not_in_static_targets,static,0,2483554,0.128269,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,0,1,0,peer_observation_recorded,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,1,0,waiting_for_target_traffic,,,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,0.5283803939819336,10.42.0.18,1,client,1,1,1,1,1,1,latest_contract,2.7176082134246826,,0,1,0,UNKNOWN,server_announce,1,matched_but_phase_unqualified,1,bc30a2315035a5b457accc895820cf3bee3241a0a4644ccf35dd3d1f005d86dc,893b9fb6964f5a47b72012996bc82abef9245cbbce109d83d80aa1eedf097dcd,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,0b922d13c82f9a53f63b953b995978a7477c77e99e18b0161de886d95d27a8a2,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,2406.10079585643,3.5551650462177102,0.01504012942314148,0.0,1.9343544575586514e-05,-0.0010153388565538788,0.004398067224872979,-0.01448853686451912,0.01504012942314148,"[0.17211493688276827,0.03128039004331552,0.7118448279177552,0.04271473048577153,1.3477880528211237,0.05062281244780618,3.1974705800157897,0.06458382064659228,0.23001330373832082,0.007634133552642174]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,2481448,2.3664932250976562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:31,1785340591.894039,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,1,MODEL_UPLOAD,0.95,apply_poison,10.42.0.47,0,not_in_static_targets,static,0,2483554,0.043106,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,0,1,0,peer_observation_recorded,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,1,0,waiting_for_target_traffic,,,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,1.0539464950561523,10.42.0.47,1,client,1,1,1,1,1,1,latest_contract,2.788113594055176,,0,1,0,UNKNOWN,server_announce,1,matched_but_phase_unqualified,1,bc30a2315035a5b457accc895820cf3bee3241a0a4644ccf35dd3d1f005d86dc,dba371e70f7642ffc8d465a15462a49b17c80b6ea9908e9ca660bb3096736935,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,74cc8d0ea15f5f21071d8e16adedf830f5888a08b16cc619eb45301211022d10,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,2364.0497067552333,3.513245230693266,0.015115239657461643,0.0,2.2567468671517596e-05,-0.0010032279913268136,0.0043462405761471815,-0.01456998661160469,0.015115239657461643,"[0.16307419542175772,0.029873267659546173,0.692902424056866,0.03865072960068988,1.3099911129111197,0.047671858311741415,3.1720996933672505,0.0648976228076734,0.22130141172041867,0.006855259015701084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,4962896,4.7329864501953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:33,1785340593.607513,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,1,MODEL_UPLOAD,0.95,apply_poison,10.42.0.210,1,static_poison_clients,static,0,2483555,0.080312,0,adaptive_no_soft_cap,8589934592,memory,0,0,2483560,0,0.0,0,1,0,warmup_observe_only,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,1,0,warmup,1,0,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,0.15648818016052246,10.42.0.210,1,client,1,1,1,1,1,1,latest_contract,5.26134729385376,,0,1,0,UNKNOWN,server_announce,1,matched_but_phase_unqualified,1,bc30a2315035a5b457accc895820cf3bee3241a0a4644ccf35dd3d1f005d86dc,b810c6bdbb1641ba44405ee7c1f09f2abff85018aa232280a0877b2b42d699ce,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,290c580b8f11748fe06b0b26c8d6ced1d356c0fa9d42dc8deec07ff63e9ec770,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,2395.456217723755,3.5069934629055726,0.015051687136292458,0.0,2.417943071948314e-05,-0.001223000410757816,0.0042813311363478,-0.014731980860233307,0.015051687136292458,"[0.17713791276870705,0.03368803584635998,0.7099091567025271,0.042495964933618256,1.3226810323197247,0.05268790366654375,3.1551108494518796,0.06527124772403269,0.2221222317040576,0.011370346551224585]",,,,,,,,,,,,,,,,,,,,,1,0,warmup_observe_only,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,1,median,median,8192,0,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,7444344,7.099479675292969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:38,1785340598.586141,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,2,MODEL_UPLOAD,0.95,apply_poison,10.42.0.145,0,not_in_static_targets,static,0,2483555,0.056978,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,1,1,0,peer_observation_recorded,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,2,0,warmup,1,0,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,1.2437281608581543,10.42.0.145,2,client,1,1,1,1,1,1,latest_contract,2.86509108543396,1,1,1,0,MODEL_UPLOAD,apply_poison,1,matched_but_phase_unqualified,2,a9c1adb6bdf4ec77e05edb31f9281b1d0b563f57c056546c9d4688e13a4799a0,859faf77260ec8ee44b705ead30671d3cd6a835cbe9417c750e3f59548a73f6a,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,6104b315ae978c3886f22cee6898f8219d2d2d0059fa2bb52b0070d1f9839e8c,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,1112.770703642658,2.3308488730496335,0.014391210861504078,0.0,0.00012573303974131234,0.0001298754815015939,0.0029564659306969146,-0.014087107963860035,0.014391210861504078,"[0.11517209040277647,0.014630130928257977,0.45844304366857486,0.02157189839380863,1.0043749662734984,0.038406287427767756,2.04026386407404,0.04558451098280588,0.18329638475245272,0.0120906421473927]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,9925792,9.465972900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:39,1785340599.168914,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,2,MODEL_UPLOAD,0.95,apply_poison,10.42.0.18,0,not_in_static_targets,static,0,2483554,0.055653,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,1,1,0,peer_observation_recorded,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,2,0,warmup,1,0,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,0.7938878536224365,10.42.0.18,2,client,1,1,1,1,1,1,latest_contract,3.1443116664886475,1,1,1,0,MODEL_UPLOAD,apply_poison,1,matched_but_phase_unqualified,2,a9c1adb6bdf4ec77e05edb31f9281b1d0b563f57c056546c9d4688e13a4799a0,bc531fbdf7cbefa5f2264585be382159ba052a7771bdccf42a4cc82b67720b4b,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,4e060e66aca6eb5901676cf7879f3454e0bced42078ad7e8b20be90774277219,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,1098.8124682624557,2.3198623522009854,0.014491789042949677,0.0,0.00013056892588520896,0.0002191581647113077,0.0029372035542505237,-0.014491789042949677,0.013662468641996384,"[0.12065850846311689,0.020741051281525563,0.5077716176678695,0.02615904052514792,1.034071246791144,0.04586706850457015,1.9997310335340506,0.04632898059202275,0.1888228405842131,0.011161438746727138]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,12407240,11.832466125488281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:39,1785340599.590666,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,2,MODEL_UPLOAD,0.95,apply_poison,10.42.0.47,0,not_in_static_targets,static,0,2483554,0.049983,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,1,1,0,peer_observation_recorded,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,2,0,warmup,1,0,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,2.0033998489379883,10.42.0.47,2,client,1,1,1,1,1,1,latest_contract,2.959279775619507,1,1,1,0,MODEL_UPLOAD,apply_poison,1,matched_but_phase_unqualified,2,a9c1adb6bdf4ec77e05edb31f9281b1d0b563f57c056546c9d4688e13a4799a0,27449767632b3932755d0848ce1857dd4a07f4b301eaa1ef9459a8fb9835dd32,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,df63cec28c6f35e9f88db97f2d2ebc533ade0565de652744968758a5a7677dba,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,1071.2864509157857,2.2653910710853555,0.014720050618052483,0.0,0.00012573303974131234,0.0002260539447372306,0.002867312946425207,-0.014720050618052483,0.01465042307972908,"[0.10472021213400648,0.01843949179126577,0.4656660169980948,0.02158115288050939,1.0069166926053188,0.043512440154863,1.9624787306257567,0.043447248315908814,0.18517328394225524,0.010278462613215763]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,14888688,14.198959350585938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:39,1785340599.601511,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,2,MODEL_UPLOAD,0.95,apply_poison,10.42.0.59,0,not_in_static_targets,static,0,2483554,0.063026,0,adaptive_no_soft_cap,8589934592,memory,0,0,,,0.0,1,1,0,peer_observation_recorded,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,2,0,warmup,1,0,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,0.8487563133239746,10.42.0.59,2,client,1,1,1,1,1,1,latest_contract,3.544065475463867,1,1,1,0,MODEL_UPLOAD,apply_poison,1,matched_but_phase_unqualified,2,a9c1adb6bdf4ec77e05edb31f9281b1d0b563f57c056546c9d4688e13a4799a0,c59700c67e5f8b06fbbd05d3dc292d0c623255ddb0536dc87120b54ffef28d0d,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,54d51a764c8297de3ae8e1035a4d387d5ab06a2fd93a3bee7eec2555cef0ae5c,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,1069.748392885207,2.276829971503341,0.014609010890126228,0.0,0.00012895696383724342,0.0002158073628970005,0.0028826663781538085,-0.014609010890126228,0.013965833932161331,"[0.11887854675854326,0.020949313668256968,0.5329709263162966,0.027393429659129234,1.0245309180106699,0.03802981967703055,1.949604478299657,0.04465323470205616,0.17442312604050042,0.009513096695687414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,17370136,16.565452575683594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
2026-07-29T11:56:40,1785340600.262800,proxy_1785340270,exp_1785340001,run_1785340001,,upload_decision,client_to_server,1,1,MODEL_UPLOAD,0.95,apply_poison,10.42.0.210,1,static_poison_clients,static,0,2483555,0.09057,0,adaptive_no_soft_cap,8589934592,memory,0,0,4967120,4967120,0.0,1,1,0,warmup_observe_only,envelope,sign_flip,envelope,0.3,0.5,0.01,0.5,20,0,1,0,warmup,2,0,10,0,1,1,analyzer_upload_phase,MODEL_UPLOAD,0.85,90.0,6.8079798221588135,10.42.0.210,1,client,1,1,1,1,1,1,exact_round_contract,4.121388912200928,1,1,1,0,MODEL_UPLOAD,apply_poison,1,matched_but_phase_unqualified,2,a9c1adb6bdf4ec77e05edb31f9281b1d0b563f57c056546c9d4688e13a4799a0,e6ae85d1f4c860f21d63d4e779975fd98a764fe8a0b616408e7d8715bb3e3498,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,2481448,memory,fl_ndarray_bundle_sha256_v1,762c29f719bb4e4b63af846b532fe98f91e6612ba730689b0c92e87e79ec2096,,,,ca9801eefdfeaec54176cc19c864897ce30fdd718b6b5986149c7f7d11fa1dfc,10,620362,fl_tensor_contract_sha256_v1,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,10,620362,2481448,"[[32,3,3,3],[32],[64,32,3,3],[64],[128,64,3,3],[128],[256,2048],[256],[10,256],[10]]","[""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4"",""<f4""]",0,0,0,1099.8521959170075,2.321922458350443,0.014380909502506256,0.0,0.0001321808879331745,6.450676514838621e-05,0.002947278133552743,-0.01369543932378292,0.014380909502506256,"[0.10350906553507355,0.021722021261742858,0.5289420237844614,0.026861372655107876,1.017681741868887,0.03548183217104256,2.006216517432529,0.04710218659268627,0.188411950872581,0.008902229516905643]",4.098919685385615,0.05459831023557034,-1.1850710045551294,0.6620834862994154,,,,,,,,,,,,,,,,,2,0,warmup_observe_only,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,1,median,median,8192,0,1,recorded_full_block,,7b10d947475bdade79485089a2120ee4fdcbe7a81db061e3704849d94b2722b2,full_block_plus_sketch,8192,19851584,18.93194580078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy_actual_delivery
