timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785301916.444571,exp_1785301687,10.42.0.1,1,1785301911.293221,1785301915.127498,3.834276,6290874,244,0.015779,1.625684,decision_upload_to_download,atk_10.42.0.1_1785301911293221,1785301911293221399,1785301915127497920,1390579509919665,1390583344196602
1785301916.698259,exp_1785301687,10.42.0.18,1,1785301911.841915,1785301913.101473,1.259558,861265,25,0.052482,0.368859,decision_upload_to_download,atk_10.42.0.18_1785301911841915,1785301911841914766,1785301913101472393,1390580058614046,1390581318170941
1785301916.716726,exp_1785301687,10.42.0.145,1,1785301911.268466,1785301912.093634,0.825168,889140,46,0.018337,0.246619,decision_upload_to_download,atk_10.42.0.145_1785301911268465,1785301911268465344,1785301912093633810,1390579485164179,1390580310332655
1785301916.750699,exp_1785301687,10.42.0.59,1,1785301911.247961,1785301911.860526,0.612565,1350500,62,0.010042,0.142113,decision_upload_to_download,atk_10.42.0.59_1785301911247960,1785301911247960786,1785301911860526115,1390579464658951,1390580077224729
1785301916.861470,exp_1785301687,10.42.0.47,1,1785301911.246228,1785301912.732104,1.485876,869080,107,0.014018,0.300129,decision_upload_to_download,atk_10.42.0.47_1785301911246228,1785301911246227977,1785301912732103989,1390579462926185,1390580948802245
1785301917.243958,exp_1785301687,10.42.0.210,1,1785301914.714413,1785301914.884862,0.170449,1777240,136,0.001263,0.005653,decision_upload_to_download,atk_10.42.0.210_1785301914714412,1785301914714412839,1785301914884861957,1390582931111612,1390583101560649
1785301923.128493,exp_1785301687,10.42.0.1,2,1785301918.148803,1785301922.349211,4.200408,9114653,193,0.021877,1.804298,decision_upload_to_download,atk_10.42.0.1_1785301918148803,1785301918148803493,1785301922349211225,1390586365502402,1390590565910301
1785301923.357394,exp_1785301687,10.42.0.18,2,1785301919.025711,1785301919.13061,0.104899,671600,18,0.006171,0.044164,decision_upload_to_download,atk_10.42.0.18_1785301919025711,1785301919025711459,1785301919130610488,1390587242410592,1390587347309456
1785301923.424796,exp_1785301687,10.42.0.210,2,1785301921.767279,1785301921.922441,0.155162,2043128,149,0.001048,0.003829,decision_upload_to_download,atk_10.42.0.210_1785301921767279,1785301921767279370,1785301921922440868,1390589983978792,1390590139139074
1785301923.524397,exp_1785301687,10.42.0.145,2,1785301918.765395,1785301919.741216,0.975821,978200,37,0.027106,0.533546,decision_upload_to_download,atk_10.42.0.145_1785301918765395,1785301918765395008,1785301919741215945,1390586982093216,1390587957914415
1785301923.592956,exp_1785301687,10.42.0.47,2,1785301918.12448,1785301919.328384,1.203904,1184891,135,0.008984,0.318284,decision_upload_to_download,atk_10.42.0.47_1785301918124480,1785301918124480395,1785301919328384427,1390586341178617,1390587545083793
1785301923.621223,exp_1785301687,10.42.0.59,2,1785301918.453482,1785301918.814422,0.36094,681981,37,0.010026,0.220886,decision_upload_to_download,atk_10.42.0.59_1785301918453482,1785301918453482232,1785301918814422164,1390586670181013,1390587031120525
1785301929.695508,exp_1785301687,10.42.0.1,3,1785301925.017404,1785301928.850409,3.833005,6690100,146,0.026435,1.324829,decision_upload_to_download,atk_10.42.0.1_1785301925017404,1785301925017404387,1785301928850409188,1390593234102688,1390597067108017
1785301929.876580,exp_1785301687,10.42.0.47,3,1785301924.974224,1785301926.490311,1.516087,925272,235,0.006479,0.576429,decision_upload_to_download,atk_10.42.0.47_1785301924974223,1785301924974223898,1785301926490311259,1390593190922091,1390594707010047
1785301929.922956,exp_1785301687,10.42.0.59,3,1785301925.151118,1785301925.475392,0.324274,943160,33,0.010134,0.220057,decision_upload_to_download,atk_10.42.0.59_1785301925151118,1785301925151118202,1785301925475391975,1390593367816381,1390593692090136
1785301929.968666,exp_1785301687,10.42.0.210,3,1785301928.332704,1785301928.496911,0.164207,1846200,139,0.00119,0.003782,decision_upload_to_download,atk_10.42.0.210_1785301928332703,1785301928332703863,1785301928496911089,1390596549402634,1390596713609455
1785301930.056676,exp_1785301687,10.42.0.18,3,1785301925.478775,1785301925.835896,0.357121,813220,61,0.005952,0.280813,decision_upload_to_download,atk_10.42.0.18_1785301925478775,1785301925478775085,1785301925835895665,1390593695473375,1390594052594041
1785301935.980377,exp_1785301687,10.42.0.1,4,1785301931.654935,1785301935.130491,3.475556,6592744,144,0.024305,1.074152,decision_upload_to_download,atk_10.42.0.1_1785301931654935,1785301931654935362,1785301935130491021,1390599871633705,1390603347190529
1785301936.195673,exp_1785301687,10.42.0.145,3,1785301931.516274,1785301931.730808,0.214534,2300960,52,0.004207,0.020384,decision_upload_to_download,atk_10.42.0.145_1785301931516274,1785301931516274514,1785301931730807957,1390599732972826,1390599947506734
1785301936.271104,exp_1785301687,10.42.0.47,4,1785301931.513092,1785301933.132858,1.619766,636125,158,0.010317,0.23734,decision_upload_to_download,atk_10.42.0.47_1785301931513091,1785301931513091931,1785301933132858350,1390599729790666,1390601349557431
1785301936.328712,exp_1785301687,10.42.0.18,4,1785301931.744542,1785301931.961886,0.217343,178120,13,0.018112,0.160909,decision_upload_to_download,atk_10.42.0.18_1785301931744542,1785301931744542443,1785301931961885822,1390599961240973,1390600178584894
1785301936.403070,exp_1785301687,10.42.0.59,4,1785301931.494482,1785301931.98777,0.493288,1906912,77,0.006491,0.174744,decision_upload_to_download,atk_10.42.0.59_1785301931494482,1785301931494482081,1785301931987770389,1390599711180311,1390600204468907
1785301937.213964,exp_1785301687,10.42.0.210,4,1785301934.605983,1785301934.771946,0.165963,1469720,109,0.001537,0.032338,decision_upload_to_download,atk_10.42.0.210_1785301934605982,1785301934605982594,1785301934771946329,1390602822681544,1390602988644741
1785301942.482138,exp_1785301687,10.42.0.1,5,1785301937.883741,1785301941.61353,3.729789,4981128,106,0.035522,1.100303,decision_upload_to_download,atk_10.42.0.1_1785301937883740,1785301937883740612,1785301941613529916,1390606100438820,1390609830228802
1785301942.714522,exp_1785301687,10.42.0.145,4,1785301937.74942,1785301937.98781,0.23839,2318624,58,0.004182,0.027789,decision_upload_to_download,atk_10.42.0.145_1785301937749420,1785301937749420008,1785301937987810121,1390605966118362,1390606204508396
1785301942.755896,exp_1785301687,10.42.0.210,5,1785301941.099191,1785301941.254268,0.155077,2069192,155,0.001007,0.002674,decision_upload_to_download,atk_10.42.0.210_1785301941099190,1785301941099190843,1785301941254268083,1390609315889527,1390609470966312
1785301942.779163,exp_1785301687,10.42.0.47,5,1785301937.779949,1785301939.776864,1.996915,609608,212,0.009464,0.307932,decision_upload_to_download,atk_10.42.0.47_1785301937779949,1785301937779949023,1785301939776863747,1390605996647427,1390607993562235
