timestamp,wall_time_ns,mono_time_ns,experiment_id,src_ip,client_id,payload_bytes,direction,iat,dir_ratio,burst_density,inbound_bytes,outbound_bytes,inbound_count,outbound_count,inbound_share,outbound_share,raw_state_est,state_est,state_confidence,cycle_stage,inferred_round_id,completed_cycle_id,live_direction_label,live_phase_label,live_phase_confidence,adaptive_phase_label,adaptive_phase_score_idle,adaptive_phase_score_download,adaptive_phase_score_training,adaptive_phase_score_upload
1785301781.489078,1785301781489078141,1390449705776684,exp_1785301687,10.42.0.59,10.42.0.59,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785301781.5654714,1785301781565471418,1390449782171111,exp_1785301687,10.42.0.195,10.42.0.1,52,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.630405,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785301781.5676491,1785301781567648927,1390449784347708,exp_1785301687,10.42.0.195,10.42.0.59,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785301781.5686789,1785301781568679039,1390449785377181,exp_1785301687,10.42.0.1,10.42.0.1,58,0,0.001863461562667056,1.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.607734,0,1,0,unknown,IDLE,0.2,IDLE,3.174538,-1.2,2.767712,-1.2
1785301781.5726688,1785301781572668548,1390449789366700,exp_1785301687,10.42.0.59,10.42.0.59,257,1,0.0011181141803111112,100.0,1,0.0,257.0,0,1,0.0,1.0,3,0,0.95,0,1,0,outbound,UPLOAD,0.95,IDLE,2.899816,-1.763333,2.243754,0.603333
1785301781.612219,1785301781612219246,1390449828918526,exp_1785301687,10.42.0.1,10.42.0.1,257,1,0.021216934223390403,100.0,1,0.0,257.0,0,1,0.0,1.0,3,1,0.95,0,1,0,outbound,UPLOAD,0.55,IDLE,3.485477,-1.763333,3.56149,0.603333
1785301813.3113873,1785301813311387379,1390481528085645,exp_1785301687,10.42.0.210,10.42.0.210,82,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.861935,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785301813.4131455,1785301813413145700,1390481629844775,exp_1785301687,10.42.0.195,10.42.0.1,52,0,10.959042545212709,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.955793,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
1785301813.4149108,1785301813414910765,1390481631610938,exp_1785301687,10.42.0.195,10.42.0.210,39,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.554536,0,1,0,unknown,IDLE,0.2,IDLE,3.1,-1.2,2.6,-1.2
1785301813.4174051,1785301813417405125,1390481634105529,exp_1785301687,10.42.0.1,10.42.0.1,58,0,8.03765568669877,1.0,0,0.0,0.0,0,0,0.0,0.0,3,1,0.9847,0,1,0,unknown,IDLE,0.8,IDLE,1.0,0.0,0.0,0.0
