timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785342181.672889,exp_1785341732,10.42.0.1,1,1785342175.009829,1785342180.480059,5.47023,4865394,178,0.030905,2.268647,decision_upload_to_download,atk_10.42.0.1_1785342175009828,1785342175009828647,1785342180480058899,1430843226526884,1430848696758587
1785342181.899650,exp_1785341732,10.42.0.18,1,1785342175.551358,1785342176.200371,0.649013,678900,38,0.017541,0.190877,decision_upload_to_download,atk_10.42.0.18_1785342175551358,1785342175551357934,1785342176200370654,1430843768056617,1430844417070135
1785342181.950645,exp_1785341732,10.42.0.145,1,1785342174.999841,1785342175.321571,0.32173,1527160,39,0.008467,0.127625,decision_upload_to_download,atk_10.42.0.145_1785342174999841,1785342174999841130,1785342175321570462,1430843216541102,1430843538269495
1785342182.089015,exp_1785341732,10.42.0.59,1,1785342175.273125,1785342175.877735,0.60461,1090620,28,0.022393,0.164952,decision_upload_to_download,atk_10.42.0.59_1785342175273125,1785342175273125034,1785342175877735210,1430843489824024,1430844094433867
1785342182.190617,exp_1785341732,10.42.0.47,1,1785342179.522967,1785342180.486449,0.963481,665640,183,0.005294,0.337764,decision_upload_to_download,atk_10.42.0.47_1785342179522967,1785342179522967353,1785342180486448701,1430847739666278,1430848703147280
1785342182.249736,exp_1785341732,10.42.0.210,1,1785342178.467538,1785342178.630712,0.163174,1866784,155,0.00106,0.002182,decision_upload_to_download,atk_10.42.0.210_1785342178467538,1785342178467538041,1785342178630712098,1430846684237013,1430846847411799
1785342190.071527,exp_1785341732,10.42.0.1,2,1785342184.052265,1785342188.627041,4.574776,8411880,188,0.024464,1.26046,decision_upload_to_download,atk_10.42.0.1_1785342184052265,1785342184052264946,1785342188627041088,1430852268963313,1430856843739769
1785342190.294044,exp_1785341732,10.42.0.210,2,1785342186.448596,1785342186.606263,0.157668,1615968,132,0.001204,0.003232,decision_upload_to_download,atk_10.42.0.210_1785342186448595,1785342186448595382,1785342186606263260,1430854665294782,1430854822963537
1785342190.302247,exp_1785341732,10.42.0.47,2,1785342187.717124,1785342188.638228,0.921104,878936,229,0.00404,0.403828,decision_upload_to_download,atk_10.42.0.47_1785342187717123,1785342187717123842,1785342188638227601,1430855933822687,1430856854928830
1785342190.399143,exp_1785341732,10.42.0.18,2,1785342184.067384,1785342184.416161,0.348777,915420,80,0.004415,0.116302,decision_upload_to_download,atk_10.42.0.18_1785342184067383,1785342184067383916,1785342184416160502,1430852284082938,1430852632860094
1785342190.414718,exp_1785341732,10.42.0.59,2,1785342184.219042,1785342185.029649,0.810607,1087898,28,0.030022,0.631152,decision_upload_to_download,atk_10.42.0.59_1785342184219042,1785342184219042412,1785342185029649435,1430852435740809,1430853246348624
1785342190.427718,exp_1785341732,10.42.0.145,2,1785342184.016376,1785342184.229907,0.213531,1497960,34,0.006471,0.066316,decision_upload_to_download,atk_10.42.0.145_1785342184016375,1785342184016375832,1785342184229907004,1430852233075163,1430852446605970
1785342198.977593,exp_1785341732,10.42.0.1,3,1785342191.80609,1785342197.793017,5.986928,9917464,220,0.027338,2.346625,decision_upload_to_download,atk_10.42.0.1_1785342191806089,1785342191806089841,1785342197793017454,1430860022788662,1430866009715877
1785342199.108760,exp_1785341732,10.42.0.210,3,1785342193.812312,1785342193.970666,0.158353,1798416,135,0.001182,0.004561,decision_upload_to_download,atk_10.42.0.210_1785342193812312,1785342193812312253,1785342193970665821,1430862029011089,1430862187364992
1785342199.207828,exp_1785341732,10.42.0.59,3,1785342191.77357,1785342192.544913,0.771343,2060238,44,0.017938,0.570014,decision_upload_to_download,atk_10.42.0.59_1785342191773569,1785342191773569696,1785342192544913222,1430859990268283,1430860761611708
