timestamp,client_id,round,phase,src_ip,dst_ip,server_host,upload_success,phase_start,phase_end,phase_duration_s
2026-07-28T22:29:58.915,10.42.0.1,1,idle,10.42.0.195,10.42.0.1,10.42.0.195,,1785292198.9122157,1785292198.9157436,0.0035278797149658203
2026-07-28T22:35:08.108,10.42.0.18,1,idle,10.42.0.18,10.42.0.195,10.42.0.195,,1785292203.628755,1785292508.1081438,304.47938871383667
2026-07-28T22:35:08.117,10.42.0.210,1,idle,10.42.0.210,10.42.0.195,10.42.0.195,,1785292507.8709745,1785292508.1172376,0.2462630271911621
2026-07-28T22:35:08.120,10.42.0.59,1,idle,10.42.0.59,10.42.0.195,10.42.0.195,,1785292208.1769297,1785292508.1201925,299.94326281547546
2026-07-28T22:35:08.137,10.42.0.145,1,idle,10.42.0.145,10.42.0.195,10.42.0.195,,1785292198.8411498,1785292508.1372695,309.2961196899414
2026-07-28T22:35:08.149,10.42.0.47,1,idle,10.42.0.47,10.42.0.195,10.42.0.195,,1785292200.3253655,1785292508.1497538,307.82438826560974
2026-07-28T22:35:08.467,10.42.0.145,1,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785292508.1372695,1785292508.46722,0.32995057106018066
2026-07-28T22:35:08.467,10.42.0.1,1,download,10.42.0.1,10.42.0.195,10.42.0.195,,1785292198.9157436,1785292508.46722,309.55147647857666
2026-07-28T22:35:08.467,10.42.0.47,1,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785292508.1497538,1785292508.46722,0.31746625900268555
2026-07-28T22:35:08.467,10.42.0.18,1,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785292508.1081438,1785292508.46722,0.35907626152038574
2026-07-28T22:35:08.467,10.42.0.59,1,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785292508.1201925,1785292508.46722,0.3470275402069092
2026-07-28T22:35:08.467,10.42.0.210,1,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785292508.1172376,1785292508.46722,0.34998250007629395
2026-07-28T22:35:09.615,10.42.0.145,1,fit,10.42.0.145,,10.42.0.145,,1785292508.46722,1785292509.6154711,1.1482510566711426
2026-07-28T22:35:09.623,10.42.0.1,1,fit,10.42.0.1,,10.42.0.1,,1785292508.46722,1785292509.6231375,1.1559174060821533
2026-07-28T22:35:09.689,10.42.0.47,1,fit,10.42.0.47,,10.42.0.47,,1785292508.46722,1785292509.6890132,1.2217931747436523
2026-07-28T22:35:09.882,10.42.0.18,1,fit,10.42.0.18,,10.42.0.18,,1785292508.46722,1785292509.882268,1.4150478839874268
2026-07-28T22:35:09.998,10.42.0.59,1,fit,10.42.0.59,,10.42.0.59,,1785292508.46722,1785292509.9982314,1.5310113430023193
2026-07-28T22:35:14.483,10.42.0.210,1,fit,10.42.0.210,,10.42.0.210,,1785292508.46722,1785292514.4830766,6.015856504440308
2026-07-28T22:35:14.887,10.42.0.1,1,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785292509.6231375,1785292514.887852,5.264714479446411
2026-07-28T22:35:14.913,10.42.0.18,1,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785292509.882268,1785292514.913229,5.030961036682129
2026-07-28T22:35:14.919,10.42.0.47,1,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785292509.6890132,1785292514.9191675,5.230154275894165
2026-07-28T22:35:14.945,10.42.0.145,1,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785292509.6154711,1785292514.9457986,5.33032751083374
2026-07-28T22:35:14.967,10.42.0.59,1,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785292509.9982314,1785292514.9673183,4.9690868854522705
2026-07-28T22:35:15.002,10.42.0.210,1,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785292514.4830766,1785292515.0024295,0.519352912902832
2026-07-28T22:35:15.274,10.42.0.145,2,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785292514.9457986,1785292515.27412,0.3283214569091797
2026-07-28T22:35:15.277,10.42.0.145,2,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785292515.27412,1785292515.2770264,0.002906322479248047
2026-07-28T22:35:15.278,10.42.0.1,2,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785292514.887852,1785292515.2787867,0.39093470573425293
2026-07-28T22:35:15.280,10.42.0.1,2,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785292515.2787867,1785292515.2800093,0.0012226104736328125
2026-07-28T22:35:15.290,10.42.0.59,2,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785292514.9673183,1785292515.2904513,0.3231329917907715
2026-07-28T22:35:15.291,10.42.0.59,2,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785292515.2904513,1785292515.2913518,0.0009005069732666016
2026-07-28T22:35:15.311,10.42.0.47,2,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785292514.9191675,1785292515.3118906,0.39272308349609375
2026-07-28T22:35:15.312,10.42.0.47,2,fit,10.42.0.47,10.42.0.195,10.42.0.195,,1785292515.3118906,1785292515.312679,0.0007884502410888672
2026-07-28T22:35:15.361,10.42.0.18,2,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785292514.913229,1785292515.361763,0.4485340118408203
2026-07-28T22:35:15.362,10.42.0.18,2,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785292515.361763,1785292515.362794,0.0010309219360351562
2026-07-28T22:35:15.732,10.42.0.210,2,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785292515.0024295,1785292515.7323399,0.7299103736877441
2026-07-28T22:35:16.867,10.42.0.210,2,fit,10.42.0.210,,10.42.0.210,,1785292515.7323399,1785292516.8678696,1.1355297565460205
2026-07-28T22:35:17.264,10.42.0.1,2,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785292515.2800093,1785292517.2644374,1.9844281673431396
2026-07-28T22:35:17.318,10.42.0.59,2,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785292515.2913518,1785292517.3185937,2.0272419452667236
2026-07-28T22:35:17.327,10.42.0.18,2,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785292515.362794,1785292517.3272076,1.9644136428833008
2026-07-28T22:35:17.345,10.42.0.210,2,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785292516.8678696,1785292517.3451407,0.47727108001708984
2026-07-28T22:35:17.352,10.42.0.145,2,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785292515.2770264,1785292517.3524883,2.0754618644714355
2026-07-28T22:35:17.381,10.42.0.47,2,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785292515.312679,1785292517.3815088,2.0688297748565674
2026-07-28T22:35:17.674,10.42.0.145,2,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785292517.3524883,1785292517.674011,0.32152271270751953
2026-07-28T22:35:17.676,10.42.0.145,2,fit,10.42.0.145,10.42.0.195,10.42.0.195,,1785292517.674011,1785292517.67615,0.0021390914916992188
2026-07-28T22:35:17.681,10.42.0.1,3,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785292517.2644374,1785292517.6817355,0.4172980785369873
2026-07-28T22:35:17.682,10.42.0.1,3,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785292517.6817355,1785292517.6826012,0.0008656978607177734
2026-07-28T22:35:17.685,10.42.0.59,3,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785292517.3185937,1785292517.685216,0.3666222095489502
2026-07-28T22:35:17.686,10.42.0.59,3,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785292517.685216,1785292517.6862485,0.0010325908660888672
2026-07-28T22:35:17.801,10.42.0.18,3,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785292517.3272076,1785292517.801982,0.4747743606567383
2026-07-28T22:35:17.802,10.42.0.18,3,fit,10.42.0.18,10.42.0.195,10.42.0.195,,1785292517.801982,1785292517.8029218,0.0009398460388183594
2026-07-28T22:35:17.981,10.42.0.47,3,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785292517.3815088,1785292517.981529,0.600020170211792
2026-07-28T22:35:17.981,10.42.0.210,3,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785292517.3451407,1785292517.981529,0.6363883018493652
2026-07-28T22:35:18.664,10.42.0.47,3,fit,10.42.0.47,,10.42.0.47,,1785292517.981529,1785292518.664666,0.6831369400024414
2026-07-28T22:35:19.678,10.42.0.210,3,fit,10.42.0.210,,10.42.0.210,,1785292517.981529,1785292519.6782815,1.6967525482177734
2026-07-28T22:35:20.039,10.42.0.1,3,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785292517.6826012,1785292520.0390482,2.3564469814300537
2026-07-28T22:35:20.073,10.42.0.210,3,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785292519.6782815,1785292520.0731485,0.394866943359375
2026-07-28T22:35:20.081,10.42.0.47,3,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785292518.664666,1785292520.0816157,1.41694974899292
2026-07-28T22:35:20.091,10.42.0.145,2,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785292517.67615,1785292520.091621,2.415470838546753
2026-07-28T22:35:20.101,10.42.0.59,3,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785292517.6862485,1785292520.1013174,2.4150688648223877
2026-07-28T22:35:20.104,10.42.0.18,3,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785292517.8029218,1785292520.1046526,2.3017308712005615
2026-07-28T22:35:20.386,10.42.0.145,3,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785292520.091621,1785292520.386841,0.29522013664245605
2026-07-28T22:35:20.386,10.42.0.1,4,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785292520.0390482,1785292520.386841,0.3477928638458252
