timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785296880.244191,exp_1785296580,10.42.0.1,1,1785296877.267232,1785296879.956979,2.689747,397642,42,0.065604,2.262599,decision_upload_to_download,atk_10.42.0.1_1785296877267231,1785296877267231866,1785296879956978688,1385545483931052,1385548173676841
1785296880.359800,exp_1785296580,10.42.0.145,1,1785296877.258836,1785296877.265188,0.006351,79529,5,0.001588,0.002189,decision_upload_to_download,atk_10.42.0.145_1785296877258836,1785296877258836316,1785296877265187786,1385545475535103,1385545481886755
1785296880.381783,exp_1785296580,10.42.0.18,1,1785296877.635843,1785296877.643389,0.007546,79528,5,0.001886,0.002906,decision_upload_to_download,atk_10.42.0.18_1785296877635843,1785296877635843189,1785296877643388615,1385545852541803,1385545860087118
1785296880.392370,exp_1785296580,10.42.0.47,1,1785296877.495211,1785296877.510788,0.015578,79528,11,0.001558,0.00477,decision_upload_to_download,atk_10.42.0.47_1785296877495210,1785296877495210841,1785296877510788001,1385545711909374,1385545727486610
1785296880.422057,exp_1785296580,10.42.0.210,1,1785296879.880033,1785296879.916729,0.036696,66608,46,0.000815,0.001444,decision_upload_to_download,atk_10.42.0.210_1785296879880032,1785296879880032774,1785296879916728952,1385548096731561,1385548133426901
1785296880.450341,exp_1785296580,10.42.0.59,1,1785296877.596213,1785296877.601966,0.005753,79528,5,0.001438,0.001933,decision_upload_to_download,atk_10.42.0.59_1785296877596213,1785296877596213098,1785296877601965935,1385545812911950,1385545818664031
1785296882.427903,exp_1785296580,10.42.0.1,2,1785296880.641835,1785296882.16086,1.519025,397642,42,0.037049,1.332298,decision_upload_to_download,atk_10.42.0.1_1785296880641835,1785296880641835071,1785296882160860419,1385548858533844,1385550377558462
1785296882.581957,exp_1785296580,10.42.0.47,2,1785296882.139428,1785296882.152368,0.01294,79528,7,0.002157,0.005158,decision_upload_to_download,atk_10.42.0.47_1785296882139428,1785296882139427753,1785296882152367830,1385550356126535,1385550369065851
1785296882.597928,exp_1785296580,10.42.0.18,2,1785296880.738012,1785296880.741358,0.003346,79528,4,0.001115,0.00114,decision_upload_to_download,atk_10.42.0.18_1785296880738011,1785296880738011616,1785296880741358200,1385548954710256,1385548958057178
1785296882.613649,exp_1785296580,10.42.0.59,2,1785296880.66477,1785296880.666343,0.001573,73688,2,0.001573,0.001573,decision_upload_to_download,atk_10.42.0.59_1785296880664770,1785296880664770190,1785296880666343030,1385548881469235,1385548883042371
1785296882.654435,exp_1785296580,10.42.0.210,2,1785296882.051669,1785296882.087963,0.036294,55024,38,0.000981,0.002022,decision_upload_to_download,atk_10.42.0.210_1785296882051669,1785296882051669121,1785296882087963495,1385550268368151,1385550304661478
1785296882.685361,exp_1785296580,10.42.0.145,2,1785296880.637819,1785296880.639949,0.002131,79529,2,0.002131,0.002131,decision_upload_to_download,atk_10.42.0.145_1785296880637818,1785296880637818511,1785296880639949293,1385548854517413,1385548856649114
1785296884.576881,exp_1785296580,10.42.0.1,3,1785296882.805933,1785296884.263216,1.457283,346962,40,0.037366,1.084495,decision_upload_to_download,atk_10.42.0.1_1785296882805933,1785296882805933230,1785296884263216464,1385551022631526,1385552479914394
1785296884.713042,exp_1785296580,10.42.0.47,3,1785296883.991092,1785296884.005243,0.014151,79528,15,0.001011,0.001776,decision_upload_to_download,atk_10.42.0.47_1785296883991092,1785296883991091960,1785296884005242914,1385552207790655,1385552221941160
1785296884.737183,exp_1785296580,10.42.0.18,3,1785296882.906142,1785296882.906142,0.0,64240,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.18_1785296882906141,1785296882906141766,1785296882906141766,1385551122840640,1385551122840640
1785296884.788046,exp_1785296580,10.42.0.210,3,1785296884.145123,1785296884.245749,0.100625,79529,55,0.001863,0.008527,decision_upload_to_download,atk_10.42.0.210_1785296884145123,1785296884145123622,1785296884245748444,1385552361822374,1385552462447348
1785296888.038351,exp_1785296580,10.42.0.1,4,1785296884.962192,1785296887.740577,2.778385,397659,41,0.06946,1.767511,decision_upload_to_download,atk_10.42.0.1_1785296884962191,1785296884962191763,1785296887740576599,1385553178890796,1385555957274714
1785296888.174877,exp_1785296580,10.42.0.18,3,1785296885.048199,1785296885.05305,0.004851,79528,3,0.002425,0.003507,decision_upload_to_download,,1785296885048198982,1785296885053049840,1385553264898398,1385553269749155
1785296888.189863,exp_1785296580,10.42.0.47,4,1785296885.848263,1785296885.863437,0.015174,79528,12,0.001379,0.001839,decision_upload_to_download,atk_10.42.0.47_1785296885848263,1785296885848262841,1785296885863436994,1385554064962253,1385554080135201
1785296888.210415,exp_1785296580,10.42.0.145,3,1785296884.959005,1785296884.960343,0.001339,79529,2,0.001339,0.001339,decision_upload_to_download,atk_10.42.0.145_1785296884959004,1785296884959004678,1785296884960343261,1385553175704099,1385553177043309
1785296888.256800,exp_1785296580,10.42.0.210,4,1785296887.631832,1785296887.669041,0.03721,62153,43,0.000886,0.001621,decision_upload_to_download,atk_10.42.0.210_1785296887631831,1785296887631831437,1785296887669041276,1385555848530201,1385555885739244
1785296888.283146,exp_1785296580,10.42.0.59,3,1785296884.965041,1785296884.966449,0.001409,67848,2,0.001409,0.001409,decision_upload_to_download,atk_10.42.0.59_1785296884965041,1785296884965040933,1785296884966449518,1385553181740898,1385553183149979
1785296891.337490,exp_1785296580,10.42.0.1,5,1785296888.400671,1785296891.021485,2.620814,383162,38,0.070833,1.372953,decision_upload_to_download,atk_10.42.0.1_1785296888400670,1785296888400670636,1785296891021485178,1385556617369811,1385559238183406
1785296891.464504,exp_1785296580,10.42.0.47,5,1785296890.94173,1785296890.953311,0.011581,79528,12,0.001053,0.001357,decision_upload_to_download,atk_10.42.0.47_1785296890941730,1785296890941730581,1785296890953311499,1385559158429320,1385559170009995
1785296891.484273,exp_1785296580,10.42.0.59,4,1785296888.398846,1785296888.398846,0.0,64240,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785296888398846,1785296888398846428,1785296888398846428,1385556615545919,1385556615545919
1785296891.498786,exp_1785296580,10.42.0.145,4,1785296888.417429,1785296888.418558,0.001129,64240,2,0.001129,0.001129,decision_upload_to_download,atk_10.42.0.145_1785296888417429,1785296888417428917,1785296888418557704,1385556634127463,1385556635256446
1785296891.513613,exp_1785296580,10.42.0.210,5,1785296889.832792,1785296889.86804,0.035248,60816,42,0.00086,0.001788,decision_upload_to_download,atk_10.42.0.210_1785296889832791,1785296889832791732,1785296889868040272,1385558049491571,1385558084738238
1785296891.577370,exp_1785296580,10.42.0.18,4,1785296888.476743,1785296888.481261,0.004518,79528,3,0.002259,0.003284,decision_upload_to_download,atk_10.42.0.18_1785296888476743,1785296888476743009,1785296888481260983,1385556693441925,1385556697959653
1785296893.728720,exp_1785296580,10.42.0.1,6,1785296891.726555,1785296893.376973,1.650418,383179,38,0.044606,1.460809,decision_upload_to_download,atk_10.42.0.1_1785296891726554,1785296891726554954,1785296893376972910,1385559943253824,1385561593670967
1785296893.862651,exp_1785296580,10.42.0.18,5,1785296891.820952,1785296891.822526,0.001574,79528,2,0.001574,0.001574,decision_upload_to_download,atk_10.42.0.18_1785296891820951,1785296891820951923,1785296891822525579,1385560037650700,1385560039224298
1785296893.877449,exp_1785296580,10.42.0.59,4,1785296891.718218,1785296891.718218,0.0,64240,1,0.0,0.0,decision_upload_to_download,,1785296891718217623,1785296891718217623,1385559934916258,1385559934916258
1785296893.906509,exp_1785296580,10.42.0.210,6,1785296893.246778,1785296893.290761,0.043983,53576,37,0.001222,0.002162,decision_upload_to_download,atk_10.42.0.210_1785296893246777,1785296893246777945,1785296893290760501,1385561463476297,1385561507458640
1785296893.970614,exp_1785296580,10.42.0.145,5,1785296891.72274,1785296891.725007,0.002267,70769,3,0.001133,0.00129,decision_upload_to_download,atk_10.42.0.145_1785296891722740,1785296891722740300,1785296891725007048,1385559939438902,1385559941705734
1785296894.030169,exp_1785296580,10.42.0.47,6,1785296893.313929,1785296893.327272,0.013344,79528,15,0.000953,0.001579,decision_upload_to_download,atk_10.42.0.47_1785296893313928,1785296893313928732,1785296893327272232,1385561530628417,1385561543970266
1785296897.071596,exp_1785296580,10.42.0.1,7,1785296894.113164,1785296896.758728,2.645564,339722,34,0.080169,1.307924,decision_upload_to_download,atk_10.42.0.1_1785296894113163,1785296894113163706,1785296896758728040,1385562329864062,1385564975426304
1785296897.170913,exp_1785296580,10.42.0.47,7,1785296896.685754,1785296896.704167,0.018413,79528,13,0.001534,0.002234,decision_upload_to_download,atk_10.42.0.47_1785296896685754,1785296896685754154,1785296896704167186,1385564902453199,1385564920866826
1785296897.186349,exp_1785296580,10.42.0.210,7,1785296895.351408,1785296895.385721,0.034313,52017,36,0.00098,0.003498,decision_upload_to_download,atk_10.42.0.210_1785296895351408,1785296895351408030,1785296895385721029,1385563568107387,1385563602418938
1785296897.201345,exp_1785296580,10.42.0.145,6,1785296894.105292,1785296894.105292,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785296894105292,1785296894105292218,1785296894105292218,1385562321991125,1385562321991125
1785296897.254377,exp_1785296580,10.42.0.18,6,1785296894.223236,1785296894.224334,0.001098,47408,2,0.001098,0.001098,decision_upload_to_download,atk_10.42.0.18_1785296894223235,1785296894223235545,1785296894224333736,1385562439934177,1385562441031982
1785296900.041528,exp_1785296580,10.42.0.1,8,1785296897.44348,1785296899.718112,2.274632,355539,41,0.056866,1.355445,decision_upload_to_download,atk_10.42.0.1_1785296897443480,1785296897443480130,1785296899718112591,1385565660178919,1385567934810661
1785296900.231993,exp_1785296580,10.42.0.210,8,1785296898.871619,1785296898.92656,0.054942,62153,43,0.001308,0.00237,decision_upload_to_download,atk_10.42.0.210_1785296898871618,1785296898871618640,1785296898926560617,1385567088317626,1385567143258854
1785296900.253819,exp_1785296580,10.42.0.145,6,1785296897.449171,1785296897.450608,0.001436,64240,2,0.001436,0.001436,decision_upload_to_download,,1785296897449171129,1785296897450607544,1385565665871261,1385565667306898
1785296900.323161,exp_1785296580,10.42.0.18,7,1785296897.555017,1785296897.556752,0.001735,79528,2,0.001735,0.001735,decision_upload_to_download,atk_10.42.0.18_1785296897555017,1785296897555016917,1785296897556752475,1385565771715983,1385565773451118
1785296900.364816,exp_1785296580,10.42.0.59,4,1785296897.438752,1785296897.442101,0.003348,79528,2,0.003348,0.003348,decision_upload_to_download,,1785296897438752587,1785296897442100401,1385565655452798,1385565658801499
1785296900.401627,exp_1785296580,10.42.0.47,8,1785296899.587363,1785296899.60389,0.016527,79528,12,0.001502,0.004823,decision_upload_to_download,atk_10.42.0.47_1785296899587363,1785296899587363051,1785296899603890214,1385567804061913,1385567820588188
1785296902.365229,exp_1785296580,10.42.0.1,9,1785296900.419443,1785296902.043098,1.623655,332593,38,0.043883,1.201955,decision_upload_to_download,atk_10.42.0.1_1785296900419443,1785296900419443527,1785296902043098228,1385568636141768,1385570259796533
1785296902.547177,exp_1785296580,10.42.0.18,8,1785296900.504777,1785296900.504777,0.0,29888,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.18_1785296900504777,1785296900504777003,1785296900504777003,1385568721476368,1385568721476368
1785296902.575717,exp_1785296580,10.42.0.210,9,1785296901.989344,1785296902.037353,0.048009,56472,39,0.001263,0.002272,decision_upload_to_download,atk_10.42.0.210_1785296901989343,1785296901989343626,1785296902037352373,1385570206042402,1385570254050389
1785296902.604713,exp_1785296580,10.42.0.145,7,1785296900.414328,1785296900.414328,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785296900414328,1785296900414328244,1785296900414328244,1385568631026830,1385568631026830
1785296902.622648,exp_1785296580,10.42.0.47,9,1785296901.700995,1785296901.719845,0.018849,79528,15,0.001346,0.001739,decision_upload_to_download,atk_10.42.0.47_1785296901700995,1785296901700995422,1785296901719844496,1385569917694718,1385569936543695
1785296904.579813,exp_1785296580,10.42.0.1,10,1785296902.735475,1785296904.268806,1.533331,390419,41,0.038333,1.283995,decision_upload_to_download,atk_10.42.0.1_1785296902735474,1785296902735474981,1785296904268805590,1385570952173234,1385572485503661
1785296904.718762,exp_1785296580,10.42.0.59,5,1785296902.732848,1785296902.732848,0.0,64240,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785296902732848,1785296902732847747,1785296902732847747,1385570949547059,1385570949547059
1785296904.741545,exp_1785296580,10.42.0.47,10,1785296904.246048,1785296904.260525,0.014476,79528,13,0.001206,0.003623,decision_upload_to_download,atk_10.42.0.47_1785296904246048,1785296904246048548,1785296904260524636,1385572462747476,1385572477222916
1785296904.773534,exp_1785296580,10.42.0.210,10,1785296904.102036,1785296904.135588,0.033552,60816,42,0.000818,0.001628,decision_upload_to_download,atk_10.42.0.210_1785296904102036,1785296904102036031,1785296904135587725,1385572318735416,1385572352285666
1785296904.785488,exp_1785296580,10.42.0.18,8,1785296902.834599,1785296902.834599,0.0,26968,1,0.0,0.0,decision_upload_to_download,,1785296902834599063,1785296902834599063,1385571051297760,1385571051297760
1785296904.822421,exp_1785296580,10.42.0.145,7,1785296902.729414,1785296902.736449,0.007034,66389,2,0.007034,0.007034,decision_upload_to_download,,1785296902729414470,1785296902736448758,1385570946112849,1385570953147154
1785296907.167248,exp_1785296580,10.42.0.1,11,1785296904.958525,1785296906.686064,1.727538,346979,36,0.049358,1.066796,decision_upload_to_download,atk_10.42.0.1_1785296904958525,1785296904958525488,1785296906686063840,1385573175223631,1385574902761822
1785296907.317998,exp_1785296580,10.42.0.47,11,1785296905.471428,1785296905.486824,0.015396,79528,14,0.001184,0.004714,decision_upload_to_download,atk_10.42.0.47_1785296905471428,1785296905471427803,1785296905486823862,1385573688126522,1385573703522007
1785296907.354211,exp_1785296580,10.42.0.18,8,1785296905.040142,1785296905.041294,0.001152,50328,2,0.001152,0.001152,decision_upload_to_download,,1785296905040142009,1785296905041293810,1385573256840772,1385573257992201
