timestamp,client_id,round,phase,src_ip,dst_ip,server_host,upload_success,phase_start,phase_end,phase_duration_s
2026-07-28T21:21:46.367,10.42.0.1,1,idle,10.42.0.195,10.42.0.1,10.42.0.195,,1785288106.3649697,1785288106.3674867,0.0025169849395751953
2026-07-28T21:21:59.437,10.42.0.47,1,idle,10.42.0.47,10.42.0.195,10.42.0.195,,1785288109.190469,1785288119.4376147,10.247145652770996
2026-07-28T21:21:59.439,10.42.0.18,1,idle,10.42.0.18,10.42.0.195,10.42.0.195,,1785288113.6399539,1785288119.439946,5.799992084503174
2026-07-28T21:21:59.444,10.42.0.145,1,idle,10.42.0.145,10.42.0.195,10.42.0.195,,1785288106.3174229,1785288119.4442592,13.12683629989624
2026-07-28T21:21:59.449,10.42.0.210,1,idle,10.42.0.210,10.42.0.195,10.42.0.195,,1785288106.973924,1785288119.4493225,12.475398540496826
2026-07-28T21:21:59.450,10.42.0.59,1,idle,10.42.0.59,10.42.0.195,10.42.0.195,,1785288119.3265116,1785288119.450681,0.12416934967041016
2026-07-28T21:21:59.783,10.42.0.145,1,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785288119.4442592,1785288119.7830029,0.3387436866760254
2026-07-28T21:21:59.783,10.42.0.1,1,download,10.42.0.1,10.42.0.195,10.42.0.195,,1785288106.3674867,1785288119.7830029,13.415516138076782
2026-07-28T21:21:59.783,10.42.0.210,1,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785288119.4493225,1785288119.7830029,0.3336803913116455
2026-07-28T21:21:59.783,10.42.0.47,1,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785288119.4376147,1785288119.7830029,0.34538817405700684
2026-07-28T21:21:59.783,10.42.0.18,1,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785288119.439946,1785288119.7830029,0.34305691719055176
2026-07-28T21:21:59.783,10.42.0.59,1,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785288119.450681,1785288119.7830029,0.3323218822479248
2026-07-28T21:22:00.997,10.42.0.47,1,fit,10.42.0.47,,10.42.0.47,,1785288119.7830029,1785288120.997207,1.2142040729522705
2026-07-28T21:22:01.011,10.42.0.1,1,fit,10.42.0.1,,10.42.0.1,,1785288119.7830029,1785288121.0115314,1.2285284996032715
2026-07-28T21:22:01.252,10.42.0.145,1,fit,10.42.0.145,,10.42.0.145,,1785288119.7830029,1785288121.2529776,1.4699747562408447
2026-07-28T21:22:01.891,10.42.0.59,1,fit,10.42.0.59,,10.42.0.59,,1785288119.7830029,1785288121.891243,2.1082401275634766
2026-07-28T21:22:06.883,10.42.0.210,1,fit,10.42.0.210,,10.42.0.210,,1785288119.7830029,1785288126.8837337,7.100730895996094
