timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785288127.991063,exp_1785287849,10.42.0.1,1,1785288121.011531,1785288127.561294,6.549763,383162,36,0.187136,4.996235,decision_upload_to_download,atk_10.42.0.1_1785288121011531,1785288121011531301,1785288127561294248,1376789228233025,1376795777992950
1785288128.105566,exp_1785287849,10.42.0.59,1,1785288121.891243,1785288121.908467,0.017224,79528,12,0.001566,0.002194,decision_upload_to_download,atk_10.42.0.59_1785288121891243,1785288121891242885,1785288121908466954,1376790107941977,1376790125166121
1785288128.130024,exp_1785287849,10.42.0.145,1,1785288121.252978,1785288121.261024,0.008047,79529,9,0.001006,0.00157,decision_upload_to_download,atk_10.42.0.145_1785288121252977,1785288121252977639,1785288121261024357,1376789469676816,1376789477722822
1785288128.150509,exp_1785287849,10.42.0.210,1,1785288126.883734,1785288126.925932,0.042198,69504,48,0.000898,0.001428,decision_upload_to_download,atk_10.42.0.210_1785288126883733,1785288126883733839,1785288126925931743,1376795100432712,1376795142629834
1785288128.161299,exp_1785287849,10.42.0.18,1,1785288127.463241,1785288127.515241,0.052,70768,49,0.001083,0.001936,decision_upload_to_download,atk_10.42.0.18_1785288127463240,1785288127463240702,1785288127515240770,1376795679940211,1376795731938705
1785288128.214230,exp_1785287849,10.42.0.47,1,1785288120.997207,1785288121.008935,0.011729,79528,11,0.001173,0.001808,decision_upload_to_download,atk_10.42.0.47_1785288120997207,1785288120997206994,1785288121008935324,1376789213906557,1376789225637419
1785288130.860269,exp_1785287849,10.42.0.1,2,1785288128.44081,1785288130.537616,2.096807,276156,27,0.080646,1.870565,decision_upload_to_download,atk_10.42.0.1_1785288128440810,1785288128440809880,1785288130537616320,1376796657508810,1376798754314499
1785288130.988990,exp_1785287849,10.42.0.210,2,1785288130.420545,1785288130.465816,0.04527,57920,40,0.001161,0.00194,decision_upload_to_download,atk_10.42.0.210_1785288130420545,1785288130420545304,1785288130465815705,1376798637243882,1376798682514684
1785288131.015152,exp_1785287849,10.42.0.59,2,1785288128.447446,1785288128.448293,0.000847,64240,2,0.000847,0.000847,decision_upload_to_download,atk_10.42.0.59_1785288128447446,1785288128447446041,1785288128448293072,1376796664144283,1376796664991316
1785288131.030480,exp_1785287849,10.42.0.145,2,1785288128.431191,1785288128.439155,0.007964,79529,6,0.001593,0.002576,decision_upload_to_download,atk_10.42.0.145_1785288128431190,1785288128431190726,1785288128439154962,1376796647888997,1376796655853663
1785288131.041078,exp_1785287849,10.42.0.47,2,1785288128.419805,1785288128.444136,0.024331,79528,12,0.002212,0.013087,decision_upload_to_download,atk_10.42.0.47_1785288128419805,1785288128419805154,1785288128444136508,1376796636504001,1376796660835237
1785288131.111385,exp_1785287849,10.42.0.18,2,1785288128.535328,1785288128.590041,0.054713,79528,55,0.001013,0.001862,decision_upload_to_download,atk_10.42.0.18_1785288128535327,1785288128535327854,1785288128590040813,1376796752027311,1376796806738850
1785288133.234613,exp_1785287849,10.42.0.1,3,1785288131.261825,1785288132.783037,1.521211,321121,31,0.050707,1.378489,decision_upload_to_download,atk_10.42.0.1_1785288131261825,1785288131261825272,1785288132783036666,1376799478524054,1376800999734906
1785288133.364744,exp_1785287849,10.42.0.47,3,1785288131.263924,1785288131.29646,0.032536,69392,13,0.002711,0.01348,decision_upload_to_download,atk_10.42.0.47_1785288131263924,1785288131263924129,1785288131296460254,1376799480622827,1376799513158638
1785288133.379872,exp_1785287849,10.42.0.210,3,1785288132.715233,1785288132.74743,0.032197,52128,36,0.00092,0.002044,decision_upload_to_download,atk_10.42.0.210_1785288132715232,1785288132715232722,1785288132747430188,1376800931931552,1376800964129804
1785288133.395454,exp_1785287849,10.42.0.18,3,1785288131.352037,1785288131.357706,0.005668,78068,6,0.001134,0.001206,decision_upload_to_download,atk_10.42.0.18_1785288131352037,1785288131352037475,1785288131357705849,1376799568736454,1376799574404221
1785288133.425496,exp_1785287849,10.42.0.145,3,1785288131.251917,1785288131.260411,0.008493,79529,4,0.002831,0.006222,decision_upload_to_download,atk_10.42.0.145_1785288131251917,1785288131251917299,1785288131260410858,1376799468616029,1376799477109376
1785288133.464540,exp_1785287849,10.42.0.59,3,1785288131.256379,1785288131.257546,0.001167,64240,2,0.001167,0.001167,decision_upload_to_download,atk_10.42.0.59_1785288131256379,1785288131256378800,1785288131257545774,1376799473078293,1376799474244243
1785288135.457495,exp_1785287849,10.42.0.1,4,1785288133.617468,1785288135.136968,1.5195,332482,33,0.047484,1.274673,decision_upload_to_download,atk_10.42.0.1_1785288133617467,1785288133617467679,1785288135136968256,1376801834165967,1376803353666460
1785288135.594736,exp_1785287849,10.42.0.59,4,1785288133.62308,1785288133.62308,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785288133623080,1785288133623079847,1785288133623079847,1376801839778375,1376801839778375
1785288135.637613,exp_1785287849,10.42.0.210,4,1785288134.990634,1785288135.031555,0.040922,69504,48,0.000871,0.001669,decision_upload_to_download,atk_10.42.0.210_1785288134990633,1785288134990633631,1785288135031555203,1376803207332809,1376803248253426
1785288135.691952,exp_1785287849,10.42.0.18,4,1785288133.741544,1785288133.748824,0.00728,75148,7,0.001213,0.001374,decision_upload_to_download,atk_10.42.0.18_1785288133741544,1785288133741544261,1785288133748824203,1376801958242750,1376801965522966
1785288135.752080,exp_1785287849,10.42.0.145,4,1785288133.630832,1785288133.630832,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785288133630832,1785288133630832012,1785288133630832012,1376801847530596,1376801847530596
1785288135.758317,exp_1785287849,10.42.0.47,4,1785288133.59779,1785288133.615557,0.017767,72288,14,0.001367,0.005166,decision_upload_to_download,atk_10.42.0.47_1785288133597789,1785288133597789611,1785288133615556784,1376801814488279,1376801832255513
1785288137.734922,exp_1785287849,10.42.0.1,5,1785288135.835364,1785288137.4021,1.566736,281914,30,0.054025,1.348032,decision_upload_to_download,atk_10.42.0.1_1785288135835363,1785288135835363818,1785288137402099913,1376804052062880,1376805618798849
1785288137.871358,exp_1785287849,10.42.0.210,5,1785288137.261477,1785288137.296858,0.035381,59368,41,0.000885,0.001381,decision_upload_to_download,atk_10.42.0.210_1785288137261477,1785288137261477423,1785288137296858111,1376805478176449,1376805513556381
1785288137.887479,exp_1785287849,10.42.0.145,4,1785288135.860672,1785288135.860672,0.0,62780,1,0.0,0.0,decision_upload_to_download,,1785288135860672446,1785288135860672446,1376804077372317,1376804077372317
1785288137.898105,exp_1785287849,10.42.0.18,5,1785288135.922769,1785288135.931353,0.008585,72228,7,0.001431,0.001746,decision_upload_to_download,atk_10.42.0.18_1785288135922768,1785288135922768591,1785288135931353340,1376804139467168,1376804148051827
1785288137.923626,exp_1785287849,10.42.0.59,4,1785288135.842449,1785288135.842449,0.0,62780,1,0.0,0.0,decision_upload_to_download,,1785288135842449518,1785288135842449518,1376804059148259,1376804059148259
1785288137.971754,exp_1785287849,10.42.0.47,5,1785288135.810118,1785288135.831697,0.021579,72288,13,0.001798,0.002469,decision_upload_to_download,atk_10.42.0.47_1785288135810118,1785288135810118174,1785288135831696752,1376804026817308,1376804048395520
1785288141.191916,exp_1785287849,10.42.0.1,6,1785288138.119767,1785288140.874655,2.754888,318114,34,0.083481,2.607788,decision_upload_to_download,atk_10.42.0.1_1785288138119766,1785288138119766817,1785288140874654351,1376806336465512,1376809091352810
1785288141.311386,exp_1785287849,10.42.0.47,6,1785288138.098804,1785288138.128103,0.029299,63712,12,0.002664,0.008782,decision_upload_to_download,atk_10.42.0.47_1785288138098804,1785288138098804283,1785288138128103195,1376806315503220,1376806344802766
1785288141.358370,exp_1785287849,10.42.0.18,6,1785288138.181924,1785288138.193072,0.011148,70768,7,0.001858,0.004432,decision_upload_to_download,atk_10.42.0.18_1785288138181924,1785288138181924144,1785288138193072408,1376806398622501,1376806409771245
1785288141.375082,exp_1785287849,10.42.0.59,4,1785288138.108345,1785288138.109694,0.00135,64240,2,0.00135,0.00135,decision_upload_to_download,,1785288138108344827,1785288138109694351,1376806325043804,1376806326393452
1785288141.387187,exp_1785287849,10.42.0.210,6,1785288140.777279,1785288140.822123,0.044844,59368,41,0.001121,0.002371,decision_upload_to_download,atk_10.42.0.210_1785288140777279,1785288140777279183,1785288140822123199,1376808993978635,1376809038821243
1785288141.411967,exp_1785287849,10.42.0.145,4,1785288138.129802,1785288138.131093,0.001291,64240,2,0.001291,0.001291,decision_upload_to_download,,1785288138129802014,1785288138131092407,1376806346500662,1376806347791819
1785288143.757972,exp_1785287849,10.42.0.1,7,1785288141.570567,1785288143.444609,1.874042,332610,34,0.056789,1.66444,decision_upload_to_download,atk_10.42.0.1_1785288141570567,1785288141570566841,1785288143444608842,1376809787265598,1376811661307817
1785288143.842787,exp_1785287849,10.42.0.47,7,1785288141.605733,1785288141.626915,0.021183,72288,11,0.002118,0.005562,decision_upload_to_download,atk_10.42.0.47_1785288141605732,1785288141605732687,1785288141626915404,1376809822432624,1376809843613748
1785288143.906759,exp_1785287849,10.42.0.59,5,1785288141.58159,1785288141.58159,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785288141581590,1785288141581590392,1785288141581590392,1376809798289102,1376809798289102
1785288143.923266,exp_1785287849,10.42.0.18,7,1785288141.6594,1785288141.664152,0.004753,62780,4,0.001584,0.001823,decision_upload_to_download,atk_10.42.0.18_1785288141659399,1785288141659399715,1785288141664152354,1376809876098648,1376809880851000
1785288143.939270,exp_1785287849,10.42.0.210,7,1785288143.291228,1785288143.341978,0.05075,60816,42,0.001238,0.001996,decision_upload_to_download,atk_10.42.0.210_1785288143291227,1785288143291227915,1785288143341977702,1376811507926615,1376811558675721
1785288143.970406,exp_1785287849,10.42.0.145,5,1785288141.561192,1785288141.561192,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785288141561191,1785288141561191678,1785288141561191678,1376809777891973,1376809777891973
1785288146.105652,exp_1785287849,10.42.0.1,8,1785288144.120492,1785288145.788107,1.667615,325242,33,0.052113,1.51974,decision_upload_to_download,atk_10.42.0.1_1785288144120492,1785288144120492512,1785288145788107328,1376812337191327,1376814004805631
1785288146.221675,exp_1785287849,10.42.0.59,5,1785288144.13379,1785288144.137251,0.003461,58400,3,0.001731,0.002753,decision_upload_to_download,,1785288144133789854,1785288144137251036,1376812350488243,1376812353949871
1785288146.233169,exp_1785287849,10.42.0.47,8,1785288144.105248,1785288144.118915,0.013667,79528,15,0.000976,0.001516,decision_upload_to_download,atk_10.42.0.47_1785288144105248,1785288144105248200,1785288144118914805,1376812321947359,1376812335613420
1785288146.249640,exp_1785287849,10.42.0.18,8,1785288144.22028,1785288144.230654,0.010374,79528,9,0.001297,0.002311,decision_upload_to_download,atk_10.42.0.18_1785288144220280,1785288144220280378,1785288144230654402,1376812436979156,1376812447352619
1785288146.296637,exp_1785287849,10.42.0.210,8,1785288145.725101,1785288145.758347,0.033246,57809,40,0.000852,0.001822,decision_upload_to_download,atk_10.42.0.210_1785288145725101,1785288145725100963,1785288145758347236,1376813941799749,1376813975045219
1785288146.324724,exp_1785287849,10.42.0.145,5,1785288144.122523,1785288144.123537,0.001014,64240,2,0.001014,0.001014,decision_upload_to_download,,1785288144122523222,1785288144123537032,1376812339222082,1376812340235828
1785288148.684914,exp_1785287849,10.42.0.1,9,1785288146.50321,1785288148.348009,1.844798,325242,35,0.054259,1.676692,decision_upload_to_download,atk_10.42.0.1_1785288146503210,1785288146503210352,1785288148348008655,1376814719910248,1376816564706977
1785288148.837071,exp_1785287849,10.42.0.210,9,1785288148.241114,1785288148.273133,0.032019,55024,38,0.000865,0.001914,decision_upload_to_download,atk_10.42.0.210_1785288148241114,1785288148241114482,1785288148273133227,1376816457813170,1376816489831100
1785288148.853001,exp_1785287849,10.42.0.59,6,1785288146.489759,1785288146.49107,0.001311,64240,2,0.001311,0.001311,decision_upload_to_download,atk_10.42.0.59_1785288146489759,1785288146489759588,1785288146491069915,1376814706459051,1376814707768588
1785288148.868368,exp_1785287849,10.42.0.145,6,1785288146.495912,1785288146.497382,0.001471,64240,2,0.001471,0.001471,decision_upload_to_download,atk_10.42.0.145_1785288146495911,1785288146495911777,1785288146497382295,1376814712612370,1376814714081275
1785288148.893786,exp_1785287849,10.42.0.18,9,1785288146.581335,1785288146.588097,0.006761,74460,8,0.000966,0.00145,decision_upload_to_download,atk_10.42.0.18_1785288146581335,1785288146581335258,1785288146588096513,1376814798033307,1376814804794824
1785288149.024710,exp_1785287849,10.42.0.47,9,1785288146.543177,1785288146.561747,0.018569,79528,15,0.001326,0.003939,decision_upload_to_download,atk_10.42.0.47_1785288146543177,1785288146543177419,1785288146561746831,1376814759876177,1376814778444917
1785288151.239480,exp_1785287849,10.42.0.1,10,1785288149.057201,1785288150.908803,1.851602,390402,43,0.044086,1.630079,decision_upload_to_download,atk_10.42.0.1_1785288149057200,1785288149057200646,1785288150908802437,1376817273899246,1376819125500725
1785288151.389951,exp_1785287849,10.42.0.145,7,1785288149.061336,1785288149.061336,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785288149061336,1785288149061336102,1785288149061336102,1376817278034430,1376817278034430
1785288151.406969,exp_1785287849,10.42.0.59,7,1785288149.05369,1785288149.055141,0.001451,69308,2,0.001451,0.001451,decision_upload_to_download,atk_10.42.0.59_1785288149053690,1785288149053690360,1785288149055140996,1376817270388697,1376817271840002
1785288151.424157,exp_1785287849,10.42.0.47,10,1785288149.045113,1785288149.088435,0.043322,50568,8,0.006189,0.014916,decision_upload_to_download,atk_10.42.0.47_1785288149045113,1785288149045113160,1785288149088434983,1376817261811374,1376817305133547
1785288151.446704,exp_1785287849,10.42.0.210,10,1785288150.720491,1785288150.804558,0.084066,79529,55,0.001557,0.008066,decision_upload_to_download,atk_10.42.0.210_1785288150720491,1785288150720491397,1785288150804557575,1376818937192311,1376819021255869
1785288151.502186,exp_1785287849,10.42.0.18,10,1785288149.152692,1785288149.156692,0.004,53248,5,0.001,0.001299,decision_upload_to_download,atk_10.42.0.18_1785288149152692,1785288149152691922,1785288149156692075,1376817369390995,1376817373390493
1785288153.779197,exp_1785287849,10.42.0.1,11,1785288151.606774,1785288153.365361,1.758587,368682,37,0.04885,1.64261,decision_upload_to_download,atk_10.42.0.1_1785288151606773,1785288151606773449,1785288153365360561,1376819823472211,1376821582059051
1785288153.939380,exp_1785287849,10.42.0.145,7,1785288151.627638,1785288151.627638,0.0,62780,1,0.0,0.0,decision_upload_to_download,,1785288151627638278,1785288151627638278,1376819844336702,1376819844336702
1785288153.951231,exp_1785287849,10.42.0.210,11,1785288153.315724,1785288153.356483,0.040759,53576,37,0.001132,0.002183,decision_upload_to_download,atk_10.42.0.210_1785288153315724,1785288153315724397,1785288153356483079,1376821532423329,1376821573181267
1785288153.980286,exp_1785287849,10.42.0.18,11,1785288151.698768,1785288151.705628,0.00686,77380,8,0.00098,0.00167,decision_upload_to_download,atk_10.42.0.18_1785288151698767,1785288151698767643,1785288151705627624,1376819915466696,1376819922325652
1785288153.997330,exp_1785287849,10.42.0.59,8,1785288151.621101,1785288151.621836,0.000735,69308,2,0.000735,0.000735,decision_upload_to_download,atk_10.42.0.59_1785288151621101,1785288151621101006,1785288151621836136,1376819837799172,1376819838534358
1785288154.039533,exp_1785287849,10.42.0.47,11,1785288151.59232,1785288151.602984,0.010664,72288,8,0.001523,0.002356,decision_upload_to_download,atk_10.42.0.47_1785288151592320,1785288151592320498,1785288151602983913,1376819809019094,1376819819683790
1785288156.051069,exp_1785287849,10.42.0.1,12,1785288154.126084,1785288155.617975,1.491892,338385,35,0.043879,1.257597,decision_upload_to_download,atk_10.42.0.1_1785288154126083,1785288154126083919,1785288155617975484,1376822342782208,1376823834673722
1785288156.179964,exp_1785287849,10.42.0.210,12,1785288155.488459,1785288155.522843,0.034384,57920,40,0.000882,0.00139,decision_upload_to_download,atk_10.42.0.210_1785288155488459,1785288155488459047,1785288155522843362,1376823705157805,1376823739541351
1785288156.197060,exp_1785287849,10.42.0.145,7,1785288154.152096,1785288154.152096,0.0,62780,1,0.0,0.0,decision_upload_to_download,,1785288154152095469,1785288154152095469,1376822368793733,1376822368793733
1785288156.213614,exp_1785287849,10.42.0.59,9,1785288154.1642,1785288154.1642,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785288154164199,1785288154164199943,1785288154164199943,1376822380899594,1376822380899594
1785288156.271862,exp_1785287849,10.42.0.18,12,1785288154.250433,1785288154.254043,0.003611,62780,4,0.001204,0.001513,decision_upload_to_download,atk_10.42.0.18_1785288154250432,1785288154250432777,1785288154254043386,1376822467131295,1376822470741954
1785288156.356182,exp_1785287849,10.42.0.47,12,1785288154.110685,1785288154.124372,0.013687,72288,12,0.001244,0.001661,decision_upload_to_download,atk_10.42.0.47_1785288154110684,1785288154110684720,1785288154124371570,1376822327383019,1376822341070416
1785288158.500324,exp_1785287849,10.42.0.1,13,1785288156.414135,1785288158.179712,1.765577,226907,22,0.084075,1.540068,decision_upload_to_download,atk_10.42.0.1_1785288156414134,1785288156414134897,1785288158179711995,1376824630835161,1376826396410179
1785288158.632230,exp_1785287849,10.42.0.59,9,1785288156.447163,1785288156.447163,0.0,62780,1,0.0,0.0,decision_upload_to_download,,1785288156447163194,1785288156447163194,1376824663862126,1376824663862126
1785288158.650007,exp_1785287849,10.42.0.18,13,1785288156.536633,1785288156.539856,0.003223,56940,3,0.001612,0.001743,decision_upload_to_download,atk_10.42.0.18_1785288156536632,1785288156536632850,1785288156539856077,1376824753331887,1376824756555266
1785288158.680795,exp_1785287849,10.42.0.47,13,1785288156.39067,1785288156.40876,0.01809,66608,10,0.00201,0.003893,decision_upload_to_download,atk_10.42.0.47_1785288156390670,1785288156390670150,1785288156408760140,1376824607369268,1376824625459409
1785288158.701282,exp_1785287849,10.42.0.210,13,1785288158.061776,1785288158.095559,0.033783,63712,44,0.000786,0.001428,decision_upload_to_download,atk_10.42.0.210_1785288158061776,1785288158061776233,1785288158095559517,1376826278474692,1376826312257451
1785288160.958728,exp_1785287849,10.42.0.1,14,1785288158.840537,1785288160.638718,1.798181,375922,38,0.048599,1.596329,decision_upload_to_download,atk_10.42.0.1_1785288158840536,1785288158840536832,1785288160638718107,1376827057235313,1376828855416684
1785288161.085841,exp_1785287849,10.42.0.47,14,1785288158.82792,1785288158.838843,0.010923,72288,12,0.000993,0.001478,decision_upload_to_download,atk_10.42.0.47_1785288158827920,1785288158827919809,1785288158838843220,1376827044618229,1376827055541714
1785288161.101633,exp_1785287849,10.42.0.210,14,1785288160.578835,1785288160.621887,0.043052,54913,38,0.001164,0.001858,decision_upload_to_download,atk_10.42.0.210_1785288160578834,1785288160578834378,1785288160621886831,1376828795533568,1376828838585086
1785288161.132627,exp_1785287849,10.42.0.59,9,1785288158.875967,1785288158.877018,0.001051,67848,2,0.001051,0.001051,decision_upload_to_download,,1785288158875967144,1785288158877018229,1376827092665981,1376827093717271
1785288161.158362,exp_1785287849,10.42.0.18,14,1785288159.013974,1785288159.017232,0.003258,78068,5,0.000815,0.001068,decision_upload_to_download,atk_10.42.0.18_1785288159013973,1785288159013973676,1785288159017231964,1376827230672736,1376827233930022
1785288161.201491,exp_1785287849,10.42.0.145,7,1785288158.888236,1785288158.890407,0.002171,70769,3,0.001086,0.001415,decision_upload_to_download,,1785288158888235821,1785288158890407149,1376827104933904,1376827107106120
1785288163.143561,exp_1785287849,10.42.0.1,15,1785288161.294583,1785288162.788358,1.493775,361442,33,0.04668,1.321544,decision_upload_to_download,atk_10.42.0.1_1785288161294583,1785288161294583351,1785288162788358197,1376829511282195,1376831005056696
1785288163.245356,exp_1785287849,10.42.0.47,15,1785288161.281945,1785288161.291372,0.009427,72288,9,0.001178,0.001682,decision_upload_to_download,atk_10.42.0.47_1785288161281945,1785288161281945059,1785288161291371823,1376829498643319,1376829508071179
1785288163.295886,exp_1785287849,10.42.0.145,8,1785288161.343461,1785288161.343461,0.0,62780,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785288161343461,1785288161343461476,1785288161343461476,1376829560160193,1376829560160193
1785288163.307709,exp_1785287849,10.42.0.210,15,1785288162.725334,1785288162.76917,0.043836,52128,36,0.001252,0.002254,decision_upload_to_download,atk_10.42.0.210_1785288162725334,1785288162725333940,1785288162769170146,1376830942033560,1376830985868399
1785288163.330541,exp_1785287849,10.42.0.59,10,1785288161.336316,1785288161.337458,0.001142,66388,2,0.001142,0.001142,decision_upload_to_download,atk_10.42.0.59_1785288161336315,1785288161336315895,1785288161337458298,1376829553014313,1376829554156679
1785288163.347414,exp_1785287849,10.42.0.18,15,1785288161.428478,1785288161.438982,0.010504,78068,8,0.001501,0.002417,decision_upload_to_download,atk_10.42.0.18_1785288161428478,1785288161428477975,1785288161438981515,1376829645176809,1376829655680331
