timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785294423.555683,exp_1785293894,10.42.0.1,1,1785294420.661561,1785294423.267103,2.605542,354202,41,0.065139,2.195652,decision_upload_to_download,atk_10.42.0.1_1785294420661561,1785294420661561293,1785294423267103539,1383088878260155,1383091483801958
1785294423.664402,exp_1785293894,10.42.0.47,1,1785294420.927393,1785294420.942559,0.015165,63712,9,0.001896,0.00329,decision_upload_to_download,atk_10.42.0.47_1785294420927393,1785294420927393223,1785294420942558452,1383089144091825,1383089159256955
1785294423.678661,exp_1785293894,10.42.0.18,1,1785294420.68968,1785294420.729798,0.040118,79528,12,0.003647,0.012934,decision_upload_to_download,atk_10.42.0.18_1785294420689680,1785294420689680482,1785294420729798178,1383088906379475,1383088946496758
1785294423.692269,exp_1785293894,10.42.0.145,1,1785294420.653314,1785294420.660081,0.006767,79529,5,0.001692,0.001875,decision_upload_to_download,atk_10.42.0.145_1785294420653314,1785294420653313849,1785294420660080955,1383088870013428,1383088876780062
1785294423.706767,exp_1785293894,10.42.0.210,1,1785294423.116931,1785294423.149417,0.032486,59368,41,0.000812,0.001195,decision_upload_to_download,atk_10.42.0.210_1785294423116931,1785294423116931101,1785294423149416936,1383091333630258,1383091366115135
1785294423.716355,exp_1785293894,10.42.0.59,1,1785294420.903564,1785294420.911281,0.007716,79528,8,0.001102,0.00175,decision_upload_to_download,atk_10.42.0.59_1785294420903564,1785294420903564669,1785294420911280614,1383089120263596,1383089127979043
1785294426.882720,exp_1785293894,10.42.0.1,2,1785294423.966058,1785294426.54057,2.574512,368699,41,0.064363,1.741909,decision_upload_to_download,atk_10.42.0.1_1785294423966058,1785294423966058171,1785294426540570374,1383092182757445,1383094757268598
1785294427.037246,exp_1785293894,10.42.0.210,2,1785294425.761719,1785294425.793885,0.032166,57920,40,0.000825,0.001276,decision_upload_to_download,atk_10.42.0.210_1785294425761718,1785294425761718783,1785294425793884687,1383093978417578,1383094010582620
1785294427.043084,exp_1785293894,10.42.0.145,2,1785294423.950893,1785294423.963516,0.012623,79529,2,0.012623,0.012623,decision_upload_to_download,atk_10.42.0.145_1785294423950893,1785294423950893108,1785294423963515724,1383092167591933,1383092180214698
1785294427.116516,exp_1785293894,10.42.0.18,2,1785294424.037265,1785294424.043344,0.006079,79528,7,0.001013,0.001207,decision_upload_to_download,atk_10.42.0.18_1785294424037265,1785294424037265220,1785294424043344184,1383092253963885,1383092260042663
