timestamp,client_id,round,phase,src_ip,dst_ip,server_host,upload_success,phase_start,phase_end,phase_duration_s
2026-07-28T23:31:51.863,10.42.0.1,1,idle,10.42.0.195,10.42.0.1,10.42.0.195,,1785295911.859652,1785295911.8638859,0.004233837127685547
2026-07-28T23:33:14.318,10.42.0.47,1,idle,10.42.0.47,10.42.0.195,10.42.0.195,,1785295987.5298605,1785295994.3181393,6.788278818130493
2026-07-28T23:33:14.321,10.42.0.18,1,idle,10.42.0.18,10.42.0.195,10.42.0.195,,1785295994.2224026,1785295994.3213837,0.09898114204406738
2026-07-28T23:33:14.327,10.42.0.210,1,idle,10.42.0.210,10.42.0.195,10.42.0.195,,1785295930.9851513,1785295994.3271039,63.34195256233215
2026-07-28T23:33:14.333,10.42.0.145,1,idle,10.42.0.145,10.42.0.195,10.42.0.195,,1785295942.2628708,1785295994.3338034,52.07093262672424
2026-07-28T23:33:14.342,10.42.0.59,1,idle,10.42.0.59,10.42.0.195,10.42.0.195,,1785295911.8203006,1785295994.3420901,82.52178955078125
2026-07-28T23:33:14.680,10.42.0.59,1,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785295994.3420901,1785295994.680126,0.33803582191467285
2026-07-28T23:33:14.680,10.42.0.1,1,download,10.42.0.1,10.42.0.195,10.42.0.195,,1785295911.8638859,1785295994.680126,82.81624007225037
2026-07-28T23:33:14.680,10.42.0.210,1,download,10.42.0.195,10.42.0.210,10.42.0.195,,1785295994.3271039,1785295994.680126,0.35302209854125977
2026-07-28T23:33:14.680,10.42.0.145,1,download,10.42.0.195,10.42.0.145,10.42.0.195,,1785295994.3338034,1785295994.680126,0.34632253646850586
2026-07-28T23:33:14.680,10.42.0.47,1,download,10.42.0.195,10.42.0.47,10.42.0.195,,1785295994.3181393,1785295994.680126,0.3619866371154785
2026-07-28T23:33:14.680,10.42.0.18,1,download,10.42.0.195,10.42.0.18,10.42.0.195,,1785295994.3213837,1785295994.680126,0.35874223709106445
2026-07-28T23:33:15.727,10.42.0.145,1,fit,10.42.0.145,,10.42.0.145,,1785295994.680126,1785295995.727721,1.0475950241088867
2026-07-28T23:33:15.736,10.42.0.1,1,fit,10.42.0.1,,10.42.0.1,,1785295994.680126,1785295995.7360363,1.055910348892212
2026-07-28T23:33:16.023,10.42.0.18,1,fit,10.42.0.18,,10.42.0.18,,1785295994.680126,1785295996.0236237,1.3434977531433105
2026-07-28T23:33:16.130,10.42.0.59,1,fit,10.42.0.59,,10.42.0.59,,1785295994.680126,1785295996.1300936,1.449967622756958
2026-07-28T23:33:18.348,10.42.0.210,1,fit,10.42.0.210,,10.42.0.210,,1785295994.680126,1785295998.3480945,3.667968511581421
2026-07-28T23:33:20.489,10.42.0.47,1,fit,10.42.0.47,,10.42.0.47,,1785295994.680126,1785296000.489651,5.809525012969971
2026-07-28T23:33:20.838,10.42.0.1,1,upload,10.42.0.1,10.42.0.195,10.42.0.195,1.0,1785295995.7360363,1785296000.8382485,5.102212190628052
2026-07-28T23:33:20.860,10.42.0.18,1,upload,10.42.0.18,10.42.0.195,10.42.0.195,1.0,1785295996.0236237,1785296000.8601875,4.8365638256073
2026-07-28T23:33:20.864,10.42.0.47,1,upload,10.42.0.47,10.42.0.195,10.42.0.195,1.0,1785296000.489651,1785296000.8640704,0.3744194507598877
2026-07-28T23:33:20.867,10.42.0.59,1,upload,10.42.0.59,10.42.0.195,10.42.0.195,1.0,1785295996.1300936,1785296000.8675354,4.737441778182983
2026-07-28T23:33:20.870,10.42.0.145,1,upload,10.42.0.145,10.42.0.195,10.42.0.195,1.0,1785295995.727721,1785296000.8709888,5.143267869949341
2026-07-28T23:33:20.873,10.42.0.210,1,upload,10.42.0.210,10.42.0.195,10.42.0.195,1.0,1785295998.3480945,1785296000.8737466,2.5256521701812744
2026-07-28T23:33:21.233,10.42.0.59,2,download,10.42.0.195,10.42.0.59,10.42.0.195,,1785296000.8675354,1785296001.2332873,0.3657519817352295
2026-07-28T23:33:21.235,10.42.0.59,2,fit,10.42.0.59,10.42.0.195,10.42.0.195,,1785296001.2332873,1785296001.2351494,0.0018620491027832031
2026-07-28T23:33:21.236,10.42.0.1,2,download,10.42.0.195,10.42.0.1,10.42.0.195,,1785296000.8382485,1785296001.2368405,0.3985919952392578
2026-07-28T23:33:21.238,10.42.0.1,2,fit,10.42.0.1,10.42.0.195,10.42.0.195,,1785296001.2368405,1785296001.2380118,0.0011713504791259766
