timestamp,experiment_id,client_id,round,wire_upload_start_ts,wire_upload_end_ts,wire_upload_duration_s,wire_upload_bytes,wire_upload_packets,mean_iat_s,max_iat_s,close_reason,attack_id,first_wall_time_ns,last_wall_time_ns,first_mono_time_ns,last_mono_time_ns
1785296000.844761,exp_1785295791,10.42.0.1,1,1785295995.736036,1785296000.510363,4.774327,397642,40,0.122419,2.239574,decision_upload_to_download,atk_10.42.0.1_1785295995736036,1785295995736036307,1785296000510362950,1384663952735148,1384668727061215
1785296000.994422,exp_1785295791,10.42.0.18,1,1785295996.023624,1785295996.029969,0.006345,79528,5,0.001586,0.001886,decision_upload_to_download,atk_10.42.0.18_1785295996023623,1785295996023623569,1785295996029968578,1384664240322204,1384664246668004
1785296001.013919,exp_1785295791,10.42.0.47,1,1785296000.489651,1785296000.499549,0.009898,79528,9,0.001237,0.002261,decision_upload_to_download,atk_10.42.0.47_1785296000489651,1785296000489650872,1785296000499549341,1384668706349602,1384668716247428
1785296001.028136,exp_1785295791,10.42.0.59,1,1785295996.130094,1785295996.136196,0.006102,79528,5,0.001526,0.001776,decision_upload_to_download,atk_10.42.0.59_1785295996130093,1785295996130093677,1785295996136195827,1384664346792305,1384664352894296
1785296001.042368,exp_1785295791,10.42.0.145,1,1785295995.727721,1785295995.7343,0.006579,79529,5,0.001645,0.002056,decision_upload_to_download,atk_10.42.0.145_1785295995727721,1785295995727721055,1785295995734299798,1384663944419730,1384663950998993
1785296001.056528,exp_1785295791,10.42.0.210,1,1785295998.348094,1785295998.392675,0.044581,57809,40,0.001143,0.00177,decision_upload_to_download,atk_10.42.0.210_1785295998348094,1785295998348094455,1785295998392675156,1384666564793534,1384666609373319
1785296004.922411,exp_1785295791,10.42.0.1,2,1785296001.238012,1785296004.643131,3.40512,390402,39,0.089608,1.616751,decision_upload_to_download,atk_10.42.0.1_1785296001238011,1785296001238011848,1785296004643131457,1384669454710267,1384672859829921
1785296005.066068,exp_1785295791,10.42.0.145,2,1785296001.254289,1785296001.254289,0.0,18209,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.145_1785296001254288,1785296001254288650,1785296001254288650,1384669470987584,1384669470987584
1785296005.080569,exp_1785295791,10.42.0.47,2,1785296004.500061,1785296004.520001,0.01994,79528,12,0.001813,0.005749,decision_upload_to_download,atk_10.42.0.47_1785296004500061,1785296004500061034,1785296004520000898,1384672716759729,1384672736699295
1785296005.095253,exp_1785295791,10.42.0.59,2,1785296001.235149,1785296001.235149,0.0,18208,1,0.0,0.0,decision_upload_to_download,atk_10.42.0.59_1785296001235149,1785296001235149393,1785296001235149393,1384669451848047,1384669451848047
1785296005.109667,exp_1785295791,10.42.0.210,2,1785296002.762602,1785296002.798568,0.035966,50680,35,0.001058,0.001965,decision_upload_to_download,atk_10.42.0.210_1785296002762601,1785296002762601680,1785296002798568057,1384670979300744,1384671015266143
1785296005.124403,exp_1785295791,10.42.0.18,2,1785296001.337503,1785296001.338769,0.001266,38648,2,0.001266,0.001266,decision_upload_to_download,atk_10.42.0.18_1785296001337503,1785296001337503233,1785296001338768641,1384669554202207,1384669555467239
