component_run_id,experiment_id,run_id,file_timestamp,condition,defense,attack,raw_attack,model,dataset,repetition
analyzer:time_20260722_131031,exp_1784740233,,20260722_131031,exp1,,,,,,
analyzer:time_20260722_133746,exp_1784741867,,20260722_133746,exp2,,,,,,
analyzer:time_20260722_112608,exp_1784733970,,20260722_112608,exp1,,,,,,
analyzer:time_20260722_115114,exp_1784735477,,20260722_115114,exp2,,,,,,
analyzer:time_20260722_140325,exp_1784743407,,20260722_140325,exp1,,,,,,
analyzer:time_20260722_142959,exp_1784745001,,20260722_142959,exp2,,,,,,
analyzer:time_20260722_165842,exp_1784753925,,20260722_165842,exp1,,,,,,
analyzer:time_20260722_163446,exp_1784752488,,20260722_163446,exp2,,,,,,
analyzer:time_20260722_121748,exp_1784737070,,20260722_121748,exp1,,,,,,
analyzer:time_20260722_124304,exp_1784738586,,20260722_124304,exp2,,,,,,
analyzer:time_20260722_145825,exp_1784746707,,20260722_145825,exp1,,,,,,
analyzer:time_20260722_153624,exp_1784748986,,20260722_153624,exp2,,,,,,
proxy:time_20260722_235118,exp_1784778329,run_1784778329,20260722_235118,exp1,multi_krum,envelope,min_max,,,
analyzer:time_20260722_234939,exp_1784778583,,20260722_234939,exp1,,,,,,
analyzer:time_20260723_001239,exp_1784779966,,20260723_001239,exp1,,,,,,
proxy:time_20260723_001805,exp_1784779924,run_1784779924,20260723_001805,exp1,multi_krum,envelope,min_sum,,,
analyzer:time_20260722_225409,exp_1784775253,,20260722_225409,exp1,,,,,,
proxy:time_20260722_222759,exp_1784773345,run_1784773345,20260722_222759,exp1,multi_krum,envelope,sign_flip,,,
analyzer:time_20260722_222709,exp_1784773634,,20260722_222709,exp1,,,,,,
proxy:time_20260722_225513,exp_1784775243,run_1784775243,20260722_225513,exp1,multi_krum,envelope,scale,,,
analyzer:time_20260722_232656,exp_1784777222,,20260722_232656,exp1,,,,,,
proxy:time_20260722_232736,exp_1784776783,run_1784776783,20260722_232736,exp1,multi_krum,envelope,noise,,,
analyzer:time_20260722_192204,exp_1784762527,,20260722_192204,exp1,,,,,,
proxy:time_20260722_192305,exp_1784761783,run_1784761783,20260722_192305,exp1,fedavg,envelope,min_max,,,
proxy:time_20260723_193539,exp_1784848997,exp_1784848997,20260723_193539,exp2,fedavg,envelope,min_max,,,
analyzer:time_20260723_192505,exp_1784849112,,20260723_192505,exp2,,,,,,
proxy:time_20260722_194557,exp_1784763867,run_1784673867,20260722_194557,exp1,fedavg,envelope,min_sum,,,
analyzer:time_20260722_194508,exp_1784763912,,20260722_194508,exp1,,,,,,
analyzer:time_20260722_172807,exp_1784755692,,20260722_172807,exp1,,,,,,
proxy:time_20260722_173058,exp_1784755514,run_1784755514,20260722_173058,exp1,fedavg,envelope,sign_flip,,,
proxy:time_20260722_183051,exp_1784757164,run_1784757164,20260722_183051,exp1,fedavg,envelope,scale,,,
analyzer:time_20260722_182912,exp_1784759393,,20260722_182912,exp1,,,,,,
analyzer:time_20260722_185103,exp_1784760667,,20260722_185103,exp1,,,,,,
proxy:time_20260722_185223,exp_1784760485,run_1784760485,20260722_185223,exp1,fedavg,envelope,noise,,,
proxy:time_20260723_125555,exp_1784825684,run_1784825684,20260723_125555,exp1,median,envelope,min_max,,,
analyzer:time_20260723_125427,exp_1784825669,,20260723_125427,exp1,,,,,,
analyzer:time_20260723_131843,exp_1784827131,,20260723_131843,exp1,,,,,,
proxy:time_20260723_132037,exp_1784827139,run_1784827139,20260723_132037,exp1,multi_krum,envelope,min_sum,,,
proxy:time_20260723_112250,exp_1784820070,run_1784820070,20260723_112250,exp1,median,envelope,sign_flip,,,
analyzer:time_20260723_112151,exp_1784820115,,20260723_112151,exp1,,,,,,
analyzer:time_20260723_115910,exp_1784822357,,20260723_115910,exp1,,,,,,
proxy:time_20260723_120004,exp_1784822288,run_1784822288,20260723_120004,exp1,median,envelope,scale,,,
analyzer:time_20260723_122830,exp_1784824115,,20260723_122830,exp1,,,,,,
proxy:time_20260723_122916,exp_1784823610,run_1784823610,20260723_122916,exp1,median,envelope,noise,,,
proxy:time_20260723_184017,exp_1784846339,run_1784846339,20260723_184017,exp1,flame,envelope,min_max,,,
analyzer:time_20260723_183845,exp_1784846327,,20260723_183845,exp1,,,,,,
analyzer:time_20260723_190322,exp_1784847804,,20260723_190322,exp1,,,,,,
proxy:time_20260723_190439,exo_1784847818,run_1784847818,20260723_190439,exp1,flame,envelope,min_sum,,,
analyzer:time_20260723_163247,exp_1784838774,,20260723_163247,exp1,,,,,,
proxy:time_20260723_163435,exp_1784838788,run_1784838788,20260723_163435,exp1,flame,envelope,sign_flip,,,
analyzer:time_20260723_172602,exp_1784841965,,20260723_172602,exp1,,,,,,
analyzer:time_20260723_165919,exp_1784840369,,20260723_165919,exp1,,,,,,
proxy:time_20260723_170015,exp_1784840302,exp_1784840302,20260723_170015,exp1,flame,envelope,scale,,,
proxy:time_20260723_172653,exp_1784841533,run_1784841533,20260723_172653,exp1,flame,envelope,noise,,,
analyzer:time_20260723_175550,exp_1784843754,,20260723_175550,exp2,,,,,,
proxy:time_20260723_180016,exp_1784843776,run_1784843776,20260723_180016,exp2,flame,envelope,noise,,,
proxy:time_20260722_213850,exp_1784770344,run_1784770344,20260722_213850,exp1,krum,envelope,min_max,,,
analyzer:time_20260722_213500,exp_1784770510,,20260722_213500,exp1,,,,,,
proxy:time_20260722_220256,exp_1784771996,run_1784771996,20260722_220256,exp1,krum,envelope,min_sum,,,
analyzer:time_20260722_220153,exp_1784772119,,20260722_220153,exp1,,,,,,
analyzer:time_20260722_201327,exp_1784765609,,20260722_201327,exp1,,,,,,
proxy:time_20260722_201605,exp_1784765251,run_1784765251,20260722_201605,exp1,krum,envelope,sign_flip,,,
proxy:time_20260722_204520,exp_1784767439,run_1784767439,20260722_204520,exp1,krum,envelope,scale,,,
analyzer:time_20260722_204430,exp_1784767474,,20260722_204430,exp1,,,,,,
proxy:time_20260722_211125,exp_1784768881,run_1784768881,20260722_211125,exp1,krum,envelope,noise,,,
analyzer:time_20260722_211018,exp_1784769027,,20260722_211018,exp1,,,,,,
analyzer:time_20260723_153938,exp_1784835583,,20260723_153938,exp1,,,,,,
proxy:time_20260723_154036,exp_1784835537,run_1784835537,20260723_154036,exp1,trimmed_mean,envelope,min_max,,,
analyzer:time_20260723_160552,exp_1784837155,,20260723_160552,exp1,,,,,,
proxy:time_20260723_160648,exp_1784837111,exp_1784837111,20260723_160648,exp1,trimmed_mean,envelope,min_sum,,,
analyzer:time_20260723_134930,exp_1784828975,,20260723_134930,exp1,,,,,,
proxy:time_20260723_135215,exp_1784829071,run_1784829071,20260723_135215,exp1,trimmed_mean,envelope,sign_flip,,,
analyzer:time_20260723_142132,exp_1784830896,,20260723_142132,exp1,,,,,,
proxy:time_20260723_142235,exp_1784830398,exp_1784830398,20260723_142235,exp1,trimmed_mean,envelope,scale,,,
analyzer:time_20260723_144946,exp_1784832590,,20260723_144946,exp1,,,,,,
proxy:time_20260723_145025,exp_1784832176,run_1784832176,20260723_145025,exp1,trimmed_mean,envelope,noise,,,
server:time_20260722_131002,exp_1784740202,run_1784740202,20260722_131002,multi_krum_run_01,multi_krum,,,,,
server:time_20260725_133158,exp_1785000718,run_1785000718,20260725_133158,fedavg_run_01,fedavg,,,,,
server:time_20260722_133309,exp_1784741589,run_1784741589,20260722_133309,multi_krum_run_01,multi_krum,,,,,
server:time_20260722_112338,exp_1784733818,run_1784733818,20260722_112338,fedavg_run_01,fedavg,,,,,
server:time_20260722_114948,exp_1784735388,run_1784735388,20260722_114948,fedavg_run_01,fedavg,,,,,
server:time_20260722_135858,exp_1784743138,run_1784743138,20260722_135858,median_run_01,median,,,,,
