condition,defense,attack,raw_attack,rq,metric,unit,n_runs,mean,std,minimum,maximum,sem,ci95_half_width,ci95_low,ci95_high
exp1,flame,envelope,min_max,RQ1,phase_accuracy,ratio,1,0.016260162601626018,,0.016260162601626018,0.016260162601626018,,,,
exp1,flame,envelope,min_sum,RQ1,phase_accuracy,ratio,1,0.025695029486099412,,0.025695029486099412,0.025695029486099412,,,,
exp1,multi_krum,envelope,krum_optimal,RQ1,phase_accuracy,ratio,1,0.1111111111111111,,0.1111111111111111,0.1111111111111111,,,,
exp1,multi_krum,envelope,noise,RQ1,phase_accuracy,ratio,1,1.0,,1.0,1.0,,,,
exp1,trimmed_mean,envelope,scale,RQ1,phase_accuracy,ratio,1,0.02843601895734597,,0.02843601895734597,0.02843601895734597,,,,
exp1,flame,envelope,min_max,RQ1,phase_macro_f1,ratio,1,0.010666666666666666,,0.010666666666666666,0.010666666666666666,,,,
exp1,flame,envelope,min_sum,RQ1,phase_macro_f1,ratio,1,0.02505133470225873,,0.02505133470225873,0.02505133470225873,,,,
exp1,multi_krum,envelope,krum_optimal,RQ1,phase_macro_f1,ratio,1,0.051470588235294115,,0.051470588235294115,0.051470588235294115,,,,
exp1,multi_krum,envelope,noise,RQ1,phase_macro_f1,ratio,1,1.0,,1.0,1.0,,,,
exp1,trimmed_mean,envelope,scale,RQ1,phase_macro_f1,ratio,1,0.018433179723502304,,0.018433179723502304,0.018433179723502304,,,,
exp1,flame,envelope,min_max,RQ1,phase_macro_precision,ratio,1,0.005420054200542006,,0.005420054200542006,0.005420054200542006,,,,
exp1,flame,envelope,min_sum,RQ1,phase_macro_precision,ratio,1,0.012847514743049706,,0.012847514743049706,0.012847514743049706,,,,
exp1,multi_krum,envelope,krum_optimal,RQ1,phase_macro_precision,ratio,1,0.028688524590163935,,0.028688524590163935,0.028688524590163935,,,,
exp1,multi_krum,envelope,noise,RQ1,phase_macro_precision,ratio,1,1.0,,1.0,1.0,,,,
exp1,trimmed_mean,envelope,scale,RQ1,phase_macro_precision,ratio,1,0.00947867298578199,,0.00947867298578199,0.00947867298578199,,,,
exp1,flame,envelope,min_max,RQ1,phase_macro_recall,ratio,1,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,
exp1,flame,envelope,min_sum,RQ1,phase_macro_recall,ratio,1,0.5,,0.5,0.5,,,,
exp1,multi_krum,envelope,krum_optimal,RQ1,phase_macro_recall,ratio,1,0.25,,0.25,0.25,,,,
exp1,multi_krum,envelope,noise,RQ1,phase_macro_recall,ratio,1,1.0,,1.0,1.0,,,,
exp1,trimmed_mean,envelope,scale,RQ1,phase_macro_recall,ratio,1,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,
exp1,flame,envelope,min_max,RQ1,phase_prediction_alignment_coverage,ratio,1,0.0021262619278108147,,0.0021262619278108147,0.0021262619278108147,,,,
exp1,flame,envelope,min_sum,RQ1,phase_prediction_alignment_coverage,ratio,1,0.022180282532326782,,0.022180282532326782,0.022180282532326782,,,,
exp1,multi_krum,envelope,krum_optimal,RQ1,phase_prediction_alignment_coverage,ratio,1,0.0029941542702343043,,0.0029941542702343043,0.0029941542702343043,,,,
exp1,multi_krum,envelope,noise,RQ1,phase_prediction_alignment_coverage,ratio,1,8.338127756793489e-06,,8.338127756793489e-06,8.338127756793489e-06,,,,
exp1,trimmed_mean,envelope,scale,RQ1,phase_prediction_alignment_coverage,ratio,1,0.0018592437900376254,,0.0018592437900376254,0.0018592437900376254,,,,
exp1,flame,envelope,min_max,RQ1,round_identification_accuracy,ratio,1,1.0,,1.0,1.0,,,,
exp1,flame,envelope,min_sum,RQ1,round_identification_accuracy,ratio,1,1.0,,1.0,1.0,,,,
exp1,multi_krum,envelope,krum_optimal,RQ1,round_identification_accuracy,ratio,1,1.0,,1.0,1.0,,,,
exp1,multi_krum,envelope,noise,RQ1,round_identification_accuracy,ratio,1,1.0,,1.0,1.0,,,,
exp1,trimmed_mean,envelope,scale,RQ1,round_identification_accuracy,ratio,1,1.0,,1.0,1.0,,,,
exp1,,,,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp1,fedavg,envelope,min_max,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,fedavg,envelope,min_sum,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,fedavg,envelope,noise,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,fedavg,envelope,scale,RQ2,non_target_spillover_rate,ratio,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,fedavg,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,flame,envelope,min_max,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,flame,envelope,min_sum,RQ2,non_target_spillover_rate,ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,flame,envelope,noise,RQ2,non_target_spillover_rate,ratio,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,flame,envelope,scale,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,flame,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,flame,noise,sign_flip,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp1,krum,envelope,krum_optimal,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp1,krum,envelope,min_max,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,krum,envelope,min_sum,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,krum,envelope,noise,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,krum,envelope,scale,RQ2,non_target_spillover_rate,ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,krum,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,median,envelope,min_max,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,median,envelope,min_sum,RQ2,non_target_spillover_rate,ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,median,envelope,noise,RQ2,non_target_spillover_rate,ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,median,envelope,scale,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,median,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,multi_krum,envelope,krum_optimal,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp1,multi_krum,envelope,min_max,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,multi_krum,envelope,min_sum,RQ2,non_target_spillover_rate,ratio,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,multi_krum,envelope,noise,RQ2,non_target_spillover_rate,ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,multi_krum,envelope,scale,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,multi_krum,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,trimmed_mean,envelope,min_max,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,trimmed_mean,envelope,min_sum,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,trimmed_mean,envelope,noise,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,trimmed_mean,envelope,scale,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1,trimmed_mean,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2,fedavg,envelope,min_max,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp2,fedavg,envelope,scale,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp2,flame,envelope,noise,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp2,krum,envelope,sign_flip,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
flame_blind,flame,envelope,scale,RQ2,non_target_spillover_rate,ratio,1,0.0,,0.0,0.0,,,,
exp1,,,,RQ2,phase_client_match_rate,ratio,1,0.998,,0.998,0.998,,,,
exp1,fedavg,envelope,min_max,RQ2,phase_client_match_rate,ratio,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.9980266666666667,1.00064
exp1,fedavg,envelope,min_sum,RQ2,phase_client_match_rate,ratio,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
exp1,fedavg,envelope,noise,RQ2,phase_client_match_rate,ratio,3,0.7785000000000001,0.3819185122509774,0.3375,1.0,0.2205007558566032,0.43218148147894225,0.3463185185210578,1.2106814814789424
exp1,fedavg,envelope,scale,RQ2,phase_client_match_rate,ratio,4,0.8456250000000001,0.30875,0.3825,1.0,0.154375,0.30257500000000004,0.54305,1.1482
exp1,fedavg,envelope,sign_flip,RQ2,phase_client_match_rate,ratio,3,0.8426666666666667,0.2707791227796806,0.53,1.0,0.15633439942777932,0.3064154228784475,0.5362512437882192,1.1490820895451141
exp1,flame,envelope,min_max,RQ2,phase_client_match_rate,ratio,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.9980266666666667,1.00064
exp1,flame,envelope,min_sum,RQ2,phase_client_match_rate,ratio,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
exp1,flame,envelope,noise,RQ2,phase_client_match_rate,ratio,5,0.9996,0.0008944271909999166,0.998,1.0,0.0004000000000000003,0.0007840000000000005,0.998816,1.000384
exp1,flame,envelope,scale,RQ2,phase_client_match_rate,ratio,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.9980266666666667,1.00064
exp1,flame,envelope,sign_flip,RQ2,phase_client_match_rate,ratio,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.9980266666666667,1.00064
exp1,flame,noise,sign_flip,RQ2,phase_client_match_rate,ratio,1,0.97,,0.97,0.97,,,,
exp1,krum,envelope,krum_optimal,RQ2,phase_client_match_rate,ratio,1,0.996,,0.996,0.996,,,,
exp1,krum,envelope,min_max,RQ2,phase_client_match_rate,ratio,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.9980266666666667,1.00064
exp1,krum,envelope,min_sum,RQ2,phase_client_match_rate,ratio,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.9980266666666667,1.00064
exp1,krum,envelope,noise,RQ2,phase_client_match_rate,ratio,3,0.8783333333333333,0.2107328482542134,0.635,1.0,0.12166666666666667,0.2384666666666667,0.6398666666666666,1.1168
exp1,krum,envelope,scale,RQ2,phase_client_match_rate,ratio,2,0.72125,0.3942120305115002,0.4425,1.0,0.27874999999999994,0.5463499999999999,0.17490000000000006,1.2675999999999998
exp1,krum,envelope,sign_flip,RQ2,phase_client_match_rate,ratio,3,0.9986666666666667,0.0011547005383792527,0.998,1.0,0.0006666666666666674,0.001306666666666668,0.99736,0.9999733333333334
exp1,median,envelope,min_max,RQ2,phase_client_match_rate,ratio,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
