bundle_id,condition,defense,attack,raw_attack,components,match_method,match_score,component_run_ids,experiment_ids,run_ids,files
bundle_0001,exp1,,,,analyzer,conservative_split,0.0,analyzer:time_20260717_113643,exp_1784302606,,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/analyzer_decision_log_20260717_113643.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/analyzer_events_20260717_113643.jsonl;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/analyzer_phase_log_20260717_113643.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/analyzer_round_log_20260717_113643.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/analyzer_wire_upload_log_20260717_113643.csv
bundle_0002,flame_blind,flame,,,server,conservative_split,0.0,server:time_20260717_103810,exp_1784302690,run_1784302690,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/flame_blind_20260717_103810_inference_clients.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/flame_blind_20260717_103810_inference_rounds.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/flame_blind_20260717_103810_inference_summary.json;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/server_client_defense_log_20260717_103810.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/server_run_manifest_20260717_103810.json;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/server_metrics_log_20260717_103810.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp1/server_round_defense_log_20260717_103810.csv
bundle_0003,exp1,,,,client,conservative_split,0.0,client:time_20260717_114000,exp_20260717_114154,,/home/lawrence/Lawrence/FL_poison/data/client_results_unattributed_legacy/client 4/RNN/baseline/flame/exp1/client_metrics_log_20260717_114000.csv
bundle_0004,exp1,,,,client,conservative_split,0.0,client:time_20260717_113917,exp_20260717_114136,,/home/lawrence/Lawrence/FL_poison/client_results/client-1/RNN/New_RNN/poisoning/baseline/flame/exp1/client_metrics_log_20260717_113917.csv
bundle_0005,exp1,,,,client,conservative_split,0.0,client:time_20260717_113914,exp_20260717_114055,,/home/lawrence/Lawrence/FL_poison/client_results/client-4/RNN/baseline/flame/exp1/client_metrics_log_20260717_113914.csv
bundle_0006,exp2,,,,analyzer,conservative_split,0.0,analyzer:time_20260717_115012,exp_1784303415,,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/analyzer_decision_log_20260717_115012.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/analyzer_events_20260717_115012.jsonl;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/analyzer_phase_log_20260717_115012.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/analyzer_round_log_20260717_115012.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/analyzer_wire_upload_log_20260717_115012.csv
bundle_0007,flame_blind,flame,,,server,conservative_split,0.0,server:time_20260717_104809,exp_1784303289,run_1784303289,/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/flame_blind_20260717_104809_inference_clients.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/flame_blind_20260717_104809_inference_rounds.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/flame_blind_20260717_104809_inference_summary.json;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/server_client_defense_log_20260717_104809.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/server_run_manifest_20260717_104809.json;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/server_metrics_log_20260717_104809.csv;/home/lawrence/Lawrence/FL_poison/Result/RNN/proxy/baseline/flame/exp2/server_round_defense_log_20260717_104809.csv
bundle_0008,exp2,,,,client,conservative_split,0.0,client:time_20260717_115256,exp_20260717_115335,,/home/lawrence/Lawrence/FL_poison/data/client_results_unattributed_legacy/client 4/RNN/baseline/flame/exp2/client_metrics_log_20260717_115256.csv
bundle_0009,exp2,,,,client,conservative_split,0.0,client:time_20260717_115138,exp_20260717_115316,,/home/lawrence/Lawrence/FL_poison/client_results/client-1/RNN/New_RNN/poisoning/baseline/flame/exp2/client_metrics_log_20260717_115138.csv
bundle_0010,exp2,,,,client,conservative_split,0.0,client:time_20260717_115044,exp_20260717_115357,,/home/lawrence/Lawrence/FL_poison/client_results/client-4/RNN/baseline/flame/exp2/client_metrics_log_20260717_115044.csv
