bundle_id,condition,defense,attack,raw_attack,rq,metric,value,unit,source_files,notes
bundle_0320,exp1,multi_krum,envelope,krum_optimal,RQ1,phase_accuracy,0.1111111111111111,ratio,analyzer_decision_log_20260721_203302.csv;client_metrics_log_20260721_203608.csv,
bundle_0575,exp1,multi_krum,envelope,noise,RQ1,phase_accuracy,1.0,ratio,analyzer_decision_log_20260725_171908.csv;client_metrics_log_20260725_171818.csv,
bundle_0616,exp1,trimmed_mean,envelope,scale,RQ1,phase_accuracy,0.02843601895734597,ratio,analyzer_decision_log_20260725_222605.csv;client_metrics_log_20260725_222426.csv,
bundle_0647,exp1,flame,envelope,min_max,RQ1,phase_accuracy,0.016260162601626018,ratio,analyzer_decision_log_20260726_020336.csv;client_metrics_log_20260726_020112.csv,
bundle_0648,exp1,flame,envelope,min_sum,RQ1,phase_accuracy,0.025695029486099412,ratio,analyzer_decision_log_20260726_023257.csv;client_metrics_log_20260726_023104.csv,
bundle_0320,exp1,multi_krum,envelope,krum_optimal,RQ1,phase_macro_f1,0.051470588235294115,ratio,analyzer_decision_log_20260721_203302.csv;client_metrics_log_20260721_203608.csv,
bundle_0575,exp1,multi_krum,envelope,noise,RQ1,phase_macro_f1,1.0,ratio,analyzer_decision_log_20260725_171908.csv;client_metrics_log_20260725_171818.csv,
bundle_0616,exp1,trimmed_mean,envelope,scale,RQ1,phase_macro_f1,0.018433179723502304,ratio,analyzer_decision_log_20260725_222605.csv;client_metrics_log_20260725_222426.csv,
bundle_0647,exp1,flame,envelope,min_max,RQ1,phase_macro_f1,0.010666666666666666,ratio,analyzer_decision_log_20260726_020336.csv;client_metrics_log_20260726_020112.csv,
bundle_0648,exp1,flame,envelope,min_sum,RQ1,phase_macro_f1,0.02505133470225873,ratio,analyzer_decision_log_20260726_023257.csv;client_metrics_log_20260726_023104.csv,
bundle_0320,exp1,multi_krum,envelope,krum_optimal,RQ1,phase_macro_precision,0.028688524590163935,ratio,analyzer_decision_log_20260721_203302.csv;client_metrics_log_20260721_203608.csv,
bundle_0575,exp1,multi_krum,envelope,noise,RQ1,phase_macro_precision,1.0,ratio,analyzer_decision_log_20260725_171908.csv;client_metrics_log_20260725_171818.csv,
bundle_0616,exp1,trimmed_mean,envelope,scale,RQ1,phase_macro_precision,0.00947867298578199,ratio,analyzer_decision_log_20260725_222605.csv;client_metrics_log_20260725_222426.csv,
bundle_0647,exp1,flame,envelope,min_max,RQ1,phase_macro_precision,0.005420054200542006,ratio,analyzer_decision_log_20260726_020336.csv;client_metrics_log_20260726_020112.csv,
bundle_0648,exp1,flame,envelope,min_sum,RQ1,phase_macro_precision,0.012847514743049706,ratio,analyzer_decision_log_20260726_023257.csv;client_metrics_log_20260726_023104.csv,
bundle_0320,exp1,multi_krum,envelope,krum_optimal,RQ1,phase_macro_recall,0.25,ratio,analyzer_decision_log_20260721_203302.csv;client_metrics_log_20260721_203608.csv,
bundle_0575,exp1,multi_krum,envelope,noise,RQ1,phase_macro_recall,1.0,ratio,analyzer_decision_log_20260725_171908.csv;client_metrics_log_20260725_171818.csv,
bundle_0616,exp1,trimmed_mean,envelope,scale,RQ1,phase_macro_recall,0.3333333333333333,ratio,analyzer_decision_log_20260725_222605.csv;client_metrics_log_20260725_222426.csv,
bundle_0647,exp1,flame,envelope,min_max,RQ1,phase_macro_recall,0.3333333333333333,ratio,analyzer_decision_log_20260726_020336.csv;client_metrics_log_20260726_020112.csv,
bundle_0648,exp1,flame,envelope,min_sum,RQ1,phase_macro_recall,0.5,ratio,analyzer_decision_log_20260726_023257.csv;client_metrics_log_20260726_023104.csv,
bundle_0320,exp1,multi_krum,envelope,krum_optimal,RQ1,phase_prediction_alignment_coverage,0.0029941542702343043,ratio,analyzer_decision_log_20260721_203302.csv;client_metrics_log_20260721_203608.csv,
bundle_0575,exp1,multi_krum,envelope,noise,RQ1,phase_prediction_alignment_coverage,8.338127756793489e-06,ratio,analyzer_decision_log_20260725_171908.csv;client_metrics_log_20260725_171818.csv,
bundle_0616,exp1,trimmed_mean,envelope,scale,RQ1,phase_prediction_alignment_coverage,0.0018592437900376254,ratio,analyzer_decision_log_20260725_222605.csv;client_metrics_log_20260725_222426.csv,
bundle_0647,exp1,flame,envelope,min_max,RQ1,phase_prediction_alignment_coverage,0.0021262619278108147,ratio,analyzer_decision_log_20260726_020336.csv;client_metrics_log_20260726_020112.csv,
