Model,Condition,Phase,N_experiments,Precision,Recall,F1
RNN,Baseline,DOWNLOAD,30,0.580 ± 0.088,0.548 ± 0.224,0.531 ± 0.152
RNN,Baseline,TRAINING,30,0.343 ± 0.057,0.346 ± 0.049,0.340 ± 0.037
RNN,Baseline,UPLOAD,30,0.422 ± 0.495,0.019 ± 0.035,0.036 ± 0.063
RNN,Attack,DOWNLOAD,32,0.443 ± 0.188,0.288 ± 0.199,0.329 ± 0.199
RNN,Attack,TRAINING,32,0.302 ± 0.144,0.228 ± 0.128,0.254 ± 0.135
RNN,Attack,UPLOAD,32,0.031 ± 0.177,0.001 ± 0.003,0.001 ± 0.006
CNN,Baseline,DOWNLOAD,12,0.307 ± 0.012,0.744 ± 0.095,0.434 ± 0.026
CNN,Baseline,TRAINING,12,0.197 ± 0.089,0.019 ± 0.033,0.031 ± 0.048
CNN,Baseline,UPLOAD,12,0.250 ± 0.452,0.018 ± 0.036,0.034 ± 0.066
CNN,Attack,DOWNLOAD,32,0.431 ± 0.044,0.831 ± 0.140,0.565 ± 0.061
CNN,Attack,TRAINING,32,0.245 ± 0.053,0.160 ± 0.076,0.189 ± 0.067
CNN,Attack,UPLOAD,32,0.219 ± 0.420,0.024 ± 0.057,0.042 ± 0.097
Autoencoder,Baseline,DOWNLOAD,11,0.295 ± 0.013,0.756 ± 0.127,0.420 ± 0.021
Autoencoder,Baseline,TRAINING,11,0.306 ± 0.102,0.035 ± 0.055,0.053 ± 0.076
Autoencoder,Baseline,UPLOAD,11,0.091 ± 0.302,0.001 ± 0.003,0.002 ± 0.006
Autoencoder,Attack,DOWNLOAD,31,0.348 ± 0.064,0.650 ± 0.107,0.443 ± 0.031
Autoencoder,Attack,TRAINING,31,0.310 ± 0.092,0.081 ± 0.041,0.126 ± 0.059
Autoencoder,Attack,UPLOAD,31,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
