Model,Condition,True phase,Predicted phase,Count
RNN,Baseline,DOWNLOAD,DOWNLOAD,4959
RNN,Baseline,DOWNLOAD,TRAINING,435
RNN,Baseline,DOWNLOAD,UPLOAD,0
RNN,Baseline,DOWNLOAD,NONE,3705
RNN,Baseline,TRAINING,DOWNLOAD,3304
RNN,Baseline,TRAINING,TRAINING,3144
RNN,Baseline,TRAINING,UPLOAD,12
RNN,Baseline,TRAINING,NONE,2640
RNN,Baseline,UPLOAD,DOWNLOAD,476
RNN,Baseline,UPLOAD,TRAINING,5807
RNN,Baseline,UPLOAD,UPLOAD,174
RNN,Baseline,UPLOAD,NONE,2643
RNN,Baseline,NONE,DOWNLOAD,0
RNN,Baseline,NONE,TRAINING,0
RNN,Baseline,NONE,UPLOAD,0
RNN,Baseline,NONE,NONE,0
RNN,Attack,DOWNLOAD,DOWNLOAD,3469
RNN,Attack,DOWNLOAD,TRAINING,20
RNN,Attack,DOWNLOAD,UPLOAD,0
RNN,Attack,DOWNLOAD,NONE,8110
RNN,Attack,TRAINING,DOWNLOAD,2902
RNN,Attack,TRAINING,TRAINING,2543
RNN,Attack,TRAINING,UPLOAD,0
RNN,Attack,TRAINING,NONE,6155
RNN,Attack,UPLOAD,DOWNLOAD,436
RNN,Attack,UPLOAD,TRAINING,5004
RNN,Attack,UPLOAD,UPLOAD,5
RNN,Attack,UPLOAD,NONE,6155
RNN,Attack,NONE,DOWNLOAD,0
RNN,Attack,NONE,TRAINING,0
RNN,Attack,NONE,UPLOAD,0
RNN,Attack,NONE,NONE,0
CNN,Baseline,DOWNLOAD,DOWNLOAD,4466
CNN,Baseline,DOWNLOAD,TRAINING,71
CNN,Baseline,DOWNLOAD,UPLOAD,0
CNN,Baseline,DOWNLOAD,NONE,1463
CNN,Baseline,TRAINING,DOWNLOAD,5669
CNN,Baseline,TRAINING,TRAINING,114
CNN,Baseline,TRAINING,UPLOAD,0
CNN,Baseline,TRAINING,NONE,217
CNN,Baseline,UPLOAD,DOWNLOAD,4397
CNN,Baseline,UPLOAD,TRAINING,253
CNN,Baseline,UPLOAD,UPLOAD,110
CNN,Baseline,UPLOAD,NONE,1240
CNN,Baseline,NONE,DOWNLOAD,0
CNN,Baseline,NONE,TRAINING,0
CNN,Baseline,NONE,UPLOAD,0
CNN,Baseline,NONE,NONE,0
CNN,Attack,DOWNLOAD,DOWNLOAD,11638
CNN,Attack,DOWNLOAD,TRAINING,178
CNN,Attack,DOWNLOAD,UPLOAD,0
CNN,Attack,DOWNLOAD,NONE,2384
CNN,Attack,TRAINING,DOWNLOAD,10320
CNN,Attack,TRAINING,TRAINING,2252
CNN,Attack,TRAINING,UPLOAD,0
CNN,Attack,TRAINING,NONE,1628
CNN,Attack,UPLOAD,DOWNLOAD,5216
CNN,Attack,UPLOAD,TRAINING,6428
CNN,Attack,UPLOAD,UPLOAD,336
CNN,Attack,UPLOAD,NONE,2220
CNN,Attack,NONE,DOWNLOAD,0
CNN,Attack,NONE,TRAINING,0
CNN,Attack,NONE,UPLOAD,0
CNN,Attack,NONE,NONE,0
Autoencoder,Baseline,DOWNLOAD,DOWNLOAD,4156
Autoencoder,Baseline,DOWNLOAD,TRAINING,168
Autoencoder,Baseline,DOWNLOAD,UPLOAD,0
Autoencoder,Baseline,DOWNLOAD,NONE,1176
Autoencoder,Baseline,TRAINING,DOWNLOAD,5010
Autoencoder,Baseline,TRAINING,TRAINING,190
Autoencoder,Baseline,TRAINING,UPLOAD,0
Autoencoder,Baseline,TRAINING,NONE,300
Autoencoder,Baseline,UPLOAD,DOWNLOAD,5005
Autoencoder,Baseline,UPLOAD,TRAINING,190
Autoencoder,Baseline,UPLOAD,UPLOAD,5
Autoencoder,Baseline,UPLOAD,NONE,300
Autoencoder,Baseline,NONE,DOWNLOAD,0
Autoencoder,Baseline,NONE,TRAINING,0
Autoencoder,Baseline,NONE,UPLOAD,0
Autoencoder,Baseline,NONE,NONE,0
Autoencoder,Attack,DOWNLOAD,DOWNLOAD,9823
Autoencoder,Attack,DOWNLOAD,TRAINING,57
Autoencoder,Attack,DOWNLOAD,UPLOAD,0
Autoencoder,Attack,DOWNLOAD,NONE,5118
Autoencoder,Attack,TRAINING,DOWNLOAD,10169
Autoencoder,Attack,TRAINING,TRAINING,1229
Autoencoder,Attack,TRAINING,UPLOAD,0
Autoencoder,Attack,TRAINING,NONE,3600
Autoencoder,Attack,UPLOAD,DOWNLOAD,9026
Autoencoder,Attack,UPLOAD,TRAINING,2372
Autoencoder,Attack,UPLOAD,UPLOAD,0
Autoencoder,Attack,UPLOAD,NONE,3600
Autoencoder,Attack,NONE,DOWNLOAD,0
Autoencoder,Attack,NONE,TRAINING,0
Autoencoder,Attack,NONE,UPLOAD,0
Autoencoder,Attack,NONE,NONE,0
