experiment_id,defense,attack,target_rounds_observed,phase_gate_open,gate_open_rate,delivered,delivery_rate_of_gated,delivery_rate_of_all
exp_1784674892,fedavg,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784398211,fedavg,noise,100,97,97.00%,77,79.38%,77.00%
exp_1784394210,fedavg,scale,100,96,96.00%,76,79.17%,76.00%
exp_1784659861,flame,min_max,100,100,100.00%,80,80.00%,80.00%
exp_178466034,flame,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_174659101,flame,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784653090,flame,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784658620,flame,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784656617,flame,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784657615,flame,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784675537,krum,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784511073,krum,min_sum,100,97,97.00%,0,0.00%,0.00%
exp_1784485719,krum,noise,100,97,97.00%,77,79.38%,77.00%
exp_1784484794,krum,scale,100,97,97.00%,77,79.38%,77.00%
exp_1784677584,krum,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784484053,krum,sign_flip,100,19,19.00%,0,0.00%,0.00%
exp_1784668683,median,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784669398,median,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784665673,median,noise,100,100,100.00%,80,80.00%,80.00%
exp_17884664942,median,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784663498,median,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784678456,multi-krum,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784679524,multi-krum,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784494575,multi-krum,noise,100,97,97.00%,97,100.00%,97.00%
exp_1784493342,multi-krum,scale,100,97,97.00%,77,79.38%,77.00%
exp_1784492511,multi-krum,sign_flip,100,97,97.00%,77,79.38%,77.00%
exp_1784672967,trimmed-mean,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784673892,trimmed-mean,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784672136,trimmed-mean,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784671518,trimmed-mean,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784670743,trimmed-mean,sign_flip,100,99,99.00%,79,79.80%,79.00%
