experiment_id,defense,attack,target_rounds_observed,phase_gate_open,gate_open_rate,delivered,delivery_rate_of_gated,delivery_rate_of_all
exp_1784761783,fedavg,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784848997,fedavg,min_max,100,99,99.00%,79,79.80%,79.00%
exp_1784763867,fedavg,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784760485,fedavg,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784757164,fedavg,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784755514,fedavg,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784846339,flame,min_max,100,100,100.00%,80,80.00%,80.00%
exo_1784847818,flame,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784841533,flame,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784843776,flame,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784840302,flame,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784838788,flame,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784770344,krum,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784771996,krum,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784768881,krum,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784767439,krum,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784765251,krum,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784825684,median,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784827139,median,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784823610,median,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784822288,median,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784820070,median,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784778329,multi-krum,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784779924,multi-krum,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784776783,multi-krum,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784775243,multi-krum,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784773345,multi-krum,sign_flip,100,100,100.00%,80,80.00%,80.00%
exp_1784835537,trimmed-mean,min_max,100,100,100.00%,80,80.00%,80.00%
exp_1784837111,trimmed-mean,min_sum,100,100,100.00%,80,80.00%,80.00%
exp_1784832176,trimmed-mean,noise,100,100,100.00%,80,80.00%,80.00%
exp_1784830398,trimmed-mean,scale,100,100,100.00%,80,80.00%,80.00%
exp_1784829071,trimmed-mean,sign_flip,100,100,100.00%,80,80.00%,80.00%
