experiment_id,defense,attack,baseline_mean,baseline_min,baseline_max,baseline_n,final_accuracy,delta_pp,relative_degradation_pct,band_position
exp_1784761783,fedavg,min_max,0.6507,0.6485,0.6529,2,0.5998,-5.09,7.8,below_floor
exp_1784848997,fedavg,min_max,0.6507,0.6485,0.6529,2,0.5935,-5.72,8.8,below_floor
exp_1784763867,fedavg,min_sum,0.6507,0.6485,0.6529,2,0.6239,-2.68,4.1,below_floor
exp_1784760485,fedavg,noise,0.6507,0.6485,0.6529,2,0.6648,+1.41,-2.2,above_ceiling
exp_1784757164,fedavg,scale,0.6507,0.6485,0.6529,2,0.6549,+0.42,-0.6,above_ceiling
exp_1784755514,fedavg,sign_flip,0.6507,0.6485,0.6529,2,0.6171,-3.36,5.2,below_floor
exp_1784846339,flame,min_max,0.6337,0.6326,0.6347,2,0.6260,-0.77,1.2,below_floor
exp_1784847818,flame,min_sum,0.6337,0.6326,0.6347,2,0.6369,+0.32,-0.5,above_ceiling
exp_1784841533,flame,noise,0.6337,0.6326,0.6347,2,0.6247,-0.90,1.4,below_floor
exp_1784843776,flame,noise,0.6337,0.6326,0.6347,2,0.6219,-1.18,1.9,below_floor
exp_1784840302,flame,scale,0.6337,0.6326,0.6347,2,0.6475,+1.38,-2.2,above_ceiling
exp_1784838788,flame,sign_flip,0.6337,0.6326,0.6347,2,0.6415,+0.78,-1.2,above_ceiling
exp_1784770344,krum,min_max,0.6007,0.5999,0.6015,2,0.3965,-20.42,34.0,below_floor
exp_1784771996,krum,min_sum,0.6007,0.5999,0.6015,2,0.4470,-15.37,25.6,below_floor
exp_1784768881,krum,noise,0.6007,0.5999,0.6015,2,0.6335,+3.28,-5.5,above_ceiling
exp_1784767439,krum,scale,0.6007,0.5999,0.6015,2,0.6271,+2.64,-4.4,above_ceiling
exp_1784765251,krum,sign_flip,0.6007,0.5999,0.6015,2,0.5239,-7.68,12.8,below_floor
exp_1784825684,median,min_max,0.6171,0.6167,0.6175,2,0.5980,-1.91,3.1,below_floor
exp_1784827139,median,min_sum,0.6171,0.6167,0.6175,2,0.5856,-3.15,5.1,below_floor
exp_1784823610,median,noise,0.6171,0.6167,0.6175,2,0.6500,+3.29,-5.3,above_ceiling
exp_1784822288,median,scale,0.6171,0.6167,0.6175,2,0.6508,+3.37,-5.5,above_ceiling
exp_1784820070,median,sign_flip,0.6171,0.6167,0.6175,2,0.6075,-0.96,1.6,below_floor
exp_1784778329,multi-krum,min_max,0.6438,0.6436,0.6439,2,0.5986,-4.52,7.0,below_floor
exp_1784779924,multi-krum,min_sum,0.6438,0.6436,0.6439,2,0.6036,-4.02,6.2,below_floor
exp_1784776783,multi-krum,noise,0.6438,0.6436,0.6439,2,0.6473,+0.35,-0.6,above_ceiling
exp_1784775243,multi-krum,scale,0.6438,0.6436,0.6439,2,0.6558,+1.21,-1.9,above_ceiling
exp_1784773345,multi-krum,sign_flip,0.6438,0.6436,0.6439,2,0.6057,-3.81,5.9,below_floor
exp_1784835537,trimmed-mean,min_max,0.6393,0.6375,0.6411,2,0.5762,-6.31,9.9,below_floor
exp_1784837111,trimmed-mean,min_sum,0.6393,0.6375,0.6411,2,0.5960,-4.33,6.8,below_floor
exp_1784832176,trimmed-mean,noise,0.6393,0.6375,0.6411,2,0.6464,+0.71,-1.1,above_ceiling
exp_1784830398,trimmed-mean,scale,0.6393,0.6375,0.6411,2,0.6452,+0.59,-0.9,above_ceiling
exp_1784829071,trimmed-mean,sign_flip,0.6393,0.6375,0.6411,2,0.6169,-2.24,3.5,below_floor
