experiment_id,defense,attack,baseline_mean,baseline_min,baseline_max,baseline_n,final_accuracy,delta_pp,relative_degradation_pct,band_position
exp_1784851252,fedavg,min_max,0.7833,0.7791,0.7927,5,0.6322,-15.11,19.3,below_floor
exp_1784674892,fedavg,min_sum,0.7833,0.7791,0.7927,5,0.6759,-10.74,13.7,below_floor
exp_1784522056,fedavg,min_sum,0.7833,0.7791,0.7927,5,0.7747,-0.86,1.1,below_floor
exp_1784398211,fedavg,noise,0.7833,0.7791,0.7927,5,0.8225,+3.92,-5.0,above_ceiling
exp_1784394210,fedavg,scale,0.7833,0.7791,0.7927,5,0.7520,-3.14,4.0,below_floor
exp_1784392708,fedavg,sign_flip,0.7833,0.7791,0.7927,5,0.7615,-2.19,2.8,below_floor
exp_1784659861,flame,min_max,0.7297,0.6790,0.7737,5,0.6390,-9.07,12.4,below_floor
exp_1784660634,flame,min_sum,0.7297,0.6790,0.7737,5,0.6444,-8.53,11.7,below_floor
exp_1784659101,flame,noise,0.7297,0.6790,0.7737,5,0.7408,+1.11,-1.5,inside_range
exp_1784653738,flame,noise,0.7297,0.6790,0.7737,5,0.7665,+3.69,-5.1,inside_range
exp_1784658620,flame,scale,0.7297,0.6790,0.7737,5,0.7655,+3.58,-4.9,inside_range
exp_1784653090,flame,scale,0.7297,0.6790,0.7737,5,0.7136,-1.61,2.2,inside_range
exp_1784655171,flame,scale,0.7297,0.6790,0.7737,5,0.6770,-5.27,7.2,below_floor
exp_1784657615,flame,sign_flip,0.7297,0.6790,0.7737,5,0.5511,-17.86,24.5,below_floor
exp_1784675537,krum,min_max,0.6261,0.5857,0.6634,5,0.3953,-23.08,36.9,below_floor
exp_1784522657,krum,min_max,0.6261,0.5857,0.6634,5,0.6529,+2.67,-4.3,inside_range
exp_1784853257,krum,min_sum,0.6261,0.5857,0.6634,5,0.3485,-27.76,44.3,below_floor
exp_1784485719,krum,noise,0.6261,0.5857,0.6634,5,0.6892,+6.30,-10.1,above_ceiling
exp_1784484794,krum,scale,0.6261,0.5857,0.6634,5,0.6725,+4.64,-7.4,above_ceiling
exp_1784677584,krum,sign_flip,0.6261,0.5857,0.6634,5,0.4235,-20.26,32.4,below_floor
exp_1784484053,krum,sign_flip,0.6261,0.5857,0.6634,5,0.5331,-9.30,14.9,below_floor
exp_1784668683,median,min_max,0.7722,0.7326,0.8134,5,0.6807,-9.16,11.9,below_floor
exp_1784669398,median,min_sum,0.7722,0.7326,0.8134,5,0.6692,-10.31,13.3,below_floor
exp_1784665673,median,noise,0.7722,0.7326,0.8134,5,0.7906,+1.84,-2.4,inside_range
exp_1784664942,median,scale,0.7722,0.7326,0.8134,5,0.7747,+0.24,-0.3,inside_range
exp_1784663498,median,sign_flip,0.7722,0.7326,0.8134,5,0.7536,-1.86,2.4,inside_range
exp_1784678456,multi-krum,min_max,0.7673,0.7441,0.7923,5,0.6362,-13.10,17.1,below_floor
exp_1784495790,multi-krum,min_max,0.7673,0.7441,0.7923,5,0.7635,-0.38,0.5,inside_range
exp_1784679524,multi-krum,min_sum,0.7673,0.7441,0.7923,5,0.6105,-15.68,20.4,below_floor
exp_1784497109,multi-krum,min_sum,0.7673,0.7441,0.7923,5,0.7710,+0.37,-0.5,inside_range
exp_1784494575,multi-krum,noise,0.7673,0.7441,0.7923,5,0.7122,-5.50,7.2,below_floor
exp_1784493342,multi-krum,scale,0.7673,0.7441,0.7923,5,0.7944,+2.71,-3.5,above_ceiling
exp_1784492511,multi-krum,sign_flip,0.7673,0.7441,0.7923,5,0.7099,-5.74,7.5,below_floor
exp_1784672967,trimmed-mean,min_max,0.7676,0.7316,0.8049,5,0.6291,-13.84,18.0,below_floor
exp_1784673892,trimmed-mean,min_sum,0.7676,0.7316,0.8049,5,0.6502,-11.74,15.3,below_floor
exp_1784672136,trimmed-mean,noise,0.7676,0.7316,0.8049,5,0.8147,+4.72,-6.1,above_ceiling
exp_1784671518,trimmed-mean,scale,0.7676,0.7316,0.8049,5,0.8113,+4.38,-5.7,above_ceiling
exp_1784670743,trimmed-mean,sign_flip,0.7676,0.7316,0.8049,5,0.7170,-5.06,6.6,below_floor
